statistic,stringency,n_designs,tau_b_vs_default
best,0.1,3,
best,0.15,3,
best,0.2,3,
best,0.25,3,
best,0.3,3,
best,0.35,3,
best,0.4,3,
best,0.45,3,
best,0.5,3,
best,0.55,3,
best,0.6,3,
best,0.65,3,
best,0.7,3,
best,0.75,3,
best,0.8,3,
best,0.85,3,
best,0.9,3,
median,0.1,3,
median,0.15,3,
median,0.2,3,
median,0.25,3,
median,0.3,3,
median,0.35,3,
median,0.4,3,
median,0.45,3,
median,0.5,3,
median,0.55,3,
median,0.6,3,
median,0.65,3,
median,0.7,3,
median,0.75,3,
median,0.8,3,
median,0.85,3,
median,0.9,3,
