,gain_mean__downstream_flood_exceedance_annual,gain_mean__montague_flow_deficit_p99_pct,gain_mean__montague_flow_reliability_annual,gain_mean__nj_delivery_reliability_annual,gain_mean__nyc_delivery_deficit_p99_pct,gain_mean__nyc_delivery_reliability_annual,gain_mean__nyc_storage_min_p01_pct,gain_mean__trenton_flow_reliability_annual,harm_freq__downstream_flood_exceedance_annual,harm_freq__montague_flow_deficit_p99_pct,harm_freq__montague_flow_reliability_annual,harm_freq__nj_delivery_reliability_annual,harm_freq__nyc_delivery_deficit_p99_pct,harm_freq__nyc_delivery_reliability_annual,harm_freq__nyc_storage_min_p01_pct,harm_freq__trenton_flow_reliability_annual,laplace__downstream_flood_exceedance_annual,laplace__montague_flow_deficit_p99_pct,laplace__montague_flow_reliability_annual,laplace__nj_delivery_reliability_annual,laplace__nyc_delivery_deficit_p99_pct,laplace__nyc_delivery_reliability_annual,laplace__nyc_storage_min_p01_pct,laplace__trenton_flow_reliability_annual,maximin__downstream_flood_exceedance_annual,maximin__montague_flow_deficit_p99_pct,maximin__montague_flow_reliability_annual,maximin__nj_delivery_reliability_annual,maximin__nyc_delivery_deficit_p99_pct,maximin__nyc_delivery_reliability_annual,maximin__nyc_storage_min_p01_pct,maximin__trenton_flow_reliability_annual,n_degraded_mean,no_harm_freq,no_harm_freq_tau,party_harm_freq__downstream_flow,party_harm_freq__flood_exposed,party_harm_freq__nj,party_harm_freq__nyc,regret_cond__downstream_flood_exceedance_annual,regret_cond__montague_flow_deficit_p99_pct,regret_cond__montague_flow_reliability_annual,regret_cond__nj_delivery_reliability_annual,regret_cond__nyc_delivery_deficit_p99_pct,regret_cond__nyc_delivery_reliability_annual,regret_cond__nyc_storage_min_p01_pct,regret_cond__trenton_flow_reliability_annual,regret_mean__downstream_flood_exceedance_annual,regret_mean__montague_flow_deficit_p99_pct,regret_mean__montague_flow_reliability_annual,regret_mean__nj_delivery_reliability_annual,regret_mean__nyc_delivery_deficit_p99_pct,regret_mean__nyc_delivery_reliability_annual,regret_mean__nyc_storage_min_p01_pct,regret_mean__trenton_flow_reliability_annual,regret_q90__downstream_flood_exceedance_annual,regret_q90__montague_flow_deficit_p99_pct,regret_q90__montague_flow_reliability_annual,regret_q90__nj_delivery_reliability_annual,regret_q90__nyc_delivery_deficit_p99_pct,regret_q90__nyc_delivery_reliability_annual,regret_q90__nyc_storage_min_p01_pct,regret_q90__trenton_flow_reliability_annual,sat_multivariate_sow,sat_uni_sow__downstream_flood_exceedance_annual,sat_uni_sow__montague_flow_deficit_p99_pct,sat_uni_sow__montague_flow_reliability_annual,sat_uni_sow__nj_delivery_reliability_annual,sat_uni_sow__nyc_delivery_deficit_p99_pct,sat_uni_sow__nyc_delivery_reliability_annual,sat_uni_sow__nyc_storage_min_p01_pct,sat_uni_sow__trenton_flow_reliability_annual
gain_mean__downstream_flood_exceedance_annual,1.0,-0.33333333333333337,-0.33333333333333337,,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,,,,,,,,,1.0,-0.33333333333333337,-0.33333333333333337,,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,-1.0,0.33333333333333337,,-1.0,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0,-0.33333333333333337,,,,,,-1.0,0.33333333333333337,0.816496580927726,0.33333333333333337,0.33333333333333337,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,0.33333333333333337,0.33333333333333337
gain_mean__montague_flow_deficit_p99_pct,-0.33333333333333337,1.0,1.0,,1.0,1.0,-1.0,0.33333333333333337,,,,,,,,,-0.33333333333333337,1.0,1.0,,1.0,1.0,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.816496580927726,1.0,,,,,,0.33333333333333337,-1.0,0.0,-1.0,0.33333333333333337,,-0.33333333333333337,0.816496580927726,,,,,,,,,,,,,,,,,,-0.33333333333333337,,,,,,-1.0,0.33333333333333337
gain_mean__montague_flow_reliability_annual,-0.33333333333333337,1.0,1.0,,1.0,1.0,-1.0,0.33333333333333337,,,,,,,,,-0.33333333333333337,1.0,1.0,,1.0,1.0,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.816496580927726,1.0,,,,,,0.33333333333333337,-1.0,0.0,-1.0,0.33333333333333337,,-0.33333333333333337,0.816496580927726,,,,,,,,,,,,,,,,,,-0.33333333333333337,,,,,,-1.0,0.33333333333333337
gain_mean__nj_delivery_reliability_annual,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gain_mean__nyc_delivery_deficit_p99_pct,-0.33333333333333337,1.0,1.0,,1.0,1.0,-1.0,0.33333333333333337,,,,,,,,,-0.33333333333333337,1.0,1.0,,1.0,1.0,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.816496580927726,1.0,,,,,,0.33333333333333337,-1.0,0.0,-1.0,0.33333333333333337,,-0.33333333333333337,0.816496580927726,,,,,,,,,,,,,,,,,,-0.33333333333333337,,,,,,-1.0,0.33333333333333337
gain_mean__nyc_delivery_reliability_annual,-0.33333333333333337,1.0,1.0,,1.0,1.0,-1.0,0.33333333333333337,,,,,,,,,-0.33333333333333337,1.0,1.0,,1.0,1.0,-1.0,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.816496580927726,1.0,,,,,,0.33333333333333337,-1.0,0.0,-1.0,0.33333333333333337,,-0.33333333333333337,0.816496580927726,,,,,,,,,,,,,,,,,,-0.33333333333333337,,,,,,-1.0,0.33333333333333337
gain_mean__nyc_storage_min_p01_pct,0.33333333333333337,-1.0,-1.0,,-1.0,-1.0,1.0,-0.33333333333333337,,,,,,,,,0.33333333333333337,-1.0,-1.0,,-1.0,-1.0,1.0,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,-1.0,-0.816496580927726,-1.0,,,,,,-0.33333333333333337,1.0,0.0,1.0,-0.33333333333333337,,0.33333333333333337,-0.816496580927726,,,,,,,,,,,,,,,,,,0.33333333333333337,,,,,,1.0,-0.33333333333333337
gain_mean__trenton_flow_reliability_annual,0.33333333333333337,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,,,,,,,,,0.33333333333333337,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,0.33333333333333337,-0.33333333333333337,1.0,,-0.33333333333333337,1.0,-1.0,0.33333333333333337,0.816496580927726,0.33333333333333337,,,,,,-0.33333333333333337,-0.33333333333333337,0.816496580927726,-0.33333333333333337,1.0,,0.33333333333333337,0.816496580927726,,,,,,,,,,,,,,,,,,0.33333333333333337,,,,,,-0.33333333333333337,1.0
harm_freq__downstream_flood_exceedance_annual,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm_freq__montague_flow_deficit_p99_pct,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
