design,draw,seed,tau_k,best,median,n_solutions
fixed_probabilistic,0,,0.0,1.0,0.02,991
fixed_probabilistic,0,,0.5,1.0,0.02,991
fixed_probabilistic,0,,1.0,1.0,0.02,991
fixed_probabilistic,0,,2.0,1.0,0.02,991
fixed_probabilistic,0,,5.0,1.0,0.02,991
fixed_probabilistic,0,,10.0,1.0,0.02,991
hazard_filling_stationary,0,,0.0,1.0,0.015,784
hazard_filling_stationary,0,,0.5,1.0,0.015,784
hazard_filling_stationary,0,,1.0,1.0,0.015,784
hazard_filling_stationary,0,,2.0,1.0,0.015,784
hazard_filling_stationary,0,,5.0,1.0,0.015,784
hazard_filling_stationary,0,,10.0,1.0,0.015,784
historic,0,,0.0,1.0,0.01,335
historic,0,,0.5,1.0,0.01,335
historic,0,,1.0,1.0,0.01,335
historic,0,,2.0,1.0,0.01,335
historic,0,,5.0,1.0,0.01,335
historic,0,,10.0,1.0,0.01,335
