criterion,design,axis,depth,best_policy,any_policy
adopted,fixed_probabilistic,nyc_delivery_reliability_annual,1,1.0,1.0
adopted,fixed_probabilistic,nyc_delivery_deficit_p99_pct,2,1.0,1.0
adopted,fixed_probabilistic,montague_flow_reliability_annual,3,0.97,0.97
adopted,fixed_probabilistic,montague_flow_deficit_p99_pct,4,0.89,0.91
adopted,fixed_probabilistic,nj_delivery_reliability_annual,5,0.88,0.9
adopted,fixed_probabilistic,nyc_storage_min_p01_pct,6,0.425,0.505
adopted,fixed_probabilistic,downstream_flood_exceedance_annual,7,0.005,0.01
adopted,fixed_probabilistic,trenton_flow_reliability_annual,8,0.0,0.0
adopted,ffmp_incumbent,nyc_delivery_reliability_annual,1,0.005,0.005
adopted,ffmp_incumbent,nyc_delivery_deficit_p99_pct,2,0.005,0.005
adopted,ffmp_incumbent,montague_flow_reliability_annual,3,0.0,0.0
adopted,ffmp_incumbent,montague_flow_deficit_p99_pct,4,0.0,0.0
adopted,ffmp_incumbent,nj_delivery_reliability_annual,5,0.0,0.0
adopted,ffmp_incumbent,nyc_storage_min_p01_pct,6,0.0,0.0
adopted,ffmp_incumbent,downstream_flood_exceedance_annual,7,0.0,0.0
adopted,ffmp_incumbent,trenton_flow_reliability_annual,8,0.0,0.0
adopted,hazard_filling_stationary,nyc_delivery_reliability_annual,1,1.0,1.0
adopted,hazard_filling_stationary,nyc_delivery_deficit_p99_pct,2,1.0,1.0
adopted,hazard_filling_stationary,montague_flow_reliability_annual,3,0.98,0.985
adopted,hazard_filling_stationary,montague_flow_deficit_p99_pct,4,0.88,0.9
adopted,hazard_filling_stationary,nj_delivery_reliability_annual,5,0.87,0.895
adopted,hazard_filling_stationary,nyc_storage_min_p01_pct,6,0.39,0.445
adopted,hazard_filling_stationary,downstream_flood_exceedance_annual,7,0.01,0.015
adopted,hazard_filling_stationary,trenton_flow_reliability_annual,8,0.0,0.0
adopted,historic,nyc_delivery_reliability_annual,1,1.0,1.0
adopted,historic,nyc_delivery_deficit_p99_pct,2,0.98,0.98
adopted,historic,montague_flow_reliability_annual,3,0.165,0.165
adopted,historic,montague_flow_deficit_p99_pct,4,0.085,0.085
adopted,historic,nj_delivery_reliability_annual,5,0.085,0.085
adopted,historic,nyc_storage_min_p01_pct,6,0.0,0.0
adopted,historic,downstream_flood_exceedance_annual,7,0.0,0.0
adopted,historic,trenton_flow_reliability_annual,8,0.0,0.0
uniform,fixed_probabilistic,nyc_delivery_reliability_annual,1,1.0,1.0
uniform,fixed_probabilistic,nyc_delivery_deficit_p99_pct,2,1.0,1.0
uniform,fixed_probabilistic,montague_flow_reliability_annual,3,0.935,0.96
uniform,fixed_probabilistic,montague_flow_deficit_p99_pct,4,0.88,0.89
uniform,fixed_probabilistic,nj_delivery_reliability_annual,5,0.87,0.89
uniform,fixed_probabilistic,nyc_storage_min_p01_pct,6,0.455,0.465
uniform,fixed_probabilistic,downstream_flood_exceedance_annual,7,0.03,0.045
uniform,fixed_probabilistic,trenton_flow_reliability_annual,8,0.03,0.045
uniform,ffmp_incumbent,nyc_delivery_reliability_annual,1,0.0,0.0
uniform,ffmp_incumbent,nyc_delivery_deficit_p99_pct,2,0.0,0.0
uniform,ffmp_incumbent,montague_flow_reliability_annual,3,0.0,0.0
uniform,ffmp_incumbent,montague_flow_deficit_p99_pct,4,0.0,0.0
uniform,ffmp_incumbent,nj_delivery_reliability_annual,5,0.0,0.0
uniform,ffmp_incumbent,nyc_storage_min_p01_pct,6,0.0,0.0
uniform,ffmp_incumbent,downstream_flood_exceedance_annual,7,0.0,0.0
uniform,ffmp_incumbent,trenton_flow_reliability_annual,8,0.0,0.0
uniform,hazard_filling_stationary,nyc_delivery_reliability_annual,1,1.0,1.0
uniform,hazard_filling_stationary,nyc_delivery_deficit_p99_pct,2,1.0,1.0
uniform,hazard_filling_stationary,montague_flow_reliability_annual,3,0.945,0.955
uniform,hazard_filling_stationary,montague_flow_deficit_p99_pct,4,0.88,0.885
uniform,hazard_filling_stationary,nj_delivery_reliability_annual,5,0.88,0.885
uniform,hazard_filling_stationary,nyc_storage_min_p01_pct,6,0.385,0.385
uniform,hazard_filling_stationary,downstream_flood_exceedance_annual,7,0.01,0.015
uniform,hazard_filling_stationary,trenton_flow_reliability_annual,8,0.01,0.015
uniform,historic,nyc_delivery_reliability_annual,1,1.0,1.0
uniform,historic,nyc_delivery_deficit_p99_pct,2,0.93,0.93
uniform,historic,montague_flow_reliability_annual,3,0.465,0.465
uniform,historic,montague_flow_deficit_p99_pct,4,0.055,0.055
uniform,historic,nj_delivery_reliability_annual,5,0.055,0.055
uniform,historic,nyc_storage_min_p01_pct,6,0.0,0.0
uniform,historic,downstream_flood_exceedance_annual,7,0.0,0.0
uniform,historic,trenton_flow_reliability_annual,8,0.0,0.0
nyc_supply,fixed_probabilistic,nyc_delivery_reliability_annual,1,1.0,1.0
nyc_supply,fixed_probabilistic,nyc_delivery_deficit_p99_pct,2,1.0,1.0
nyc_supply,fixed_probabilistic,montague_flow_reliability_annual,3,0.97,0.97
nyc_supply,fixed_probabilistic,montague_flow_deficit_p99_pct,4,0.89,0.91
nyc_supply,fixed_probabilistic,nj_delivery_reliability_annual,5,0.88,0.9
nyc_supply,fixed_probabilistic,nyc_storage_min_p01_pct,6,0.425,0.505
nyc_supply,fixed_probabilistic,downstream_flood_exceedance_annual,7,0.125,0.195
nyc_supply,fixed_probabilistic,trenton_flow_reliability_annual,8,0.125,0.195
nyc_supply,ffmp_incumbent,nyc_delivery_reliability_annual,1,0.005,0.005
nyc_supply,ffmp_incumbent,nyc_delivery_deficit_p99_pct,2,0.005,0.005
nyc_supply,ffmp_incumbent,montague_flow_reliability_annual,3,0.0,0.0
nyc_supply,ffmp_incumbent,montague_flow_deficit_p99_pct,4,0.0,0.0
nyc_supply,ffmp_incumbent,nj_delivery_reliability_annual,5,0.0,0.0
nyc_supply,ffmp_incumbent,nyc_storage_min_p01_pct,6,0.0,0.0
nyc_supply,ffmp_incumbent,downstream_flood_exceedance_annual,7,0.0,0.0
nyc_supply,ffmp_incumbent,trenton_flow_reliability_annual,8,0.0,0.0
nyc_supply,hazard_filling_stationary,nyc_delivery_reliability_annual,1,1.0,1.0
nyc_supply,hazard_filling_stationary,nyc_delivery_deficit_p99_pct,2,1.0,1.0
nyc_supply,hazard_filling_stationary,montague_flow_reliability_annual,3,0.98,0.985
nyc_supply,hazard_filling_stationary,montague_flow_deficit_p99_pct,4,0.88,0.9
nyc_supply,hazard_filling_stationary,nj_delivery_reliability_annual,5,0.87,0.895
nyc_supply,hazard_filling_stationary,nyc_storage_min_p01_pct,6,0.39,0.445
nyc_supply,hazard_filling_stationary,downstream_flood_exceedance_annual,7,0.165,0.215
nyc_supply,hazard_filling_stationary,trenton_flow_reliability_annual,8,0.165,0.215
nyc_supply,historic,nyc_delivery_reliability_annual,1,1.0,1.0
nyc_supply,historic,nyc_delivery_deficit_p99_pct,2,0.98,0.98
nyc_supply,historic,montague_flow_reliability_annual,3,0.165,0.165
nyc_supply,historic,montague_flow_deficit_p99_pct,4,0.085,0.085
nyc_supply,historic,nj_delivery_reliability_annual,5,0.085,0.085
nyc_supply,historic,nyc_storage_min_p01_pct,6,0.0,0.0
nyc_supply,historic,downstream_flood_exceedance_annual,7,0.0,0.0
nyc_supply,historic,trenton_flow_reliability_annual,8,0.0,0.0
downstream,fixed_probabilistic,nyc_delivery_reliability_annual,1,1.0,1.0
downstream,fixed_probabilistic,nyc_delivery_deficit_p99_pct,2,1.0,1.0
downstream,fixed_probabilistic,montague_flow_reliability_annual,3,1.0,1.0
downstream,fixed_probabilistic,montague_flow_deficit_p99_pct,4,1.0,1.0
downstream,fixed_probabilistic,nj_delivery_reliability_annual,5,1.0,1.0
downstream,fixed_probabilistic,nyc_storage_min_p01_pct,6,0.78,0.82
downstream,fixed_probabilistic,downstream_flood_exceedance_annual,7,0.165,0.295
downstream,fixed_probabilistic,trenton_flow_reliability_annual,8,0.1,0.185
downstream,ffmp_incumbent,nyc_delivery_reliability_annual,1,0.17,0.17
downstream,ffmp_incumbent,nyc_delivery_deficit_p99_pct,2,0.17,0.17
downstream,ffmp_incumbent,montague_flow_reliability_annual,3,0.0,0.0
downstream,ffmp_incumbent,montague_flow_deficit_p99_pct,4,0.0,0.0
downstream,ffmp_incumbent,nj_delivery_reliability_annual,5,0.0,0.0
downstream,ffmp_incumbent,nyc_storage_min_p01_pct,6,0.0,0.0
downstream,ffmp_incumbent,downstream_flood_exceedance_annual,7,0.0,0.0
downstream,ffmp_incumbent,trenton_flow_reliability_annual,8,0.0,0.0
downstream,hazard_filling_stationary,nyc_delivery_reliability_annual,1,1.0,1.0
downstream,hazard_filling_stationary,nyc_delivery_deficit_p99_pct,2,1.0,1.0
downstream,hazard_filling_stationary,montague_flow_reliability_annual,3,1.0,1.0
downstream,hazard_filling_stationary,montague_flow_deficit_p99_pct,4,0.98,0.99
