design,pattern,n_sow,frac_sow
fixed_probabilistic,trenton_flow_reliability_annual,86,0.43
fixed_probabilistic,downstream_flood_exceedance_annual+trenton_flow_reliability_annual,40,0.2
fixed_probabilistic,downstream_flood_exceedance_annual,57,0.285
fixed_probabilistic,conjunction_only,8,0.04
fixed_probabilistic,nyc_storage_min_p01_pct+trenton_flow_reliability_annual,9,0.045
hazard_filling_stationary,trenton_flow_reliability_annual,100,0.5
hazard_filling_stationary,downstream_flood_exceedance_annual+trenton_flow_reliability_annual,27,0.135
hazard_filling_stationary,downstream_flood_exceedance_annual,43,0.215
hazard_filling_stationary,conjunction_only,21,0.105
hazard_filling_stationary,nyc_storage_min_p01_pct+trenton_flow_reliability_annual,9,0.045
historic,trenton_flow_reliability_annual,124,0.62
historic,downstream_flood_exceedance_annual+trenton_flow_reliability_annual,57,0.285
historic,downstream_flood_exceedance_annual,17,0.085
historic,conjunction_only,2,0.01
historic,nyc_storage_min_p01_pct+trenton_flow_reliability_annual,0,0.0
