design,axis,depth,best_policy,any_policy
fixed_probabilistic,nyc_delivery_reliability_annual,1,1.0,1.0
fixed_probabilistic,nyc_delivery_deficit_p99_pct,2,1.0,1.0
fixed_probabilistic,montague_flow_reliability_annual,3,0.97,0.97
fixed_probabilistic,montague_flow_deficit_p99_pct,4,0.89,0.91
fixed_probabilistic,nj_delivery_reliability_annual,5,0.88,0.9
fixed_probabilistic,nyc_storage_min_p01_pct,6,0.425,0.505
fixed_probabilistic,downstream_flood_exceedance_annual,7,0.005,0.01
fixed_probabilistic,trenton_flow_reliability_annual,8,0.0,0.0
ffmp_incumbent,nyc_delivery_reliability_annual,1,0.005,0.005
ffmp_incumbent,nyc_delivery_deficit_p99_pct,2,0.005,0.005
ffmp_incumbent,montague_flow_reliability_annual,3,0.0,0.0
ffmp_incumbent,montague_flow_deficit_p99_pct,4,0.0,0.0
ffmp_incumbent,nj_delivery_reliability_annual,5,0.0,0.0
ffmp_incumbent,nyc_storage_min_p01_pct,6,0.0,0.0
ffmp_incumbent,downstream_flood_exceedance_annual,7,0.0,0.0
ffmp_incumbent,trenton_flow_reliability_annual,8,0.0,0.0
hazard_filling_stationary,nyc_delivery_reliability_annual,1,1.0,1.0
hazard_filling_stationary,nyc_delivery_deficit_p99_pct,2,1.0,1.0
hazard_filling_stationary,montague_flow_reliability_annual,3,0.98,0.985
hazard_filling_stationary,montague_flow_deficit_p99_pct,4,0.88,0.9
hazard_filling_stationary,nj_delivery_reliability_annual,5,0.87,0.895
hazard_filling_stationary,nyc_storage_min_p01_pct,6,0.39,0.445
hazard_filling_stationary,downstream_flood_exceedance_annual,7,0.01,0.015
hazard_filling_stationary,trenton_flow_reliability_annual,8,0.0,0.0
historic,nyc_delivery_reliability_annual,1,1.0,1.0
historic,nyc_delivery_deficit_p99_pct,2,0.98,0.98
historic,montague_flow_reliability_annual,3,0.165,0.165
historic,montague_flow_deficit_p99_pct,4,0.085,0.085
historic,nj_delivery_reliability_annual,5,0.085,0.085
historic,nyc_storage_min_p01_pct,6,0.0,0.0
historic,downstream_flood_exceedance_annual,7,0.0,0.0
historic,trenton_flow_reliability_annual,8,0.0,0.0
