design,axis_a,axis_b,best_policy_joint
fixed_probabilistic,nyc_delivery_reliability_annual,nyc_delivery_reliability_annual,1.0
fixed_probabilistic,nyc_delivery_deficit_p99_pct,nyc_delivery_reliability_annual,1.0
fixed_probabilistic,nyc_delivery_deficit_p99_pct,nyc_delivery_deficit_p99_pct,1.0
fixed_probabilistic,montague_flow_reliability_annual,nyc_delivery_reliability_annual,0.995
fixed_probabilistic,montague_flow_reliability_annual,nyc_delivery_deficit_p99_pct,1.0
fixed_probabilistic,montague_flow_reliability_annual,montague_flow_reliability_annual,1.0
fixed_probabilistic,montague_flow_deficit_p99_pct,nyc_delivery_reliability_annual,0.925
fixed_probabilistic,montague_flow_deficit_p99_pct,nyc_delivery_deficit_p99_pct,1.0
fixed_probabilistic,montague_flow_deficit_p99_pct,montague_flow_reliability_annual,1.0
fixed_probabilistic,montague_flow_deficit_p99_pct,montague_flow_deficit_p99_pct,1.0
fixed_probabilistic,trenton_flow_reliability_annual,nyc_delivery_reliability_annual,0.315
fixed_probabilistic,trenton_flow_reliability_annual,nyc_delivery_deficit_p99_pct,0.315
fixed_probabilistic,trenton_flow_reliability_annual,montague_flow_reliability_annual,0.315
fixed_probabilistic,trenton_flow_reliability_annual,montague_flow_deficit_p99_pct,0.305
fixed_probabilistic,trenton_flow_reliability_annual,trenton_flow_reliability_annual,0.315
fixed_probabilistic,downstream_flood_exceedance_annual,nyc_delivery_reliability_annual,0.48
fixed_probabilistic,downstream_flood_exceedance_annual,nyc_delivery_deficit_p99_pct,0.505
fixed_probabilistic,downstream_flood_exceedance_annual,montague_flow_reliability_annual,0.48
fixed_probabilistic,downstream_flood_exceedance_annual,montague_flow_deficit_p99_pct,0.48
fixed_probabilistic,downstream_flood_exceedance_annual,trenton_flow_reliability_annual,0.025
fixed_probabilistic,downstream_flood_exceedance_annual,downstream_flood_exceedance_annual,0.515
fixed_probabilistic,nyc_storage_min_p01_pct,nyc_delivery_reliability_annual,0.845
