design,objective,policy_min,policy_median,policy_best,incumbent
fixed_probabilistic,nyc_delivery_reliability_annual,0.195,0.77,1.0,0.005
fixed_probabilistic,nyc_delivery_deficit_p99_pct,0.0,1.0,1.0,0.98
fixed_probabilistic,montague_flow_reliability_annual,0.0,0.655,1.0,0.0
fixed_probabilistic,montague_flow_deficit_p99_pct,0.0,0.065,1.0,0.985
fixed_probabilistic,trenton_flow_reliability_annual,0.0,0.085,0.315,0.05
fixed_probabilistic,downstream_flood_exceedance_annual,0.155,0.4,0.515,0.425
fixed_probabilistic,nyc_storage_min_p01_pct,0.0,0.02,0.945,0.005
fixed_probabilistic,nj_delivery_reliability_annual,0.0,1.0,1.0,0.015
hazard_filling_stationary,nyc_delivery_reliability_annual,0.24,0.855,1.0,0.005
hazard_filling_stationary,nyc_delivery_deficit_p99_pct,0.0,1.0,1.0,0.98
hazard_filling_stationary,montague_flow_reliability_annual,0.0,0.5125,1.0,0.0
hazard_filling_stationary,montague_flow_deficit_p99_pct,0.0,0.0,1.0,0.985
hazard_filling_stationary,trenton_flow_reliability_annual,0.0,0.075,0.32,0.05
hazard_filling_stationary,downstream_flood_exceedance_annual,0.16,0.38,0.645,0.425
hazard_filling_stationary,nyc_storage_min_p01_pct,0.0,0.05,0.955,0.005
hazard_filling_stationary,nj_delivery_reliability_annual,0.0,1.0,1.0,0.015
historic,nyc_delivery_reliability_annual,0.0,0.0,1.0,0.005
historic,nyc_delivery_deficit_p99_pct,0.0,1.0,1.0,0.98
historic,montague_flow_reliability_annual,0.0,0.0,1.0,0.0
historic,montague_flow_deficit_p99_pct,0.0,0.0,1.0,0.985
historic,trenton_flow_reliability_annual,0.0,0.005,0.085,0.05
historic,downstream_flood_exceedance_annual,0.145,0.505,0.63,0.425
historic,nyc_storage_min_p01_pct,0.0,0.23,1.0,0.005
historic,nj_delivery_reliability_annual,0.0,1.0,1.0,0.015
