,sat_multivariate_sow,sat_uni_sow__nyc_delivery_reliability_annual,sat_uni_sow__nyc_delivery_deficit_p99_pct,sat_uni_sow__montague_flow_reliability_annual,sat_uni_sow__montague_flow_deficit_p99_pct,sat_uni_sow__trenton_flow_reliability_annual,sat_uni_sow__downstream_flood_exceedance_annual,sat_uni_sow__nyc_storage_min_p01_pct,sat_uni_sow__nj_delivery_reliability_annual,laplace__nyc_delivery_reliability_annual,laplace__nyc_delivery_deficit_p99_pct,laplace__montague_flow_reliability_annual,laplace__montague_flow_deficit_p99_pct,laplace__trenton_flow_reliability_annual,laplace__downstream_flood_exceedance_annual,laplace__nyc_storage_min_p01_pct,laplace__nj_delivery_reliability_annual,maximin__nyc_delivery_reliability_annual,maximin__nyc_delivery_deficit_p99_pct,maximin__montague_flow_reliability_annual,maximin__montague_flow_deficit_p99_pct,maximin__trenton_flow_reliability_annual,maximin__downstream_flood_exceedance_annual,maximin__nyc_storage_min_p01_pct,maximin__nj_delivery_reliability_annual,regret_mean__nyc_delivery_reliability_annual,regret_q90__nyc_delivery_reliability_annual,regret_cond__nyc_delivery_reliability_annual,gain_mean__nyc_delivery_reliability_annual,regret_mean__nyc_delivery_deficit_p99_pct,regret_q90__nyc_delivery_deficit_p99_pct,regret_cond__nyc_delivery_deficit_p99_pct,gain_mean__nyc_delivery_deficit_p99_pct,regret_mean__montague_flow_reliability_annual,regret_q90__montague_flow_reliability_annual,regret_cond__montague_flow_reliability_annual,gain_mean__montague_flow_reliability_annual,regret_mean__montague_flow_deficit_p99_pct,regret_q90__montague_flow_deficit_p99_pct,regret_cond__montague_flow_deficit_p99_pct,gain_mean__montague_flow_deficit_p99_pct,regret_mean__trenton_flow_reliability_annual,regret_q90__trenton_flow_reliability_annual,regret_cond__trenton_flow_reliability_annual,gain_mean__trenton_flow_reliability_annual,regret_mean__downstream_flood_exceedance_annual,regret_q90__downstream_flood_exceedance_annual,regret_cond__downstream_flood_exceedance_annual,gain_mean__downstream_flood_exceedance_annual,regret_mean__nyc_storage_min_p01_pct,regret_q90__nyc_storage_min_p01_pct,regret_cond__nyc_storage_min_p01_pct,gain_mean__nyc_storage_min_p01_pct,regret_mean__nj_delivery_reliability_annual,regret_q90__nj_delivery_reliability_annual,regret_cond__nj_delivery_reliability_annual,gain_mean__nj_delivery_reliability_annual,harm_freq__nyc_delivery_reliability_annual,harm_freq__nyc_delivery_deficit_p99_pct,harm_freq__montague_flow_reliability_annual,harm_freq__montague_flow_deficit_p99_pct,harm_freq__trenton_flow_reliability_annual,harm_freq__downstream_flood_exceedance_annual,harm_freq__nyc_storage_min_p01_pct,harm_freq__nj_delivery_reliability_annual,party_harm_freq__nyc,party_harm_freq__nj,party_harm_freq__downstream_flow,party_harm_freq__flood_exposed,no_harm_freq,no_harm_freq_tau,n_degraded_mean
sat_multivariate_sow,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sat_uni_sow__nyc_delivery_reliability_annual,,1.0,-0.07056201449059392,-0.1676578175273502,-0.2105402025654149,-0.21388986625638517,-0.14915514917829006,-0.13487538968821183,0.12174632208309831,0.9599475441433237,0.319340995869887,-0.16260835088486672,-0.1711235858190914,-0.21681381665296598,-0.15187116863680522,-0.17170169901596716,0.12769036386615543,0.9464774949510084,-0.12701048054462197,-0.17558535724825813,-0.2660838772656151,-0.21413395878954808,-0.1616907748081981,-0.22779499086463906,0.12014755181154692,,,,0.9599495010533654,0.13162106592243814,0.06804693632366679,-0.2126336044934395,0.3383629146349298,-0.14034213303542534,-0.1094704489056372,0.06293715392176011,-0.1625403450407757,-0.17796856111771822,-0.20579315412285965,-0.1759747428354418,-0.17916235769896305,-0.23707381596172677,-0.19540628468784815,-0.038088536412909685,-0.21697316160291774,-0.14966724130944004,-0.15818338415429842,-0.1534708462871243,-0.14687100020784663,-0.17683488902361202,-0.17145338328445617,-0.10885435202160874,-0.1594535497561325,0.011443689227975411,-0.03162614104763336,-0.4054464272139071,0.12769728725476193,,0.1983735970610401,-0.14037341129828734,-0.18606661120004267,-0.23692831397317787,-0.14381913952137204,-0.16576028837290085,0.011524154599557046,0.14192233280631078,0.011524154599557046,-0.19673262166650018,-0.14381913952137204,-0.16597935424833607,-0.24320501276109055,-0.13863615780576583
sat_uni_sow__nyc_delivery_deficit_p99_pct,,-0.07056201449059392,1.0,-0.13552233575693437,-0.24466329003262952,-0.13108239022619572,-0.05197183985439921,0.30076397483045086,0.06695436570475091,-0.08549724605051767,0.06751877319596739,-0.14260568969994686,-0.2312203557474481,-0.16408615926828413,-0.044105506423004974,0.4882880781018941,0.029936847913461184,-0.07011609457749134,0.6541764237424053,-0.1350099753344542,0.3906323753301078,-0.1875408807715252,-0.035722447466100746,0.29832732544584045,0.0386690181072223,,,,-0.08549742034172801,0.5485617754603082,0.5058172453053876,0.5839346272427587,0.0008659480211333408,-0.04016461997599303,-0.060430289716739666,-0.13123941717533935,-0.14273883368871226,-0.21905641771192028,-0.05116577962284151,-0.1124547734442167,-0.17862908543888598,-0.17593549919030163,-0.17472933624309686,-0.19472800045055794,-0.16381814593368907,-0.044443229807703814,-0.04540490873768081,-0.07239738578525408,-0.010735046949250208,0.5196955313466569,0.5959786665760822,0.5504899528432332,0.47643733922802706,0.06374747250684283,0.05353709933509448,0.4452681134203416,0.029936847913461184,,0.4572134423327219,-0.04055897775849954,-0.18273916324493739,-0.17587428502620409,-0.01437807870757154,0.5141644722362922,0.0635397891889199,0.492859578663588,0.0635397891889199,-0.19468526193479133,-0.01437807870757154,0.059769481243688825,-0.005376148977623702,0.12147423763374766
sat_uni_sow__montague_flow_reliability_annual,,-0.1676578175273502,-0.13552233575693437,1.0,0.44443948086734586,0.35829773571650464,-0.050639958170225395,-0.321332203694091,0.03353431882011505,-0.15883227776327222,-0.3097414062819866,0.9708411110629932,0.3534521234426121,0.4346442151083395,-0.05649991991059698,-0.2206565707316769,0.03777382831676869,-0.15938782469249343,-0.14752293926353358,0.9607580532831537,0.05588078793948331,0.47690882430094644,-0.052442541726565366,-0.051175716750938835,0.0387046339806059,,,,-0.1588284739932017,-0.3005833014783759,-0.2870691300843737,0.046088468987573364,-0.29134824939869824,0.2994859607502903,0.2725959813894659,0.27571751115116194,0.9710270339349949,0.3275904520548641,0.20330696825235858,0.22398887815440113,0.5680288767691978,0.480440029140935,0.4500924353930338,0.3215258440716509,0.4354596503524689,-0.056423658415682545,-0.047763560039034876,-0.01714502611661579,-0.11570192691013585,-0.2590250044476947,-0.20461876423471967,-0.11625740375159736,-0.2233568344516271,0.04440655315103936,0.0669704520985217,0.05158770776573804,0.03777382831676869,,-0.3248219841208089,0.30009637436017356,0.5428054179350905,0.48393752853866273,-0.11312064192348628,-0.2609438240772237,0.044619739112073044,-0.4096671665550712,0.044619739112073044,0.5671384476748998,-0.11312064192348628,0.07464716074563381,0.30058549168469495,0.009433758690321845
sat_uni_sow__montague_flow_deficit_p99_pct,,-0.2105402025654149,-0.2446632900326295,0.44443948086734586,1.0,0.294450588338237,-0.026675965303184484,-0.2773990195431017,0.0037314800293901666,-0.2027188745873917,-0.3905263729718099,0.4447354107514034,0.7197912472388655,0.3702497911407675,-0.033600837101688014,-0.2697816867156491,0.011577215039952207,-0.20850732771278402,-0.24544925624552563,0.4467186210887261,0.19434872078761772,0.4210749229879617,-0.03411584305451404,-0.20480701689680014,0.010822881671268688,,,,-0.20271928784184895,-0.35740556775977445,-0.34529769442853947,0.02387616005161661,-0.37808080119654625,0.13756917875133814,0.1279220081897451,0.09865768442475416,0.4448048613311467,0.7375895647404173,0.5680971360164874,0.6640750961426555,0.6196761766362346,0.42066459691431385,0.38456696658604267,0.24562270275577341,0.3699873020676724,-0.03442272677978544,-0.031152163170791457,-0.005834085299072807,-0.08299800157843276,-0.24579683244792447,-0.22167888184402001,-0.0785692393320857,-0.28387324028451155,0.044542011723586114,0.062084418279967156,0.05057217374241736,0.01156744523823073,,-0.38597678078375125,0.13773786671518073,0.6460892586699868,0.4213853171971606,-0.08126539237843063,-0.2605061017823439,0.04461454622417236,-0.43072454808123456,0.04461454622417236,0.6538693616846568,-0.08126539237843063,0.23525133097614068,0.6141161051754497,-0.008706151746432194
sat_uni_sow__trenton_flow_reliability_annual,,-0.21388986625638517,-0.13108239022619572,0.3582977357165047,0.294450588338237,1.0,0.11685536712255878,-0.23378024286121182,-0.08038705073714908,-0.19886226987562833,-0.3104899297760838,0.35756361585422036,0.22533297809877156,0.8302091768149445,0.11358635580818237,-0.14974764112114552,-0.04653051857339283,-0.20413067300477497,-0.1563505821796317,0.3571282485866288,0.0455474682084978,0.7282266138486607,0.1266332542081464,-0.021857862714583242,-0.04707230252603788,,,,-0.19886267526816798,-0.28725340461619103,-0.27538410273789515,-0.00042398975712863604,-0.2882596928012739,0.2273556412667482,0.21785049244839022,0.36623642295607123,0.35752941639774216,0.2209608302513406,0.17621037551890426,0.18472343653749482,0.26563410716947083,0.6219730595775255,0.5599575437845152,0.603460321574081,0.8325933202948068,0.11039049642605486,0.11489824366128204,0.13031186112530918,-0.03250403901542341,-0.17421615913965388,-0.1506999539376622,-0.12603442414262975,-0.1468153971074881,-0.0396866987613497,-0.028466801189083804,-0.28753423888324864,-0.046532830763741345,,-0.2940137621340592,0.22757559462435217,0.26363096741447656,0.6269500084246609,-0.029055141996748367,-0.16894980184307448,-0.03939485531545867,-0.33286582694178046,-0.03939485531545867,0.2919698823983803,-0.029055141996748367,0.10651460917371315,0.18710831111160958,0.04775964324950418
sat_uni_sow__downstream_flood_exceedance_annual,,-0.1491551491782901,-0.0519718398543992,-0.05063995817022539,-0.026675965303184487,0.11685536712255878,1.0,-0.19574270098722735,-0.08193102313666768,-0.14245720309406376,-0.031533386584147484,-0.05121059534384732,-0.03003871374385476,0.08671524228622636,0.9527823598041189,-0.1412676351378074,-0.048876443925105734,-0.17065228920569117,-0.05479355492078087,-0.06298720857380047,-0.07436523673709926,0.06004714254263951,0.9419828222397503,-0.09503405364211007,-0.05263284229996079,,,,-0.14245749350152712,-0.023000487382220988,-0.04911461636822844,-0.05281956457521972,-0.02676230211421295,-0.051898867415084156,-0.04293066412852593,-0.011495771770546864,-0.051178508466249335,-0.03105310601154949,-0.04345499922439252,-0.03266648970466179,-0.0567470304278674,0.04960371842196439,0.030638109718074073,-0.003667682038966246,0.0874526827918167,0.9454015816822932,0.9232255231260161,0.9133413202666584,0.8265172045008189,-0.1255464699406972,-0.10812846704101532,-0.07204545915781943,-0.15064423784178527,-0.05289277307620617,-0.03339347838664028,0.21290286070383602,-0.04888578887877431,,-0.012576669337016672,-0.051873088996714674,-0.05809602873485458,0.05051133726321181,0.8175239111048213,-0.13567366965539818,-0.05307277836372782,-0.09731362880649996,-0.05307277836372782,-0.05002726983403707,0.8175239111048213,0.21094120807502284,-0.034174776107172115,0.37299102203215384
sat_uni_sow__nyc_storage_min_p01_pct,,-0.13487538968821186,0.30076397483045086,-0.321332203694091,-0.27739901954310164,-0.2337802428612118,-0.19574270098722737,1.0,-0.01492717856636202,-0.14251992918728393,-0.11729222039678604,-0.3229815881697141,-0.25117464304396453,-0.2649436089685299,-0.1752881470779551,0.7307863358753803,-0.0494856656722049,-0.11929199334672111,0.38309511208019953,-0.3039046079079447,0.29841761983550813,-0.2791823216780183,-0.1657004323844448,0.5691012808773179,-0.039202471448319606,,,,-0.14252021972261814,0.06657912419188605,0.15575377829167686,0.21383051637915343,-0.13498346522181975,-0.12019424911722136,-0.13166895012229687,-0.08733380004606678,-0.32316003209689376,-0.2368832562884963,-0.10933767918471252,-0.19049405654710858,-0.24747662205413035,-0.28789529494950794,-0.30221692357270674,-0.22494443754066973,-0.2650364067704166,-0.17665289937885867,-0.18217970989619287,-0.18360999787555016,-0.11869448829903348,0.7340390185736253,0.6032622276998221,0.564034559677494,0.7325143644111133,0.03313904941119786,0.01145717581923349,0.31275566457099396,-0.049488124098638016,,0.022863739407548125,-0.12079839602829556,-0.23559647394497057,-0.2896350281990425,-0.125459919511753,0.7351513899363988,0.03309543530115271,0.2643811932052378,0.03309543530115271,-0.24539615916962965,-0.125459919511753,-0.0550561762541753,-0.1515817778506781,-0.11819636996723239
sat_uni_sow__nj_delivery_reliability_annual,,0.1217463220830983,0.0669543657047509,0.03353431882011505,0.003731480029390166,-0.08038705073714908,-0.08193102313666767,-0.01492717856636202,1.0,0.12183913304128773,0.03383391594001742,0.03140840111927528,0.04881422017812374,-0.0896432370202999,-0.08248994410538675,-0.00047936973561940236,0.9333556548723128,0.12423614453869923,0.04340701804775861,0.029750015185697927,0.06313778787843148,-0.09041516533827469,-0.08420129406154803,-0.01933404262647683,0.9295286992605448,,,,0.1218393814175916,0.04775130278827483,0.053741918316167085,0.07247577714794544,0.0239095816560295,-0.018063890440762818,-0.022636417193947784,0.005534567411332161,0.031424138908781075,0.047181516992652245,0.06158259093930061,0.061511209892521575,0.0446487984562352,-0.07282699990958122,-0.0664340395567507,-0.048827439745742884,-0.08912503790769186,-0.08245617543877012,-0.08354672997127492,-0.0875768909376387,-0.08369074111043154,0.003639902432539974,0.010609445279514528,0.04420060932776069,-4.0874992919341374e-05,0.2475075372564308,0.14864162577027917,0.2510039843167115,0.9333476750864377,,0.02705690357581659,-0.018087384341216494,0.04054005472897398,-0.07192749979903704,-0.08493958706948856,0.0026519362192350027,0.24788133615700586,0.04216809032611708,0.24788133615700586,0.030774352475270703,-0.08493958706948856,-0.030097387094832683,0.06197537207463187,-0.051901236259647134
laplace__nyc_delivery_reliability_annual,,0.9599475441433237,-0.08549724605051767,-0.15883227776327222,-0.20271887458739177,-0.19886226987562836,-0.14245720309406376,-0.1425199291872839,0.12183913304128771,1.0,0.3278316238385784,-0.15333008523239816,-0.16957075250062575,-0.20178232698599938,-0.14538946007964015,-0.184354324633233,0.12847624201593066,0.9579779222997421,-0.14244608276337634,-0.16644147462055403,-0.2780787471882181,-0.19943355994743503,-0.15519896767783461,-0.23659532021935042,0.11905542594711821,,,,0.9999979614448056,0.1161168216023011,0.05451841493026492,-0.22013217279174727,0.35207324276623164,-0.13486324959855125,-0.10612391054590864,0.006475485661424608,-0.15325815321552294,-0.17729042768741402,-0.21216408230308267,-0.17864480092252197,-0.17241493652693207,-0.22983215488326267,-0.19015778862131882,-0.048236554462113876,-0.20197682671623712,-0.14338689515847622,-0.15200114437886825,-0.14621099866536355,-0.1440940964881048,-0.19094568901409467,-0.18738790724865112,-0.12794763044105623,-0.17208329030192498,0.0018934717434029142,-0.04152981409124214,-0.36758893280632415,0.12848529123177965,,0.18307522634906404,-0.13490814916642987,-0.1796889188126239,-0.22971851128534543,-0.14130450258640412,-0.17996543666472373,0.0020366932874177745,0.1271155142041615,0.0020366932874177745,-0.18878238682204138,-0.14130450258640412,-0.16447605987115418,-0.24607498156414306,-0.14558952256811078
