,sat_multivariate_sow,sat_uni_sow__nyc_delivery_reliability_annual,sat_uni_sow__nyc_delivery_deficit_p99_pct,sat_uni_sow__montague_flow_reliability_annual,sat_uni_sow__montague_flow_deficit_p99_pct,sat_uni_sow__trenton_flow_reliability_annual,sat_uni_sow__downstream_flood_exceedance_annual,sat_uni_sow__nyc_storage_min_p01_pct,sat_uni_sow__nj_delivery_reliability_annual,laplace__nyc_delivery_reliability_annual,laplace__nyc_delivery_deficit_p99_pct,laplace__montague_flow_reliability_annual,laplace__montague_flow_deficit_p99_pct,laplace__trenton_flow_reliability_annual,laplace__downstream_flood_exceedance_annual,laplace__nyc_storage_min_p01_pct,laplace__nj_delivery_reliability_annual,maximin__nyc_delivery_reliability_annual,maximin__nyc_delivery_deficit_p99_pct,maximin__montague_flow_reliability_annual,maximin__montague_flow_deficit_p99_pct,maximin__trenton_flow_reliability_annual,maximin__downstream_flood_exceedance_annual,maximin__nyc_storage_min_p01_pct,maximin__nj_delivery_reliability_annual,regret_mean__nyc_delivery_reliability_annual,regret_q90__nyc_delivery_reliability_annual,regret_cond__nyc_delivery_reliability_annual,gain_mean__nyc_delivery_reliability_annual,regret_mean__nyc_delivery_deficit_p99_pct,regret_q90__nyc_delivery_deficit_p99_pct,regret_cond__nyc_delivery_deficit_p99_pct,gain_mean__nyc_delivery_deficit_p99_pct,regret_mean__montague_flow_reliability_annual,regret_q90__montague_flow_reliability_annual,regret_cond__montague_flow_reliability_annual,gain_mean__montague_flow_reliability_annual,regret_mean__montague_flow_deficit_p99_pct,regret_q90__montague_flow_deficit_p99_pct,regret_cond__montague_flow_deficit_p99_pct,gain_mean__montague_flow_deficit_p99_pct,regret_mean__trenton_flow_reliability_annual,regret_q90__trenton_flow_reliability_annual,regret_cond__trenton_flow_reliability_annual,gain_mean__trenton_flow_reliability_annual,regret_mean__downstream_flood_exceedance_annual,regret_q90__downstream_flood_exceedance_annual,regret_cond__downstream_flood_exceedance_annual,gain_mean__downstream_flood_exceedance_annual,regret_mean__nyc_storage_min_p01_pct,regret_q90__nyc_storage_min_p01_pct,regret_cond__nyc_storage_min_p01_pct,gain_mean__nyc_storage_min_p01_pct,regret_mean__nj_delivery_reliability_annual,regret_q90__nj_delivery_reliability_annual,regret_cond__nj_delivery_reliability_annual,gain_mean__nj_delivery_reliability_annual,harm_freq__nyc_delivery_reliability_annual,harm_freq__nyc_delivery_deficit_p99_pct,harm_freq__montague_flow_reliability_annual,harm_freq__montague_flow_deficit_p99_pct,harm_freq__trenton_flow_reliability_annual,harm_freq__downstream_flood_exceedance_annual,harm_freq__nyc_storage_min_p01_pct,harm_freq__nj_delivery_reliability_annual,party_harm_freq__nyc,party_harm_freq__nj,party_harm_freq__downstream_flow,party_harm_freq__flood_exposed,no_harm_freq,no_harm_freq_tau,n_degraded_mean
sat_multivariate_sow,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sat_uni_sow__nyc_delivery_reliability_annual,,1.0,-0.055857493230472,-0.27438555798287295,-0.2994044000399565,-0.28980470351198667,-0.2013450148121561,-0.02836767497673973,0.1400631462272972,0.9387055601354022,0.4656383634592915,-0.264162241763392,-0.2652651812014326,-0.3092102764226955,-0.19921737982829593,-0.12858728209724601,0.11884957395913295,0.9226797526071081,-0.03992121135030236,-0.27046585363103204,-0.31558179552441173,-0.3084894527870759,-0.20526573826500588,-0.24927964630517144,0.1137778933900688,,,,0.9387055601354022,0.2151259539576658,0.2886184933227844,-0.14643772846364075,0.48701292821934805,-0.13385240472203278,-0.1081155263048761,0.12480480289428617,-0.2652449751646348,-0.2679578308283553,-0.2572194282088115,-0.27367010217115084,-0.2641387946369961,-0.3283792288372616,-0.3001267344427174,-0.10597958520258667,-0.3086403755798254,-0.19548748616315592,-0.19548571816808288,-0.12711555378294576,-0.1921251263765082,-0.10597307161114194,-0.09323822952879042,-0.01735139031941447,-0.12821656416763755,-0.025127514517852365,-0.09257821411750158,-0.5135525910130955,0.11886582180197484,,0.26319497029649064,-0.1360526096358627,-0.2659584835199436,-0.32831481775291743,-0.19090372198552588,-0.109013559194562,-0.025203458171284505,0.21786862954594355,-0.025203458171284505,-0.27499332534641485,-0.19090372198552588,-0.2289640839222851,-0.2924243297849276,-0.15634013372952815
sat_uni_sow__nyc_delivery_deficit_p99_pct,,-0.055857493230472,1.0,-0.2159927766123873,-0.2784058966149766,-0.1918929954580967,-0.05638244499214072,0.2625689771200818,0.058446188648775176,-0.0866826276470349,0.16412572711539897,-0.21571240087894875,-0.15259286476886894,-0.2170216662272859,-0.056358943796724355,0.3910485233814094,0.04386249523825179,-0.07835303753998976,0.6210974435069189,-0.2104662657443737,0.155735886595176,-0.23220163035337454,-0.052396370580224276,0.2429252451803382,0.04581048751685324,,,,-0.0866826276470349,0.6159677575382027,0.4443548477591616,0.5219047815030768,0.10999334390756077,-0.12070748309017103,-0.11806080220560672,-0.0736619480476804,-0.21606113167522306,-0.14620347770600753,-0.056227347143841554,-0.07419017317669642,-0.23712613046529607,-0.21037719987840275,-0.19507181567243606,-0.09343656260707513,-0.21900570349478887,-0.06456380385745376,-0.06300138031704962,-0.07273031833771712,-0.06322696412986002,0.4424334177213013,0.4942635109274477,0.34904935161699513,0.3895203076283483,0.06754385062175444,0.09996894580268056,0.5156879540323449,0.04384774147105273,,0.5686574670149361,-0.12143575295668282,-0.2386397262404695,-0.21315325952614644,-0.07548474133192018,0.45430672364700314,0.06753072199931083,0.529852496172643,0.06753072199931083,-0.2444104098495542,-0.07548474133192018,-0.038066141351257354,-0.03830025206809634,0.08850035785920544
sat_uni_sow__montague_flow_reliability_annual,,-0.27438555798287295,-0.2159927766123873,1.0,0.5560919131276268,0.4690018499998069,-0.057284605180153936,-0.32399056359371614,0.0034434370979879742,-0.2626589719910721,-0.40894812612632736,0.9679985854715604,0.3630972189976571,0.5221087700616031,-0.058357806077655734,-0.21387492214350062,0.018290757683612414,-0.2603365459880347,-0.2610364225465287,0.9443062501450372,0.11736098005556342,0.5433380225994086,-0.05473712667829343,-0.013158278287877138,0.0220471357560007,,,,-0.2626589719910721,-0.41331280116613217,-0.44296996037278646,-0.048161260765161806,-0.3862481455594697,0.44191402265425156,0.3801895698324442,0.28120259089828514,0.9695535525852834,0.35141368997131345,0.22417444429146474,0.27434969153545086,0.5728983606376602,0.5687743198592334,0.5658208806602082,0.41112236777931455,0.5230868729995729,-0.06050663149636809,-0.058806931972060696,0.04907687816494304,-0.0856690456379186,-0.29961146462372995,-0.2640881466773257,-0.1918773104346599,-0.2078844538710202,0.0707124669521435,0.024971837318263,0.09043156884067047,0.018306312426761194,,-0.42434697696978785,0.445044141971886,0.5640158377564304,0.5756836927739448,-0.09254422747047128,-0.29546504175251403,0.07061669669442962,-0.49798468021782966,0.07061669669442962,0.5932647213158638,-0.09254422747047128,0.10177264948336154,0.32966155795872043,0.06403032389197519
sat_uni_sow__montague_flow_deficit_p99_pct,,-0.29940440003995644,-0.27840589661497667,0.556091913127627,1.0,0.40387582522891297,-0.01901710238482526,-0.3295316714841037,-0.05221591038232506,-0.28735663207370443,-0.48018406079277814,0.5496119857277367,0.6538687445312098,0.455559987219461,-0.02331440927151543,-0.2813334947147341,-0.033278165716009334,-0.2893482828017571,-0.3341496139142082,0.5473270239809875,0.32891360090634136,0.4947039010587632,-0.021042325548882496,-0.14169049423887053,-0.03050856994736202,,,,-0.28735663207370443,-0.4446263577454294,-0.4376781580323991,0.07922494230597975,-0.47318408885340985,0.20378962280416088,0.17154096387351883,-0.03208066752530605,0.5503075855280141,0.6548012082705583,0.515162087197925,0.5870729805612597,0.7188886819100765,0.4706381830936145,0.44022149759162554,0.23136543534840714,0.45615598956835324,-0.023148132664192723,-0.023993621534505138,0.061560448255110235,-0.04590011234583564,-0.29852161344458944,-0.25888280351774295,-0.034638661243593695,-0.28526837669906263,0.05094451815612932,0.01712145241977292,0.0,-0.033269026919272006,,-0.48341778957790554,0.2050292889488927,0.7338450048876815,0.47306107674705233,-0.048582748676923616,-0.3117084501508838,0.05084709730696113,-0.5057255578287724,0.05084709730696113,0.7282043174187124,-0.048582748676923616,0.27550909620831343,0.6095792222671296,-0.019172687081434225
sat_uni_sow__trenton_flow_reliability_annual,,-0.28980470351198667,-0.1918929954580967,0.46900184999980693,0.40387582522891297,1.0,0.06878666527404191,-0.2725833839044699,-0.07891759089222421,-0.2748693963522041,-0.3865961401450494,0.4697191851767955,0.3087955685143882,0.8520655713301849,0.06442880643126163,-0.19714116265970588,-0.04678817499837587,-0.2780742395221617,-0.2571393443759063,0.46621457837415015,0.14829444059448588,0.7607625046661316,0.06864971712900586,-0.045572400646286745,-0.046387127293468965,,,,-0.2748693963522041,-0.36215935169293606,-0.3972911299650871,0.007088487185022646,-0.36819203658137123,0.387305887003411,0.36114993919414345,0.399839201118078,0.47013846715986335,0.3065644486138151,0.2482400820980143,0.2769380925962275,0.33659725634729754,0.7190020736513284,0.6716069237583595,0.6343207757778652,0.8559963314523716,0.05418473583629583,0.05316738187373585,0.1670070224388209,0.019114369050013784,-0.2282106913988155,-0.20359029233294176,-0.16951264523268114,-0.19323180111252533,0.017599452504617343,0.00021559502397639892,-0.05555898522840234,-0.0467765767488813,,-0.37595737357702225,0.389678497721301,0.33718293894672047,0.7273857016728837,0.0026644512363569726,-0.22482195312795236,0.017584191078165917,-0.42045675711160635,0.017584191078165917,0.355894012849985,0.0026644512363569726,0.15723273770093135,0.2746042412220192,0.16525702023569475
sat_uni_sow__downstream_flood_exceedance_annual,,-0.20134501481215608,-0.05638244499214072,-0.05728460518015393,-0.019017102384825263,0.0687866652740419,1.0,-0.2717114580553899,-0.06827278126335387,-0.18497119056613612,-0.08838456991185085,-0.06680537876855051,-0.04813433528393089,0.038003285496706445,0.97074931427401,-0.20330401444248566,-0.03183574846105558,-0.21696042218140735,-0.08341279322982131,-0.09202719731796574,-0.06987263545748555,0.01291705128811379,0.9659957139623355,-0.07689485711191738,-0.03879207488689804,,,,-0.18497119056613612,-0.07679114682391192,-0.09107031431964144,-0.04437324098777114,-0.07342585542581473,-0.09349413014983642,-0.08579852034258997,-0.16108594092970271,-0.06581079373349204,-0.04903046930016438,-0.04946305644056696,-0.044214929782856495,-0.04694061225017016,0.022503650497323276,0.0013590696516071455,-0.04874884412645242,0.04115228002615278,0.9250404731974258,0.9153482027341538,0.9570618523813527,0.78879042832925,-0.19825784118646111,-0.17259140929699585,-0.13608025615595756,-0.20518154158183954,-0.11675584258382637,-0.06564825109546248,0.22099784804393197,-0.03181645011559713,,-0.06587838434131246,-0.0919119924932325,-0.04509192697817624,0.025305719322149086,0.7321863468556745,-0.19715449541577296,-0.11675438848080572,-0.14239185770587762,-0.11675438848080572,-0.046272595040281216,0.7321863468556745,0.17575793054071187,-0.07328179315021506,0.2914209636519708
sat_uni_sow__nyc_storage_min_p01_pct,,-0.02836767497673973,0.26256897712008176,-0.32399056359371614,-0.32953167148410367,-0.2725833839044699,-0.27171145805538993,1.0,0.014187294031210298,-0.03795084577428645,0.036874007998379886,-0.3168390017675346,-0.2032056352801687,-0.28636119122567977,-0.25922928018851676,0.7233275809501567,-0.012249835118746825,-0.014311257082271218,0.33375032171561225,-0.29399031866876696,0.11243035157503212,-0.29247901397651777,-0.2547084612387856,0.49033899681860993,-0.006403663538809686,,,,-0.03795084577428645,0.1537957484088441,0.11545307224691213,0.05274945535880106,0.018106135744760273,-0.17944639373660437,-0.16968403482432792,-0.02004182458314341,-0.31764503029058594,-0.19648367374422684,-0.12412896829722973,-0.15652031242706058,-0.30219629883558397,-0.29397397065252306,-0.3033092023622302,-0.17879678741510155,-0.2897109817152689,-0.2781719861606434,-0.2754272356484555,-0.15587920418300236,-0.2758783119592053,0.7428883459162401,0.5755515669828659,0.5837270903621395,0.718269118636212,0.037591429994066235,0.07490390657261817,0.553133980780464,-0.012266039297935558,,0.1404199783753757,-0.1814240812730371,-0.29845766152670444,-0.2999938122203916,-0.30798161515215733,0.7346859864989145,0.0375966180005306,0.3560006167132692,0.0375966180005306,-0.29877671665919214,-0.30798161515215733,-0.11299666114108371,-0.18642687048672604,-0.23861708975067025
sat_uni_sow__nj_delivery_reliability_annual,,0.1400631462272972,0.058446188648775176,0.0034434370979879742,-0.05221591038232506,-0.07891759089222422,-0.06827278126335386,0.014187294031210298,1.0,0.13781255932195804,0.053793115861519476,0.0052036089539085634,-0.009222137651068227,-0.09866880417229706,-0.06713458248085333,0.04225738248854864,0.9408670568279914,0.13780231415323632,0.04891602383451224,0.004420125470506594,-0.007222932985452038,-0.10725617356562965,-0.06973838533163569,0.016450308505934097,0.9338058523077034,,,,0.13781255932195804,0.024665084731928962,0.03883075994184832,0.028101241238470902,0.05855129069411328,-0.024154072263040244,-0.03355115468527951,-0.06263568895780307,0.005034384683616072,-0.011859055100476237,-0.024829217340704965,-0.020922847976140496,-0.018515059962823526,-0.10432197800794048,-0.10498111818061183,-0.08574397246721496,-0.0971130898479065,-0.07056793022286965,-0.07118464476060375,-0.008053480473319819,-0.08673791853280781,0.028114437026898944,0.05400256246840993,0.05693366069381496,0.041680282784580636,0.23188512140010062,0.15265028985433082,0.5956560361708786,0.9408880555865995,,0.023337699831807644,-0.02458312268478289,-0.021432236386787203,-0.10134955227950913,-0.0947103630107438,0.02819571878409279,0.23200280497571749,0.03171184478296807,0.23200280497571749,-0.017304621581523176,-0.0947103630107438,-0.043363379756144606,-0.024146864760198224,-0.069981453384395
laplace__nyc_delivery_reliability_annual,,0.9387055601354022,-0.0866826276470349,-0.26265897199107213,-0.28735663207370443,-0.2748693963522041,-0.18497119056613612,-0.03795084577428646,0.13781255932195804,1.0,0.48773844625342344,-0.25175526906657186,-0.27348461400767426,-0.29076247654580445,-0.18315930083013787,-0.14775766856253178,0.1164688442813566,0.9544709329573501,-0.0686855523160014,-0.25776222999870435,-0.3347027872368587,-0.29029973891350264,-0.18963624220212394,-0.2665203178687296,0.10964110967945508,,,,0.9999999999999998,0.1758862985740915,0.25901299208681094,-0.1705023336276075,0.51663410063452,-0.13007526203462613,-0.1043309460205592,0.13435570187779836,-0.2529193557098706,-0.27675966344941294,-0.2697999814941413,-0.2848771519320613,-0.25464662117902315,-0.314782065868763,-0.2886072801650378,-0.10354915280694532,-0.29039498520024654,-0.1792146255449518,-0.17942172561107614,-0.12228000089271765,-0.17083790128426588,-0.12793735103172224,-0.11938337449618097,-0.047275716404660224,-0.14756395160369684,-0.0423100904829009,-0.10310532414811827,-0.4065934065934066,0.11648819500526933,,0.22440846345374188,-0.1325041519358614,-0.25658343285008306,-0.3150634545384194,-0.16846125323267597,-0.1307412176793241,-0.04233324392355131,0.1854189715906378,-0.04233324392355131,-0.26194814580030557,-0.16846125323267597,-0.21842525769296461,-0.3005047750858399,-0.16056657060573384
