solution_id,sat_multivariate_sow,sat_uni_sow__nyc_delivery_reliability_annual,sat_uni_sow__nyc_delivery_deficit_p99_pct,sat_uni_sow__montague_flow_reliability_annual,sat_uni_sow__montague_flow_deficit_p99_pct,sat_uni_sow__trenton_flow_reliability_annual,sat_uni_sow__downstream_flood_exceedance_annual,sat_uni_sow__nyc_storage_min_p01_pct,sat_uni_sow__nj_delivery_reliability_annual,laplace__nyc_delivery_reliability_annual,laplace__nyc_delivery_deficit_p99_pct,laplace__montague_flow_reliability_annual,laplace__montague_flow_deficit_p99_pct,laplace__trenton_flow_reliability_annual,laplace__downstream_flood_exceedance_annual,laplace__nyc_storage_min_p01_pct,laplace__nj_delivery_reliability_annual,maximin__nyc_delivery_reliability_annual,maximin__nyc_delivery_deficit_p99_pct,maximin__montague_flow_reliability_annual,maximin__montague_flow_deficit_p99_pct,maximin__trenton_flow_reliability_annual,maximin__downstream_flood_exceedance_annual,maximin__nyc_storage_min_p01_pct,maximin__nj_delivery_reliability_annual,regret_mean__nyc_delivery_reliability_annual,regret_q90__nyc_delivery_reliability_annual,regret_cond__nyc_delivery_reliability_annual,gain_mean__nyc_delivery_reliability_annual,regret_mean__nyc_delivery_deficit_p99_pct,regret_q90__nyc_delivery_deficit_p99_pct,regret_cond__nyc_delivery_deficit_p99_pct,gain_mean__nyc_delivery_deficit_p99_pct,regret_mean__montague_flow_reliability_annual,regret_q90__montague_flow_reliability_annual,regret_cond__montague_flow_reliability_annual,gain_mean__montague_flow_reliability_annual,regret_mean__montague_flow_deficit_p99_pct,regret_q90__montague_flow_deficit_p99_pct,regret_cond__montague_flow_deficit_p99_pct,gain_mean__montague_flow_deficit_p99_pct,regret_mean__trenton_flow_reliability_annual,regret_q90__trenton_flow_reliability_annual,regret_cond__trenton_flow_reliability_annual,gain_mean__trenton_flow_reliability_annual,regret_mean__downstream_flood_exceedance_annual,regret_q90__downstream_flood_exceedance_annual,regret_cond__downstream_flood_exceedance_annual,gain_mean__downstream_flood_exceedance_annual,regret_mean__nyc_storage_min_p01_pct,regret_q90__nyc_storage_min_p01_pct,regret_cond__nyc_storage_min_p01_pct,gain_mean__nyc_storage_min_p01_pct,regret_mean__nj_delivery_reliability_annual,regret_q90__nj_delivery_reliability_annual,regret_cond__nj_delivery_reliability_annual,gain_mean__nj_delivery_reliability_annual,harm_freq__nyc_delivery_reliability_annual,harm_freq__nyc_delivery_deficit_p99_pct,harm_freq__montague_flow_reliability_annual,harm_freq__montague_flow_deficit_p99_pct,harm_freq__trenton_flow_reliability_annual,harm_freq__downstream_flood_exceedance_annual,harm_freq__nyc_storage_min_p01_pct,harm_freq__nj_delivery_reliability_annual,party_harm_freq__nyc,party_harm_freq__nj,party_harm_freq__downstream_flow,party_harm_freq__flood_exposed,no_harm_freq,no_harm_freq_tau,n_degraded_mean
0,0.0,0.87,0.055,1.0,0.99,0.075,0.2,0.015,1.0,0.7917061224489795,48.74203748143617,0.9869183673469388,2.122328017770394,0.7399510204081633,2.355957462367478,14.177662605665251,1.0,0.5330612244897959,58.60286184855865,0.9346938775510204,31.53635715016834,0.4661224489795918,6.356818895689799,0.0,1.0,0.0,0.0,,0.41438367346938776,13.234324407942374,13.539082679698042,13.234324407942374,0.0,0.0,0.0,,0.5124775510204082,0.0,0.0,,12.389703715052233,0.0,0.0,,0.03508979591836735,0.7045902075867381,1.0941309472806506,0.7045902075867381,0.0,0.17457062354641753,0.646168871053419,0.9187927555074606,1.8106952954982076,0.0,0.0,,0.4931591836734694,0.0,1.0,0.0,0.0,0.0,1.0,0.19,0.0,1.0,0.0,0.0,1.0,0.0,0.035,2.19
1,0.0,0.895,1.0,0.665,0.0,0.09,0.385,0.005,1.0,0.8026448979591837,19.824435890605535,0.8254489795918367,40.70734699563335,0.7408816326530612,1.776228046963984,16.974579126643615,1.0,0.5453061224489796,28.189269265700464,0.5869387755102041,47.198506468709105,0.4514285714285714,5.198017102938723,0.0,1.0,0.0,0.0,,0.4253224489795918,0.0,0.0,,15.683277182888261,0.0,0.0,,0.35100816326530615,26.195315262810727,27.833185435712924,26.195315262810727,0.0,0.0,0.0,,0.03602040816326531,0.12486079218324386,0.19830363259837025,0.12486079218324386,0.0,0.05050821164178908,0.0,1.1224047031508684,4.483549404571943,0.0,0.0,,0.4931591836734694,0.0,0.0,0.0,1.0,0.0,1.0,0.045,0.0,0.045,0.0,1.0,1.0,0.0,0.0,2.045
2,0.0,0.76,0.975,0.605,0.005,0.27,0.555,0.0,0.565,0.7499387755102042,30.65721122402354,0.802861224489796,31.243157902823214,0.7932530612244898,1.1776940178859088,11.109847036478202,0.7368938775510203,0.46040816326530615,58.08545119549691,0.5453061224489796,46.36717850549055,0.5175510204081633,3.6704146323207416,0.0,0.4424489795918367,0.0,0.0,,0.3726163265306123,0.4968454859559542,0.0,5.84524101124652,5.347347335426214,0.0,0.0,,0.3284204081632653,16.731126170000593,17.644101839113596,16.731126170000593,0.0,0.0,0.0,,0.08839183673469389,0.0,0.0,,0.4736732368948312,1.6410249880796635,4.099134296375272,2.3113028001122022,0.20933409084440455,0.0,0.0,,0.2300530612244898,0.0,0.085,0.0,1.0,0.0,0.0,0.71,0.0,0.77,0.0,1.0,0.0,0.0,0.005,1.795
3,0.0,0.805,0.0,0.57,0.0,0.09,0.395,0.715,0.555,0.7628489795918366,48.022490486435416,0.7876081632653061,33.30325697249412,0.7454857142857142,1.7668610517642969,26.713024481433028,0.7364571428571429,0.49795918367346936,48.02249048685931,0.5346938775510204,39.780216977202095,0.4661224489795918,5.177619003121922,13.504931110650347,0.4661224489795918,0.0,0.0,,0.3855265306122449,12.54302749478799,13.022490484653996,12.799007647742847,0.028250081846364346,0.0,0.0,,0.3131673469387755,18.791225239671494,20.181315318501333,18.791225239671494,0.0,0.0,0.0,,0.040624489795918366,0.1154937969835569,0.18121564135443868,0.1154937969835569,0.0,0.0,0.0,,14.171486547719567,0.0,0.0,,0.22961632653061223,0.0,0.98,0.0,1.0,0.0,1.0,0.0,0.0,0.98,0.0,1.0,1.0,0.0,0.015,2.98
4,0.0,1.0,0.98,0.075,0.0,0.055,0.195,0.185,1.0,0.9971142857142857,4.104911372621295,0.6357102040816326,41.56649814418557,0.6958489795918368,2.3563661273733043,16.071493317624885,1.0,0.9706122448979592,65.47901877877072,0.37387755102040815,52.80458621191809,0.38693877551020406,6.383893761239742,0.0,1.0,0.0,0.0,,0.6197918367346938,0.3192229766300624,0.0,12.768919065202494,31.722024677502567,0.0,0.0,,0.16126938775510205,27.05446641136294,29.203936105384987,27.05446641136294,0.0,0.01009795918367347,0.025387755102040784,0.013738719977787035,0.001085714285714284,0.7049988725925642,1.1067711115409598,0.7049988725925642,0.0,0.20090731051757824,0.11319144231864672,1.385567658741919,3.730862694429003,0.0,0.0,,0.4931591836734694,0.0,0.025,0.0,1.0,0.735,1.0,0.145,0.0,0.165,0.0,1.0,1.0,0.0,0.0,2.905
5,0.0,1.0,0.86,0.005,0.0,0.21,0.31,0.035,0.545,0.9914204081632653,13.296406654058607,0.5646408163265306,42.256850367502444,0.7678489795918366,2.11674117216685,11.120868810657772,0.7206938775510204,0.9224489795918367,82.5846863120509,0.31183673469387757,66.34087688874637,0.4751020408163265,5.9454809333535,0.0,0.4163265306122449,0.0,0.0,,0.6140979591836735,3.9313400126041156,15.625397843386999,21.84077784780064,26.1426464320393,2.4489795918367362e-05,0.0,0.004897959183673473,0.09022448979591836,27.744818634679824,30.399239658336295,27.744818634679824,0.0,0.0,0.0,,0.06298775510204081,0.4653739173861097,0.7646993737606694,0.4653739173861097,0.0,2.369074748218221,7.105290498391069,4.193052651713666,0.9484056251625294,0.0,0.0,,0.2138530612244898,0.0,0.18,0.005,1.0,0.0,1.0,0.565,0.0,0.645,0.0,1.0,1.0,0.0,0.0,2.75
6,0.0,0.99,1.0,0.0,0.0,0.015,0.58,0.03,1.0,0.869938775510204,28.303684715328917,0.4308938775510204,38.52482451221307,0.6650163265306123,1.1371213742621489,18.469021338891547,1.0,0.6351020408163265,29.44298618007504,0.1853061224489796,41.444536572633844,0.3355102040816327,3.517294814867748,2.031569264758421,1.0,0.0,0.0,,0.49261632653061227,0.0,0.0,,7.20402835816488,0.043546938775510205,0.06775510204081636,0.043546938775510205,0.0,24.01279277939045,26.52643149447914,24.01279277939045,0.0,0.03984489795918367,0.06448979591836729,0.03984489795918367,0.0,0.0,0.0,,0.5142458805185912,0.015348529726990296,0.0,1.0232353151326865,5.942831934905073,0.0,0.0,,0.4931591836734694,0.0,0.0,1.0,1.0,1.0,0.0,0.015,0.0,0.015,0.0,1.0,0.0,0.0,0.015,3.015
7,0.0,0.72,1.0,0.0,0.0,0.055,0.375,0.405,0.435,0.7320081632653062,19.707181547575022,0.38137959183673475,37.0293526648439,0.6961224489795919,1.847750643545196,21.61906180318598,0.6954204081632653,0.45387755102040817,19.707420019270618,0.18775510204081633,38.55135955834962,0.3926530612244898,5.389049029380981,0.27480401619832345,0.40816326530612246,0.0,0.0,,0.3546857142857144,0.0,0.0,,15.800531525918775,0.09306122448979594,0.12408163265306116,0.09306122448979594,0.0,22.517320932021274,25.387455612088708,22.517320932021274,0.0,0.010351020408163264,0.02367346938775506,0.014578901983328542,0.001612244897959183,0.19638338876445607,0.31902426545732465,0.19638338876445607,0.0,0.0,0.0,,9.07752386947252,0.0,0.0,,0.18857959183673473,0.0,0.0,1.0,1.0,0.71,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.015,3.71
8,0.0,1.0,1.0,0.18,0.0,0.09,0.2,0.32,1.0,0.9456122448979591,14.493091006585942,0.6695265306122448,39.77364185349006,0.7223142857142858,2.3211182244838002,20.48464381004302,0.9380571428571429,0.7640816326530612,19.60638805278427,0.38448979591836735,45.9723599953817,0.4146938775510204,6.273737947954868,0.15004164606431503,0.7420408163265306,0.0,0.0,,0.5682897959183674,0.0,0.0,,21.014622066907858,0.0,0.0,,0.19508571428571428,25.261610120667438,27.0687328968192,25.261610120667438,0.0,6.93877551020411e-05,0.0,0.0027755102040816436,0.017522448979591834,0.6697509697030603,1.063836311379277,0.6697509697030603,0.0,0.0,0.0,,7.943105876329561,0.0,0.0,,0.43121632653061226,0.0,0.0,0.0,1.0,0.025,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.025
9,0.0,1.0,0.975,0.0,0.0,0.005,0.21,0.315,1.0,0.9583469387755101,8.48934236929341,0.40309795918367347,39.60982664828198,0.6474938775510205,2.305573700122239,18.019956138967157,1.0,0.8057142857142857,62.83134553134478,0.18775510204081633,51.57035602837971,0.32653061224489793,6.302701069000899,0.0,1.0,0.0,0.0,,0.5810244897959184,0.32129456196022815,0.0,10.709818732007605,27.33966526616062,0.07134285714285714,0.0931428571428572,0.07134285714285714,0.0,25.097794915459353,27.94390909475253,25.097794915459353,0.0,0.057367346938775515,0.08408163265306123,0.057367346938775515,0.0,0.6542064453414992,1.0289791360523048,0.6542064453414992,0.0,0.16897568662586895,0.042276939598082375,1.4081307218822412,5.647393891879563,0.0,0.0,,0.4931591836734694,0.0,0.03,1.0,1.0,1.0,1.0,0.12,0.0,0.14,0.0,1.0,1.0,0.0,0.01,4.15
