k,realization_batch,b_effective,n_model_runs_per_eval,n_ranks_reported,n_warm,warm_median_s,warm_q25_s,warm_q75_s,rss_max_mb,su_per_1000_evals,objs_ok_frac,n_distinct_obj_vectors,time_vs_all
1,1,1,20,1,3,150.786,150.45499999999998,150.89100000000002,502.1,5361.28,1.0,1,2.366718463059754
1,2,2,10,1,3,109.952,109.8945,109.9935,552.0,3909.4044444444444,1.0,1,1.7257930341699235
1,5,5,4,1,3,80.467,80.3355,80.793,594.6,2861.048888888889,1.0,1,1.2630001098711368
1,10,10,2,1,3,69.105,69.083,69.1865,732.5,2457.0666666666666,1.0,1,1.0846635588830815
1,0,20,1,1,3,63.711,63.453,63.786,755.1,2265.28,1.0,1,1.0
128,1,1,20,128,384,182.7055,181.02175,184.61775,461.6,50.75152777777778,1.0,1,2.4417055340986544
128,2,2,10,128,384,128.62,127.65525,130.4105,507.7,35.727777777777774,1.0,1,1.7188982586499526
128,5,5,4,128,384,93.9145,92.97225,95.2815,554.0,26.08736111111111,1.0,3,1.2550884039183718
128,10,10,2,128,384,81.3895,80.64675,82.3405,694.3,22.608194444444443,1.0,2,1.0877022999719352
128,0,20,1,128,384,74.827,74.097,75.48474999999999,713.1,20.78527777777778,1.0,3,1.0
