preset,formulation,n_realizations,realization_years,sim_start,sim_end,k_concurrent,realization_batch,mode,rank,hostname,stagger_s,eval_index,kind,wall_seconds,ru_maxrss_mb,mem_available_mb,objs_ok,obj0,obj1,obj2,t_start_epoch,job_id,code_sha
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,batch,0,a007.anvil.rcac.purdue.edu,0,0,cold,65.57,623.5,241598.4,True,-0.284211,35.0,-0.3,1783973334.1,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,batch,0,a007.anvil.rcac.purdue.edu,0,1,warm,63.195,755.1,241466.7,True,-0.284211,35.0,-0.3,1783973399.7,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,batch,0,a007.anvil.rcac.purdue.edu,0,2,warm,63.861,755.1,241467.1,True,-0.284211,35.0,-0.3,1783973462.9,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,batch,0,a007.anvil.rcac.purdue.edu,0,3,warm,63.711,755.1,241471.7,True,-0.284211,35.0,-0.3,1783973526.8,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,ladder,0,a007.anvil.rcac.purdue.edu,0,0,cold,66.399,622.3,241487.8,True,-0.284211,35.0,-0.3,1783981416.7,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,ladder,0,a007.anvil.rcac.purdue.edu,0,1,warm,64.181,752.7,241381.9,True,-0.284211,35.0,-0.3,1783981483.1,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,ladder,0,a007.anvil.rcac.purdue.edu,0,2,warm,64.049,752.7,241396.2,True,-0.284211,35.0,-0.3,1783981547.2,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,ladder,0,a007.anvil.rcac.purdue.edu,0,3,warm,63.98,753.8,241394.9,True,-0.284211,35.0,-0.3,1783981611.3,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,ladder,0,a007.anvil.rcac.purdue.edu,0,4,warm,64.285,753.8,241398.0,True,-0.284211,35.0,-0.3,1783981675.3,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,ladder,0,a007.anvil.rcac.purdue.edu,0,5,warm,63.728,754.6,241405.6,True,-0.284211,35.0,-0.3,1783981739.5,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,0,ladder,0,a007.anvil.rcac.purdue.edu,0,6,warm,64.189,754.6,241408.5,True,-0.284211,35.0,-0.3,1783981803.3,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,10,batch,0,a007.anvil.rcac.purdue.edu,0,0,cold,73.37,529.7,241667.4,True,-0.284211,35.0,-0.3,1783973052.0,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,10,batch,0,a007.anvil.rcac.purdue.edu,0,1,warm,69.061,597.1,241615.7,True,-0.284211,35.0,-0.3,1783973125.4,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,10,batch,0,a007.anvil.rcac.purdue.edu,0,2,warm,69.105,732.5,241541.6,True,-0.284211,35.0,-0.3,1783973194.4,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,10,batch,0,a007.anvil.rcac.purdue.edu,0,3,warm,69.268,732.5,241556.4,True,-0.284211,35.0,-0.3,1783973263.5,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,1,batch,0,a007.anvil.rcac.purdue.edu,0,0,cold,163.182,461.7,241696.6,True,-0.284211,35.0,-0.302632,1783971660.2,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,1,batch,0,a007.anvil.rcac.purdue.edu,0,1,warm,150.996,500.9,241682.9,True,-0.284211,35.0,-0.302632,1783971823.4,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,1,batch,0,a007.anvil.rcac.purdue.edu,0,2,warm,150.124,501.6,241688.6,True,-0.284211,35.0,-0.302632,1783971974.4,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,1,batch,0,a007.anvil.rcac.purdue.edu,0,3,warm,150.786,502.1,241688.7,True,-0.284211,35.0,-0.302632,1783972124.5,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,2,batch,0,a007.anvil.rcac.purdue.edu,0,0,cold,116.902,469.3,241740.6,True,-0.284211,35.0,-0.3,1783972276.4,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,2,batch,0,a007.anvil.rcac.purdue.edu,0,1,warm,109.952,551.5,241661.0,True,-0.284211,35.0,-0.3,1783972393.3,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,2,batch,0,a007.anvil.rcac.purdue.edu,0,2,warm,110.035,551.5,241650.6,True,-0.284211,35.0,-0.3,1783972503.3,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,2,batch,0,a007.anvil.rcac.purdue.edu,0,3,warm,109.837,552.0,241666.9,True,-0.284211,35.0,-0.3,1783972613.3,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,5,batch,0,a007.anvil.rcac.purdue.edu,0,0,cold,84.291,486.7,241702.5,True,-0.284211,35.0,-0.3,1783972724.4,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,5,batch,0,a007.anvil.rcac.purdue.edu,0,1,warm,80.204,557.3,241638.9,True,-0.284211,35.0,-0.3,1783972808.7,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,5,batch,0,a007.anvil.rcac.purdue.edu,0,2,warm,80.467,559.8,241649.4,True,-0.284211,35.0,-0.3,1783972888.9,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,1,5,batch,0,a007.anvil.rcac.purdue.edu,0,3,warm,81.119,594.6,241601.4,True,-0.284211,35.0,-0.3,1783972969.3,19153719,
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,0,a007.anvil.rcac.purdue.edu,0,0,cold,66.519,555.7,238711.4,True,-0.284211,35.0,-0.3,1783981868.7,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,0,a007.anvil.rcac.purdue.edu,0,1,warm,64.56,687.3,237595.2,True,-0.284211,35.0,-0.3,1783981935.2,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,0,a007.anvil.rcac.purdue.edu,0,2,warm,64.83,687.3,237535.7,True,-0.284211,35.0,-0.3,1783981999.8,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,0,a007.anvil.rcac.purdue.edu,0,3,warm,64.468,687.3,237501.9,True,-0.284211,35.0,-0.3,1783982064.6,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,0,a007.anvil.rcac.purdue.edu,0,4,warm,64.543,687.3,237681.7,True,-0.284211,35.0,-0.3,1783982129.1,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,1,a007.anvil.rcac.purdue.edu,1,0,cold,66.006,559.1,238666.4,True,-0.284211,35.0,-0.3,1783981869.7,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,1,a007.anvil.rcac.purdue.edu,1,1,warm,64.24,690.4,237641.2,True,-0.284211,35.0,-0.3,1783981935.7,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,1,a007.anvil.rcac.purdue.edu,1,2,warm,64.302,690.4,237534.8,True,-0.284211,35.0,-0.3,1783982000.0,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,1,a007.anvil.rcac.purdue.edu,1,3,warm,64.346,690.8,237504.3,True,-0.284211,35.0,-0.3,1783982064.3,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,1,a007.anvil.rcac.purdue.edu,1,4,warm,64.682,690.8,237677.5,True,-0.284211,35.0,-0.3,1783982128.6,19163445,8c60ecd-dirty
kn_20yr_n20,ffmp,20,20,1945-10-01,1965-09-30,8,0,ladder,2,a007.anvil.rcac.purdue.edu,2,0,cold,66.389,558.2,238398.3,True,-0.284211,35.0,-0.3,1783981870.7,19163445,8c60ecd-dirty
