experiment,preset,formulation,model_variant,n_realizations,realization_years,sim_start,sim_end,k_concurrent,realization_batch,mode,rank,hostname,stagger_s,eval_index,kind,wall_seconds,ru_maxrss_mb,mem_available_mb,objs_ok,obj0,obj1,obj2,t_start_epoch,job_id,code_sha
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,0,a463.anvil.rcac.purdue.edu,0,0,cold,5.806,393.0,215871.3,True,-0.25,34.996429,-0.25,1784091340.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,0,a463.anvil.rcac.purdue.edu,0,1,warm,2.79,400.1,215456.9,True,-0.25,34.996429,-0.25,1784091346.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,0,a463.anvil.rcac.purdue.edu,0,2,warm,2.914,400.1,215052.6,True,-0.25,34.996429,-0.25,1784091348.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,1,a463.anvil.rcac.purdue.edu,1,0,cold,4.801,394.8,215869.3,True,-0.25,34.996429,-0.25,1784091341.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,1,a463.anvil.rcac.purdue.edu,1,1,warm,2.796,401.9,215456.4,True,-0.25,34.996429,-0.25,1784091346.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,1,a463.anvil.rcac.purdue.edu,1,2,warm,2.911,401.9,215052.1,True,-0.25,34.996429,-0.25,1784091348.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,2,a463.anvil.rcac.purdue.edu,2,0,cold,4.678,392.1,215734.7,True,-0.25,34.996429,-0.25,1784091342.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,2,a463.anvil.rcac.purdue.edu,2,1,warm,2.782,399.2,215334.3,True,-0.25,34.996429,-0.25,1784091347.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,2,a463.anvil.rcac.purdue.edu,2,2,warm,2.88,399.2,214929.3,True,-0.25,34.996429,-0.25,1784091349.8,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,3,a463.anvil.rcac.purdue.edu,3,0,cold,4.724,392.1,215585.4,True,-0.25,34.996429,-0.25,1784091343.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,3,a463.anvil.rcac.purdue.edu,3,1,warm,2.794,399.2,215184.2,True,-0.25,34.996429,-0.25,1784091348.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,3,a463.anvil.rcac.purdue.edu,3,2,warm,2.922,399.3,214778.3,True,-0.25,34.996429,-0.25,1784091350.9,19211035,fba0f7d
