n_realizations,realization_years,scenario_years,trimmed_warm_s,full_warm_s,time_ratio,trimmed_rss_mb,full_rss_mb,rss_ratio,trimmed_k,full_k,su_ratio,variant_switch_ok
1,5,5,2.7489999999999997,3.121,1.1353219352491817,403.0,404.9,1.0047146401985112,128,128,1.1353219352491817,False
1,10,10,4.707,5.3615,1.1390482260463142,412.8,416.5,1.0089631782945736,128,128,1.139048226046314,False
1,20,20,8.665,9.779499999999999,1.1286208886324294,409.1,413.6,1.0109997555609875,128,128,1.1286208886324292,False
1,30,30,12.9145,14.4155,1.1162259475783034,445.9,451.4,1.0123346041713388,128,128,1.1162259475783036,False
10,5,50,10.536000000000001,12.082,1.1467350037965072,439.7,444.1,1.0100068228337504,128,128,1.1467350037965072,False
10,10,100,20.61,23.445,1.1375545851528386,486.5,496.9,1.021377183967112,128,128,1.1375545851528386,False
10,20,200,40.0105,46.0155,1.150085602529336,557.9,576.5,1.0333393081197348,128,128,1.150085602529336,False
10,30,300,59.486999999999995,68.61500000000001,1.1534452905676873,663.5,691.5,1.0422004521477015,128,128,1.1534452905676873,False
20,5,100,18.918,21.879,1.1565176022835395,478.4,488.8,1.0217391304347827,128,128,1.1565176022835395,False
20,10,200,37.601,43.370999999999995,1.1534533656019785,564.6,583.6,1.0336521431101664,128,128,1.1534533656019785,False
20,20,400,73.217,84.578,1.1551688815439038,715.8,753.8,1.0530874545962559,128,128,1.1551688815439038,False
20,30,600,109.2585,126.35900000000001,1.156514138488081,895.8,954.7,1.0657512837686984,128,128,1.1565141384880813,False
50,5,250,43.796,50.9545,1.1634510000913327,596.6,624.0,1.04592691920885,128,128,1.1634510000913325,False
50,10,500,87.89349999999999,100.785,1.1466718244238767,802.1,848.5,1.057848148609899,128,128,1.1466718244238767,False
50,20,1000,172.4185,200.40800000000002,1.1623346682635565,1188.5,1282.7,1.0792595708876735,128,128,1.1623346682635565,False
50,30,1500,259.0725,300.424,1.1596136216696098,1121.5,1209.9,1.0788230049041463,128,128,1.1596136216696098,False
100,5,500,87.1045,99.80850000000001,1.1458478035003934,796.6,809.8,1.016570424303289,128,128,1.1458478035003934,False
100,10,1000,173.8135,202.089,1.1626772373837475,1198.8,1140.3,0.9512012012012012,128,128,1.1626772373837475,False
100,20,2000,346.543,401.03999999999996,1.1572589837336202,1343.2,1465.0,1.0906789755807027,128,128,1.1572589837336202,False
100,30,3000,516.3465,599.591,1.1612182904309414,1821.0,2000.6,1.0986271279516748,96,96,1.1612182904309412,False
200,5,1000,173.8235,206.797,1.1896952943646861,872.7,937.2,1.0739085596424889,128,128,1.189695294364686,False
200,10,2000,357.302,420.639,1.1772646108893876,1350.4,1470.5,1.0889366113744074,128,128,1.1772646108893878,False
200,20,4000,689.8744999999999,862.2815,1.249910672158487,2276.9,2514.0,1.1041328121568799,96,64,1.8748660082377304,False
200,30,6000,1084.9155,1271.3049999999998,1.1718009374923668,3215.6,3578.2,1.1127627814404777,64,64,1.1718009374923668,False
