objective,op_a,op_b,tau_b
nyc_delivery_reliability_weekly,satisficing,mean,
nyc_delivery_reliability_weekly,satisficing,p90,
nyc_delivery_reliability_weekly,satisficing,cvar90,
nyc_delivery_reliability_weekly,mean,p90,0.6666666666666669
nyc_delivery_reliability_weekly,mean,cvar90,0.6666666666666669
nyc_delivery_reliability_weekly,p90,cvar90,1.0
nyc_delivery_deficit_cvar90_pct,satisficing,mean,
nyc_delivery_deficit_cvar90_pct,satisficing,p90,
nyc_delivery_deficit_cvar90_pct,satisficing,cvar90,
nyc_delivery_deficit_cvar90_pct,mean,p90,0.3333333333333334
nyc_delivery_deficit_cvar90_pct,mean,cvar90,0.3333333333333334
nyc_delivery_deficit_cvar90_pct,p90,cvar90,1.0
montague_flow_reliability_weekly,satisficing,mean,0.912870929175277
montague_flow_reliability_weekly,satisficing,p90,0.912870929175277
montague_flow_reliability_weekly,satisficing,cvar90,0.912870929175277
montague_flow_reliability_weekly,mean,p90,1.0
montague_flow_reliability_weekly,mean,cvar90,1.0
montague_flow_reliability_weekly,p90,cvar90,1.0
montague_flow_deficit_cvar90_pct,satisficing,mean,0.7071067811865477
montague_flow_deficit_cvar90_pct,satisficing,p90,0.7071067811865477
montague_flow_deficit_cvar90_pct,satisficing,cvar90,0.7071067811865477
montague_flow_deficit_cvar90_pct,mean,p90,1.0
montague_flow_deficit_cvar90_pct,mean,cvar90,1.0
montague_flow_deficit_cvar90_pct,p90,cvar90,1.0
trenton_flow_reliability_weekly,satisficing,mean,
trenton_flow_reliability_weekly,satisficing,p90,
trenton_flow_reliability_weekly,satisficing,cvar90,
trenton_flow_reliability_weekly,mean,p90,0.18257418583505539
trenton_flow_reliability_weekly,mean,cvar90,0.0
trenton_flow_reliability_weekly,p90,cvar90,0.912870929175277
downstream_flood_days_minor,satisficing,mean,
downstream_flood_days_minor,satisficing,p90,
downstream_flood_days_minor,satisficing,cvar90,
downstream_flood_days_minor,mean,p90,1.0
downstream_flood_days_minor,mean,cvar90,0.9128709291752769
downstream_flood_days_minor,p90,cvar90,0.9128709291752769
nyc_storage_p5_pct,satisficing,mean,
nyc_storage_p5_pct,satisficing,p90,
nyc_storage_p5_pct,satisficing,cvar90,
nyc_storage_p5_pct,mean,p90,1.0
nyc_storage_p5_pct,mean,cvar90,1.0
nyc_storage_p5_pct,p90,cvar90,1.0
