objective,direction,n_valid,median,iqr,eps_signal_iqr10,eps_noise_median,eps_noise_p90,eps_granularity,eps_floor_raw,eps_recommended,eps_previous,previous_over_recommended,binding_floor,interpretation
nyc_delivery_reliability_annual,maximize,512,0.24944444444444444,0.14333333333333334,0.014333333333333333,0.015548524353546225,0.018929995204013995,0.0011111111111111111,0.015548524353546225,0.02,0.02,1.0,noise,0.02 fraction of unit-years = 18.0 of 900 unit-years
nyc_delivery_deficit_p99_pct,minimize,512,40.8543366980047,11.07691815624893,1.107691815624893,0.11761573316416372,5.124428768341198,0.0,1.107691815624893,1.5,2.0,1.3333333333333333,signal (IQR/10),1.5 % of target (P99 unit-year)
montague_flow_reliability_annual,maximize,512,0.42666666666666664,0.13777777777777783,0.013777777777777783,0.01670584366350945,0.017706179720588144,0.0011111111111111111,0.01670584366350945,0.02,0.02,1.0,noise,0.02 fraction of unit-years = 18.0 of 900 unit-years
montague_flow_deficit_p99_pct,minimize,512,30.749715855266018,11.091142658243982,1.1091142658243982,0.8762473179263406,3.0302236298889795,0.0,1.1091142658243982,1.5,2.0,1.3333333333333333,signal (IQR/10),1.5 % of target (P99 unit-year)
trenton_flow_reliability_annual,maximize,512,0.7733333333333333,0.036666666666666625,0.0036666666666666627,0.01452247890525984,0.015421427564698482,0.0011111111111111111,0.01452247890525984,0.015,0.015,1.0,noise,0.015 fraction of unit-years = 13.5 of 900 unit-years
downstream_flood_exceedance_annual,minimize,512,0.5217979441659819,0.12722931157931483,0.012722931157931484,0.18024437422989298,0.18481294379011148,0.0,0.18024437422989298,0.2,0.2,1.0,noise,0.2 native units
downstream_flood_days_annual,minimize,512,0.2577777777777778,0.07361111111111107,0.007361111111111107,0.048895862622581235,0.05236162689540897,0.0,0.048895862622581235,0.05,0.05,1.0,noise,0.05 days/yr (mean unit-year)
downstream_flood_days_annual_p99,minimize,512,3.009999999999991,1.0,0.1,0.8859168734072658,0.9520353075526288,0.0,0.8859168734072658,1.0,1.5,1.5,noise,1 days/yr (P99 unit-year)
nyc_storage_min_p01_pct,maximize,512,9.045849326013583,11.927349274493801,1.1927349274493801,2.777667900882793,3.671129017433595,0.0,2.777667900882793,5.0,5.0,1.0,noise,5 % of NYC capacity (P1 annual minimum)
nj_delivery_reliability_annual,maximize,512,0.4261111111111111,0.23138888888888887,0.023138888888888886,0.018257526154658928,0.020177657687861793,0.0011111111111111111,0.023138888888888886,0.025,0.025,1.0,signal (IQR/10),0.025 fraction of unit-years = 22.5 of 900 unit-years
