objective,direction,n_valid,median,iqr,eps_signal_iqr10,eps_noise_median,eps_noise_p90,eps_granularity,eps_floor_raw,eps_recommended,eps_previous,previous_over_recommended,binding_floor,interpretation
nyc_delivery_reliability_annual,maximize,512,0.25222222222222224,0.12611111111111112,0.012611111111111111,0.01554573057180683,0.018545590011376376,0.0011111111111111111,0.01554573057180683,0.02,0.02,1.0,noise,0.02 fraction of unit-years = 18.0 of 900 unit-years
nyc_delivery_deficit_p99_pct,minimize,512,45.72770382239594,10.474861633975742,1.0474861633975743,5.2326166517382475,11.517430491281406,0.0,5.2326166517382475,10.0,2.0,0.2,noise,10 % of target (P99 unit-year)
montague_flow_reliability_annual,maximize,512,0.4066666666666667,0.12472222222222218,0.012472222222222218,0.01680242883483731,0.018860753912056084,0.0011111111111111111,0.01680242883483731,0.02,0.02,1.0,noise,0.02 fraction of unit-years = 18.0 of 900 unit-years
montague_flow_deficit_p99_pct,minimize,512,34.92620317684788,10.221818605406607,1.0221818605406607,1.7629437821572551,7.121954172937058,0.0,1.7629437821572551,2.0,2.0,1.0,noise,2 % of target (P99 unit-year)
trenton_flow_reliability_annual,maximize,512,0.7877777777777778,0.03361111111111115,0.0033611111111111146,0.014667558643004994,0.015334497444364152,0.0011111111111111111,0.014667558643004994,0.015,0.015,1.0,noise,0.015 fraction of unit-years = 13.5 of 900 unit-years
downstream_flood_exceedance_annual,minimize,512,1.0070327796086183,0.2166011363268625,0.021660113632686252,0.150213031090346,0.15631006005249296,0.0,0.150213031090346,0.2,0.2,1.0,noise,0.2 native units
downstream_flood_days_annual,minimize,512,0.4477777777777778,0.08583333333333332,0.008583333333333332,0.048959324398988494,0.052452679573995124,0.0,0.048959324398988494,0.05,0.05,1.0,noise,0.05 days/yr (mean unit-year)
downstream_flood_days_annual_p99,minimize,512,8.0,0.9900000000000091,0.0990000000000009,1.4403735195690994,1.5361571452170601,0.0,1.4403735195690994,1.5,1.5,1.0,noise,1.5 days/yr (P99 unit-year)
nyc_storage_min_p01_pct,maximize,512,1.6941773806209668,8.497940197359657,0.8497940197359657,2.1069184528701843,3.5559896178126627,0.0,2.1069184528701843,2.5,5.0,2.0,noise,2.5 % of NYC capacity (P1 annual minimum)
nj_delivery_reliability_annual,maximize,512,0.40555555555555556,0.20444444444444443,0.020444444444444442,0.018141580324396615,0.020106604953413456,0.0011111111111111111,0.020444444444444442,0.025,0.025,1.0,signal (IQR/10),0.025 fraction of unit-years = 22.5 of 900 unit-years
