candidate,eps_rel,eps_def,eps_flood,eps_storage,size_historic,substrate_historic,adj110_historic,adj135_historic,min_axis_boxes_historic,overcoarse_historic,size_fixed_probabilistic,substrate_fixed_probabilistic,adj110_fixed_probabilistic,adj135_fixed_probabilistic,min_axis_boxes_fixed_probabilistic,overcoarse_fixed_probabilistic,size_hazard_filling_stationary,substrate_hazard_filling_stationary,adj110_hazard_filling_stationary,adj135_hazard_filling_stationary,min_axis_boxes_hazard_filling_stationary,overcoarse_hazard_filling_stationary,max_adj110,fineness,in_band_max
adopted,,,,,2604,union,2864,3515,2,False,6170,union,6787,8330,2,False,5544,union,6098,7484,4,False,6787,,False
grouped_base,0.02,5.0,0.3,5.0,2152,union,2367,2905,2,False,5384,union,5922,7268,2,False,5009,union,5510,6762,4,False,5922,1.000,False
rel_x2,0.04,5.0,0.3,5.0,1059,union,1165,1430,2,True,2675,union,2943,3611,2,True,2274,union,2501,3070,4,True,2943,1.189,False
rel_x3,0.06,5.0,0.3,5.0,627,union,690,846,2,True,1755,union,1931,2369,2,True,1390,union,1529,1877,3,True,1931,1.316,False
rel_x4,0.08,5.0,0.3,5.0,384,union,422,518,2,True,1205,union,1326,1627,2,True,918,union,1010,1239,4,True,1326,1.414,False
rel_x5,0.1,5.0,0.3,5.0,334,union,367,451,2,True,948,union,1043,1280,2,True,734,union,807,991,2,True,1043,1.495,True
def_7.5,0.02,7.5,0.3,5.0,1212,union,1333,1636,2,False,3360,union,3696,4536,2,False,3137,union,3451,4235,3,True,3696,1.107,False
def_10,0.02,10.0,0.3,5.0,958,union,1054,1293,2,True,2671,union,2938,3606,2,True,2462,union,2708,3324,4,False,2938,1.189,False
flood_0.5,0.02,5.0,0.5,5.0,1736,union,1910,2344,1,True,3578,union,3936,4830,2,False,3557,union,3913,4802,3,True,3936,1.136,False
flood_0.6,0.02,5.0,0.6,5.0,1736,union,1910,2344,1,True,5384,union,5922,7268,2,False,3600,union,3960,4860,2,True,5922,1.189,False
stor_7.5,0.02,5.0,0.3,7.5,1399,union,1539,1889,2,True,3733,union,4106,5040,2,True,4015,union,4416,5420,4,True,4416,1.107,False
stor_10,0.02,5.0,0.3,10.0,1288,union,1417,1739,2,True,3432,union,3775,4633,2,True,3787,union,4166,5112,3,True,4166,1.189,False
joint_x1.5,0.03,7.5,0.45,7.5,524,union,576,707,2,True,901,union,991,1216,2,True,1369,union,1506,1848,3,True,1506,1.500,False
joint_x2,0.04,10.0,0.6,10.0,224,union,246,302,1,True,788,union,867,1064,2,True,515,union,566,695,2,True,867,2.000,False
joint_x3,0.06,15.0,1.0,15.0,68,union,75,92,1,True,114,union,125,154,1,True,219,union,241,296,2,True,241,3.080,False
rel_x2.5,0.05,5.0,0.3,5.0,740,union,814,999,2,True,2094,union,2303,2827,2,True,1736,union,1910,2344,3,True,2303,1.257,False
mixed_r2,0.04,7.5,0.3,5.0,610,union,671,824,2,True,1615,union,1777,2180,2,True,1367,union,1504,1845,3,True,1777,1.316,False
mixed_r2.5,0.05,7.5,0.5,7.5,262,union,288,354,1,True,689,union,758,930,2,True,614,union,675,829,2,True,758,1.750,False
mixed_r3,0.06,7.5,0.5,7.5,232,union,255,313,1,True,618,union,680,834,2,True,450,union,495,608,2,True,680,1.831,False
mixed_r2f,0.04,7.5,0.5,5.0,487,union,536,657,1,True,1173,union,1290,1584,2,True,980,union,1078,1323,2,True,1290,1.495,False
mixed_r2fs,0.04,7.5,0.5,7.5,342,union,376,462,1,True,864,union,950,1166,2,True,753,union,828,1017,2,True,950,1.655,False
mixed_r2.5f,0.05,7.5,0.5,5.0,352,union,387,475,1,True,952,union,1047,1285,2,True,779,union,857,1052,2,True,1047,1.581,True
keepf_a,0.05,10.0,0.3,5.0,335,union,369,452,2,True,991,union,1090,1338,2,True,784,union,862,1058,3,True,1090,1.495,True
keepf_b,0.06,7.5,0.3,5.0,352,union,387,475,2,True,1105,union,1216,1492,2,True,816,union,898,1102,3,True,1216,1.456,False
keepf_c,0.05,7.5,0.3,5.0,426,union,469,575,2,True,1287,union,1416,1737,2,True,1089,union,1198,1470,3,True,1416,1.392,False
keepf_d,0.06,10.0,0.3,5.0,292,union,321,394,2,True,818,union,900,1104,2,True,632,union,695,853,3,True,900,1.565,False
