archive,objective,n_members,min,max,range,n_distinct,lattice_min_step,lattice_median_step,epsilon,occupied_1d_boxes,members_per_box
seed01,nyc_delivery_reliability_annual,6353,0.5,0.998889,0.498889,442,0.0011111,0.0011111,0.02,26,244.3
seed01,nyc_delivery_deficit_p99_pct,6353,0.00114915,84.355,84.3539,5967,1e-06,0.004079,5.0,17,373.7
seed01,montague_flow_reliability_annual,6353,0.311111,0.992222,0.681111,566,0.0011111,0.0011111,0.02,35,181.5
seed01,montague_flow_deficit_p99_pct,6353,0.805753,67.4017,66.596,6244,1e-05,0.00334,5.0,14,453.8
seed01,trenton_flow_reliability_annual,6353,0.678889,0.892222,0.213333,158,0.0011111,0.0011111,0.015,15,423.5
seed01,downstream_flood_exceedance_annual,6353,0.473145,0.892822,0.419676,6343,1e-07,2.3e-05,0.3,2,3176.5
seed01,nyc_storage_min_p01_pct,6353,0,32.8933,32.8933,5677,1e-06,0.00181,5.0,8,794.1
seed01,nj_delivery_reliability_annual,6353,0.236667,1,0.763333,490,0.0011111,0.0011111,0.025,31,204.9
union,nyc_delivery_reliability_annual,40277,0.5,0.998889,0.498889,450,0.00111111,0.00111111,0.02,26,1549.1
union,nyc_delivery_deficit_p99_pct,40277,2.36848e-15,87.5651,87.5651,38725,1.00009e-12,0.000626416,5.0,18,2237.6
union,montague_flow_reliability_annual,40277,0.227778,0.992222,0.764444,654,0.00111111,0.00111111,0.02,39,1032.7
union,montague_flow_deficit_p99_pct,40277,0.805753,74.2101,73.4044,39234,1.01608e-12,0.000546444,5.0,15,2685.1
union,trenton_flow_reliability_annual,40277,0.646667,0.892222,0.245556,194,0.00111111,0.00111111,0.015,17,2369.2
union,downstream_flood_exceedance_annual,40277,0.405379,0.894981,0.489602,40277,2.71383e-12,4.62475e-06,0.3,2,20138.5
union,nyc_storage_min_p01_pct,40277,0,33.609,33.609,37689,1.03373e-12,0.000369625,5.0,8,5034.6
union,nj_delivery_reliability_annual,40277,0.128889,1,0.871111,617,0.00111111,0.00111111,0.025,35,1150.8
