candidate,objective,epsilon,occupied_1d_boxes,span_frac,extreme_gap_eps
adopted,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
adopted,nyc_delivery_deficit_p99_pct,5,17,0.963,0.00
adopted,montague_flow_reliability_annual,0.02,35,0.891,0.00
adopted,montague_flow_deficit_p99_pct,5,14,0.907,0.00
adopted,trenton_flow_reliability_annual,0.015,15,0.869,0.00
adopted,downstream_flood_exceedance_annual,0.3,2,0.857,0.23
adopted,nyc_storage_min_p01_pct,5,8,0.979,0.14
adopted,nj_delivery_reliability_annual,0.025,31,0.876,0.00
grouped_base,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
grouped_base,nyc_delivery_deficit_p99_pct,5,17,0.946,0.00
grouped_base,montague_flow_reliability_annual,0.02,35,0.885,0.22
grouped_base,montague_flow_deficit_p99_pct,5,14,0.895,0.02
grouped_base,trenton_flow_reliability_annual,0.02,12,0.833,0.44
grouped_base,downstream_flood_exceedance_annual,0.3,2,0.843,0.23
grouped_base,nyc_storage_min_p01_pct,5,8,0.982,0.12
grouped_base,nj_delivery_reliability_annual,0.02,38,0.883,0.00
rel_x2,nyc_delivery_reliability_annual,0.04,13,1.000,0.00
rel_x2,nyc_delivery_deficit_p99_pct,5,17,0.940,0.00
rel_x2,montague_flow_reliability_annual,0.04,18,0.885,0.11
rel_x2,montague_flow_deficit_p99_pct,5,13,0.810,0.02
rel_x2,trenton_flow_reliability_annual,0.04,7,0.833,0.22
rel_x2,downstream_flood_exceedance_annual,0.3,2,0.808,0.28
rel_x2,nyc_storage_min_p01_pct,5,8,0.982,0.12
rel_x2,nj_delivery_reliability_annual,0.04,19,0.876,0.00
rel_x3,nyc_delivery_reliability_annual,0.06,9,1.000,0.00
rel_x3,nyc_delivery_deficit_p99_pct,5,17,0.922,0.00
rel_x3,montague_flow_reliability_annual,0.06,12,0.882,0.11
rel_x3,montague_flow_deficit_p99_pct,5,12,0.791,0.14
rel_x3,trenton_flow_reliability_annual,0.06,4,0.701,0.44
rel_x3,downstream_flood_exceedance_annual,0.3,2,0.807,0.29
rel_x3,nyc_storage_min_p01_pct,5,8,0.979,0.14
rel_x3,nj_delivery_reliability_annual,0.06,14,0.876,0.00
rel_x4,nyc_delivery_reliability_annual,0.08,7,0.998,0.01
rel_x4,nyc_delivery_deficit_p99_pct,5,14,0.906,0.00
rel_x4,montague_flow_reliability_annual,0.08,10,0.885,0.06
rel_x4,montague_flow_deficit_p99_pct,5,11,0.696,0.02
rel_x4,trenton_flow_reliability_annual,0.08,4,0.751,0.11
rel_x4,downstream_flood_exceedance_annual,0.3,2,0.795,0.30
rel_x4,nyc_storage_min_p01_pct,5,8,0.979,0.14
rel_x4,nj_delivery_reliability_annual,0.08,8,0.625,0.00
rel_x5,nyc_delivery_reliability_annual,0.1,6,0.998,0.01
rel_x5,nyc_delivery_deficit_p99_pct,5,14,0.903,0.06
rel_x5,montague_flow_reliability_annual,0.1,7,0.852,0.09
rel_x5,montague_flow_deficit_p99_pct,5,11,0.688,0.14
rel_x5,trenton_flow_reliability_annual,0.1,2,0.516,0.57
rel_x5,downstream_flood_exceedance_annual,0.3,2,0.791,0.30
rel_x5,nyc_storage_min_p01_pct,5,8,0.979,0.14
rel_x5,nj_delivery_reliability_annual,0.1,6,0.617,0.00
def_7.5,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
def_7.5,nyc_delivery_deficit_p99_pct,7.5,12,0.946,0.00
def_7.5,montague_flow_reliability_annual,0.02,34,0.856,0.22
def_7.5,montague_flow_deficit_p99_pct,7.5,9,0.895,0.01
def_7.5,trenton_flow_reliability_annual,0.02,12,0.869,0.00
def_7.5,downstream_flood_exceedance_annual,0.3,2,0.850,0.21
def_7.5,nyc_storage_min_p01_pct,5,8,0.979,0.14
def_7.5,nj_delivery_reliability_annual,0.02,36,0.853,0.00
def_10,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
def_10,nyc_delivery_deficit_p99_pct,10,9,0.946,0.00
def_10,montague_flow_reliability_annual,0.02,35,0.885,0.22
def_10,montague_flow_deficit_p99_pct,10,7,0.895,0.01
def_10,trenton_flow_reliability_annual,0.02,12,0.833,0.44
def_10,downstream_flood_exceedance_annual,0.3,2,0.843,0.23
