candidate,epsilons,size_seed01,pct_of_full_seed01,size_union,pct_of_full_union,min_axis_boxes,min_span_frac,max_extreme_gap_eps
adopted,0.02 5 0.02 5 0.015 0.3 5 0.025,6353,100.0,6170,15.3,2,0.857,0.23
grouped_base,0.02 5 0.02 5 0.02 0.3 5 0.02,4876,76.8,5384,13.4,2,0.833,0.44
rel_x2,0.04 5 0.04 5 0.04 0.3 5 0.04,2614,41.1,2675,6.6,2,0.808,0.28
rel_x3,0.06 5 0.06 5 0.06 0.3 5 0.06,1750,27.5,1755,4.4,2,0.701,0.44
rel_x4,0.08 5 0.08 5 0.08 0.3 5 0.08,1174,18.5,1205,3.0,2,0.625,0.30
rel_x5,0.1 5 0.1 5 0.1 0.3 5 0.1,929,14.6,948,2.4,2,0.516,0.57
def_7.5,0.02 7.5 0.02 7.5 0.02 0.3 5 0.02,2784,43.8,3360,8.3,2,0.850,0.22
def_10,0.02 10 0.02 10 0.02 0.3 5 0.02,2445,38.5,2671,6.6,2,0.833,0.44
flood_0.5,0.02 5 0.02 5 0.02 0.5 5 0.02,2801,44.1,3578,8.9,2,0.929,0.44
flood_0.6,0.02 5 0.02 5 0.02 0.6 5 0.02,4876,76.8,5384,13.4,2,0.833,0.44
stor_7.5,0.02 5 0.02 5 0.02 0.3 7.5 0.02,3164,49.8,3733,9.3,2,0.787,0.44
stor_10,0.02 5 0.02 5 0.02 0.3 10 0.02,3116,49.0,3432,8.5,2,0.810,0.44
joint_x1.5,0.03 7.5 0.03 7.5 0.03 0.45 7.5 0.03,705,11.1,901,2.2,2,0.873,0.52
joint_x2,0.04 10 0.04 10 0.04 0.6 10 0.04,775,12.2,788,2.0,2,0.781,0.28
joint_x3,0.06 15 0.06 15 0.06 1 15 0.06,112,1.8,114,0.3,1,0.579,0.61
rel_x2.5,0.05 5 0.05 5 0.05 0.3 5 0.05,1990,31.3,2094,5.2,2,0.715,0.53
mixed_r2,0.04 7.5 0.04 7.5 0.04 0.3 5 0.04,1465,23.1,1615,4.0,2,0.810,0.21
mixed_r2.5,0.05 7.5 0.05 7.5 0.05 0.5 7.5 0.05,441,6.9,689,1.7,2,0.670,0.40
mixed_r3,0.06 7.5 0.06 7.5 0.06 0.5 7.5 0.06,388,6.1,618,1.5,2,0.719,0.33
mixed_r2f,0.04 7.5 0.04 7.5 0.04 0.5 5 0.04,818,12.9,1173,2.9,2,0.861,0.40
mixed_r2fs,0.04 7.5 0.04 7.5 0.04 0.5 7.5 0.04,551,8.7,864,2.1,2,0.801,0.27
mixed_r2.5f,0.05 7.5 0.05 7.5 0.05 0.5 5 0.05,652,10.3,952,2.4,2,0.861,0.40
keepf_a,0.05 10 0.05 10 0.05 0.3 5 0.05,941,14.8,991,2.5,2,0.679,0.53
keepf_b,0.06 7.5 0.06 7.5 0.06 0.3 5 0.06,1010,15.9,1105,2.7,2,0.760,0.44
keepf_c,0.05 7.5 0.05 7.5 0.05 0.3 5 0.05,1159,18.2,1287,3.2,2,0.787,0.40
keepf_d,0.06 10 0.06 10 0.06 0.3 5 0.06,819,12.9,818,2.0,2,0.652,0.56
