archive,objective,n_members,min,max,range,n_distinct,lattice_min_step,lattice_median_step,epsilon,occupied_1d_boxes,members_per_box
seed01,nyc_delivery_reliability_annual,5761,0.5,0.983333,0.483333,431,0.0011111,0.0011111,0.02,26,221.6
seed01,nyc_delivery_deficit_p99_pct,5761,8.87765,89.4222,80.5445,5440,1e-05,0.0039,5.0,17,338.9
seed01,montague_flow_reliability_annual,5761,0.265556,0.968889,0.703333,606,0.0011111,0.0011111,0.02,36,160.0
seed01,montague_flow_deficit_p99_pct,5761,6.98268,68.1201,61.1375,5634,1e-05,0.00242,5.0,13,443.2
seed01,trenton_flow_reliability_annual,5761,0.702222,0.888889,0.186667,155,0.0011111,0.0011111,0.015,14,411.5
seed01,downstream_flood_exceedance_annual,5761,0.809939,1.50626,0.696326,5719,1e-07,4.3e-05,0.3,4,1440.2
seed01,nyc_storage_min_p01_pct,5761,0,27.5365,27.5365,4200,1.4e-07,0.0019665,5.0,7,823.0
seed01,nj_delivery_reliability_annual,5761,0.256667,1,0.743333,480,0.0011111,0.0011111,0.025,30,192.0
union,nyc_delivery_reliability_annual,32661,0.5,0.983333,0.483333,436,0.00111111,0.00111111,0.02,26,1256.2
union,nyc_delivery_deficit_p99_pct,32661,7.63271,90.6574,83.0247,32041,1.02318e-12,0.000580104,5.0,18,1814.5
union,montague_flow_reliability_annual,32661,0.205556,0.971111,0.765556,659,0.00111111,0.00111111,0.02,39,837.5
union,montague_flow_deficit_p99_pct,32661,6.11053,72.737,66.6264,31885,1.01608e-12,0.000440971,5.0,14,2332.9
union,trenton_flow_reliability_annual,32661,0.66,0.888889,0.228889,187,0.00111111,0.00111111,0.015,16,2041.3
union,downstream_flood_exceedance_annual,32661,0.724588,1.52605,0.801463,32661,1.29224e-10,9.45047e-06,0.3,4,8165.2
union,nyc_storage_min_p01_pct,32661,0,29.1423,29.1423,27019,1.07114e-12,0.000405276,5.0,7,4665.9
union,nj_delivery_reliability_annual,32661,0.105556,1,0.894444,607,0.00111111,0.00111111,0.025,36,907.2
