candidate,objective,epsilon,occupied_1d_boxes,span_frac,extreme_gap_eps
adopted,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
adopted,nyc_delivery_deficit_p99_pct,5,17,0.970,0.25
adopted,montague_flow_reliability_annual,0.02,36,0.919,0.11
adopted,montague_flow_deficit_p99_pct,5,13,0.918,0.17
adopted,trenton_flow_reliability_annual,0.015,14,0.816,0.00
adopted,downstream_flood_exceedance_annual,0.3,4,0.869,0.28
adopted,nyc_storage_min_p01_pct,5,7,0.945,0.32
adopted,nj_delivery_reliability_annual,0.025,30,0.831,0.00
grouped_base,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
grouped_base,nyc_delivery_deficit_p99_pct,5,18,0.985,0.25
grouped_base,montague_flow_reliability_annual,0.02,36,0.919,0.11
grouped_base,montague_flow_deficit_p99_pct,5,14,0.987,0.17
grouped_base,trenton_flow_reliability_annual,0.02,10,0.816,0.00
grouped_base,downstream_flood_exceedance_annual,0.3,4,0.866,0.29
grouped_base,nyc_storage_min_p01_pct,5,7,0.945,0.32
grouped_base,nj_delivery_reliability_annual,0.02,37,0.872,0.00
rel_x2,nyc_delivery_reliability_annual,0.04,13,1.000,0.00
rel_x2,nyc_delivery_deficit_p99_pct,5,18,0.981,0.32
rel_x2,montague_flow_reliability_annual,0.04,19,0.919,0.06
rel_x2,montague_flow_deficit_p99_pct,5,14,0.987,0.17
rel_x2,trenton_flow_reliability_annual,0.04,6,0.816,0.00
rel_x2,downstream_flood_exceedance_annual,0.3,4,0.862,0.30
rel_x2,nyc_storage_min_p01_pct,5,7,0.894,0.62
rel_x2,nj_delivery_reliability_annual,0.04,19,0.809,0.00
rel_x3,nyc_delivery_reliability_annual,0.06,9,1.000,0.00
rel_x3,nyc_delivery_deficit_p99_pct,5,16,0.912,0.32
rel_x3,montague_flow_reliability_annual,0.06,13,0.919,0.04
rel_x3,montague_flow_deficit_p99_pct,5,12,0.847,0.17
rel_x3,trenton_flow_reliability_annual,0.06,4,0.723,0.35
rel_x3,downstream_flood_exceedance_annual,0.3,3,0.838,0.34
rel_x3,nyc_storage_min_p01_pct,5,7,0.894,0.62
rel_x3,nj_delivery_reliability_annual,0.06,12,0.824,0.00
rel_x4,nyc_delivery_reliability_annual,0.08,7,1.000,0.00
rel_x4,nyc_delivery_deficit_p99_pct,5,18,0.976,0.40
rel_x4,montague_flow_reliability_annual,0.08,10,0.888,0.03
rel_x4,montague_flow_deficit_p99_pct,5,14,0.983,0.22
rel_x4,trenton_flow_reliability_annual,0.08,4,0.801,0.00
rel_x4,downstream_flood_exceedance_annual,0.3,4,0.851,0.33
rel_x4,nyc_storage_min_p01_pct,5,7,0.908,0.53
rel_x4,nj_delivery_reliability_annual,0.08,10,0.809,0.00
rel_x5,nyc_delivery_reliability_annual,0.1,6,0.998,0.01
rel_x5,nyc_delivery_deficit_p99_pct,5,16,0.907,0.40
rel_x5,montague_flow_reliability_annual,0.1,8,0.896,0.03
rel_x5,montague_flow_deficit_p99_pct,5,12,0.833,0.36
rel_x5,trenton_flow_reliability_annual,0.1,2,0.636,0.38
rel_x5,downstream_flood_exceedance_annual,0.3,3,0.825,0.34
rel_x5,nyc_storage_min_p01_pct,5,7,0.908,0.53
rel_x5,nj_delivery_reliability_annual,0.1,8,0.809,0.00
def_7.5,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
def_7.5,nyc_delivery_deficit_p99_pct,7.5,12,0.976,0.27
def_7.5,montague_flow_reliability_annual,0.02,36,0.919,0.11
def_7.5,montague_flow_deficit_p99_pct,7.5,10,0.992,0.07
def_7.5,trenton_flow_reliability_annual,0.02,10,0.816,0.00
def_7.5,downstream_flood_exceedance_annual,0.3,3,0.856,0.29
def_7.5,nyc_storage_min_p01_pct,5,7,0.945,0.32
def_7.5,nj_delivery_reliability_annual,0.02,37,0.872,0.00
def_10,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
def_10,nyc_delivery_deficit_p99_pct,10,10,0.985,0.12
def_10,montague_flow_reliability_annual,0.02,36,0.919,0.11
def_10,montague_flow_deficit_p99_pct,10,8,0.987,0.09
def_10,trenton_flow_reliability_annual,0.02,10,0.816,0.00
def_10,downstream_flood_exceedance_annual,0.3,4,0.866,0.29
def_10,nyc_storage_min_p01_pct,5,7,0.900,0.58
def_10,nj_delivery_reliability_annual,0.02,36,0.822,0.00
flood_0.5,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
flood_0.5,nyc_delivery_deficit_p99_pct,5,17,0.970,0.25
flood_0.5,montague_flow_reliability_annual,0.02,36,0.909,0.11
flood_0.5,montague_flow_deficit_p99_pct,5,13,0.918,0.17
flood_0.5,trenton_flow_reliability_annual,0.02,10,0.811,0.00
flood_0.5,downstream_flood_exceedance_annual,0.5,3,0.866,0.18
flood_0.5,nyc_storage_min_p01_pct,5,7,0.945,0.32
flood_0.5,nj_delivery_reliability_annual,0.02,37,0.853,0.00
flood_0.6,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
flood_0.6,nyc_delivery_deficit_p99_pct,5,17,0.970,0.25
flood_0.6,montague_flow_reliability_annual,0.02,35,0.890,0.11
flood_0.6,montague_flow_deficit_p99_pct,5,13,0.910,0.17
flood_0.6,trenton_flow_reliability_annual,0.02,10,0.816,0.00
flood_0.6,downstream_flood_exceedance_annual,0.6,2,0.850,0.17
flood_0.6,nyc_storage_min_p01_pct,5,7,0.945,0.32
flood_0.6,nj_delivery_reliability_annual,0.02,35,0.789,0.00
stor_7.5,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
stor_7.5,nyc_delivery_deficit_p99_pct,5,18,0.985,0.25
stor_7.5,montague_flow_reliability_annual,0.02,37,0.955,0.11
stor_7.5,montague_flow_deficit_p99_pct,5,14,0.987,0.17
stor_7.5,trenton_flow_reliability_annual,0.02,10,0.816,0.00
stor_7.5,downstream_flood_exceedance_annual,0.3,4,0.866,0.29
stor_7.5,nyc_storage_min_p01_pct,7.5,5,0.883,0.45
stor_7.5,nj_delivery_reliability_annual,0.02,37,0.872,0.00
stor_10,nyc_delivery_reliability_annual,0.02,26,1.000,0.00
stor_10,nyc_delivery_deficit_p99_pct,5,18,0.985,0.25
stor_10,montague_flow_reliability_annual,0.02,36,0.909,0.11
stor_10,montague_flow_deficit_p99_pct,5,14,0.987,0.17
stor_10,trenton_flow_reliability_annual,0.02,10,0.777,0.00
stor_10,downstream_flood_exceedance_annual,0.3,3,0.852,0.29
stor_10,nyc_storage_min_p01_pct,10,4,0.810,0.56
stor_10,nj_delivery_reliability_annual,0.02,37,0.872,0.00
joint_x1.5,nyc_delivery_reliability_annual,0.03,17,1.000,0.00
joint_x1.5,nyc_delivery_deficit_p99_pct,7.5,11,0.954,0.35
joint_x1.5,montague_flow_reliability_annual,0.03,25,0.919,0.07
joint_x1.5,montague_flow_deficit_p99_pct,7.5,10,0.919,0.05
joint_x1.5,trenton_flow_reliability_annual,0.03,7,0.772,0.33
joint_x1.5,downstream_flood_exceedance_annual,0.45,3,0.844,0.20
joint_x1.5,nyc_storage_min_p01_pct,7.5,5,0.882,0.46
joint_x1.5,nj_delivery_reliability_annual,0.03,23,0.788,0.00
joint_x2,nyc_delivery_reliability_annual,0.04,13,0.998,0.00
joint_x2,nyc_delivery_deficit_p99_pct,10,9,0.966,0.16
joint_x2,montague_flow_reliability_annual,0.04,18,0.853,0.06
joint_x2,montague_flow_deficit_p99_pct,10,7,0.910,0.09
joint_x2,trenton_flow_reliability_annual,0.04,5,0.723,0.00
joint_x2,downstream_flood_exceedance_annual,0.6,2,0.821,0.18
joint_x2,nyc_storage_min_p01_pct,10,4,0.761,0.70
joint_x2,nj_delivery_reliability_annual,0.04,17,0.725,0.00
joint_x3,nyc_delivery_reliability_annual,0.06,9,0.943,0.00
joint_x3,nyc_delivery_deficit_p99_pct,15,6,0.920,0.20
joint_x3,montague_flow_reliability_annual,0.06,13,0.903,0.06
joint_x3,montague_flow_deficit_p99_pct,15,5,0.869,0.06
joint_x3,trenton_flow_reliability_annual,0.06,4,0.631,0.43
joint_x3,downstream_flood_exceedance_annual,1,2,0.821,0.10
joint_x3,nyc_storage_min_p01_pct,15,3,0.718,0.55
joint_x3,nj_delivery_reliability_annual,0.06,12,0.725,0.00
rel_x2.5,nyc_delivery_reliability_annual,0.05,11,1.000,0.00
rel_x2.5,nyc_delivery_deficit_p99_pct,5,17,0.960,0.32
rel_x2.5,montague_flow_reliability_annual,0.05,15,0.896,0.07
rel_x2.5,montague_flow_deficit_p99_pct,5,13,0.918,0.17
rel_x2.5,trenton_flow_reliability_annual,0.05,4,0.723,0.36
rel_x2.5,downstream_flood_exceedance_annual,0.3,3,0.856,0.29
rel_x2.5,nyc_storage_min_p01_pct,5,7,0.894,0.62
rel_x2.5,nj_delivery_reliability_annual,0.05,15,0.809,0.00
mixed_r2,nyc_delivery_reliability_annual,0.04,13,1.000,0.00
mixed_r2,nyc_delivery_deficit_p99_pct,7.5,12,0.976,0.27
mixed_r2,montague_flow_reliability_annual,0.04,19,0.919,0.06
mixed_r2,montague_flow_deficit_p99_pct,7.5,10,1.000,0.00
mixed_r2,trenton_flow_reliability_annual,0.04,6,0.816,0.00
mixed_r2,downstream_flood_exceedance_annual,0.3,3,0.852,0.30
mixed_r2,nyc_storage_min_p01_pct,5,7,0.889,0.64
mixed_r2,nj_delivery_reliability_annual,0.04,19,0.809,0.00
mixed_r2.5,nyc_delivery_reliability_annual,0.05,11,1.000,0.00
mixed_r2.5,nyc_delivery_deficit_p99_pct,7.5,11,0.936,0.40
mixed_r2.5,montague_flow_reliability_annual,0.05,15,0.904,0.04
mixed_r2.5,montague_flow_deficit_p99_pct,7.5,9,0.917,0.00
mixed_r2.5,trenton_flow_reliability_annual,0.05,4,0.670,0.33
mixed_r2.5,downstream_flood_exceedance_annual,0.5,2,0.841,0.18
mixed_r2.5,nyc_storage_min_p01_pct,7.5,5,0.882,0.46
mixed_r2.5,nj_delivery_reliability_annual,0.05,16,0.853,0.00
mixed_r3,nyc_delivery_reliability_annual,0.06,9,1.000,0.00
mixed_r3,nyc_delivery_deficit_p99_pct,7.5,11,0.895,0.40
mixed_r3,montague_flow_reliability_annual,0.06,13,0.904,0.04
mixed_r3,montague_flow_deficit_p99_pct,7.5,9,0.860,0.00
mixed_r3,trenton_flow_reliability_annual,0.06,4,0.655,0.43
mixed_r3,downstream_flood_exceedance_annual,0.5,2,0.828,0.20
mixed_r3,nyc_storage_min_p01_pct,7.5,5,0.882,0.46
mixed_r3,nj_delivery_reliability_annual,0.06,13,0.853,0.00
mixed_r2f,nyc_delivery_reliability_annual,0.04,13,0.995,0.00
mixed_r2f,nyc_delivery_deficit_p99_pct,7.5,11,0.962,0.27
mixed_r2f,montague_flow_reliability_annual,0.04,19,0.904,0.06
mixed_r2f,montague_flow_deficit_p99_pct,7.5,10,0.923,0.00
mixed_r2f,trenton_flow_reliability_annual,0.04,6,0.811,0.00
mixed_r2f,downstream_flood_exceedance_annual,0.5,2,0.852,0.18
mixed_r2f,nyc_storage_min_p01_pct,5,7,0.889,0.64
mixed_r2f,nj_delivery_reliability_annual,0.04,20,0.853,0.00
mixed_r2fs,nyc_delivery_reliability_annual,0.04,13,1.000,0.00
mixed_r2fs,nyc_delivery_deficit_p99_pct,7.5,11,0.962,0.27
mixed_r2fs,montague_flow_reliability_annual,0.04,19,0.904,0.06
mixed_r2fs,montague_flow_deficit_p99_pct,7.5,10,0.923,0.00
mixed_r2fs,trenton_flow_reliability_annual,0.04,6,0.811,0.00
mixed_r2fs,downstream_flood_exceedance_annual,0.5,2,0.841,0.18
mixed_r2fs,nyc_storage_min_p01_pct,7.5,5,0.882,0.46
mixed_r2fs,nj_delivery_reliability_annual,0.04,20,0.853,0.00
mixed_r2.5f,nyc_delivery_reliability_annual,0.05,10,0.995,0.00
mixed_r2.5f,nyc_delivery_deficit_p99_pct,7.5,11,0.936,0.40
mixed_r2.5f,montague_flow_reliability_annual,0.05,15,0.904,0.04
mixed_r2.5f,montague_flow_deficit_p99_pct,7.5,9,0.917,0.00
