candidate,epsilons,size_seed01,pct_of_full_seed01,size_union,pct_of_full_union,min_axis_boxes,min_span_frac,max_extreme_gap_eps
adopted,0.02 5 0.02 5 0.015 0.3 5 0.025,5761,100.0,5544,17.0,4,0.816,0.32
grouped_base,0.02 5 0.02 5 0.02 0.3 5 0.02,4530,78.6,5009,15.3,4,0.816,0.32
rel_x2,0.04 5 0.04 5 0.04 0.3 5 0.04,2223,38.6,2274,7.0,4,0.809,0.62
rel_x3,0.06 5 0.06 5 0.06 0.3 5 0.06,1382,24.0,1390,4.3,3,0.723,0.62
rel_x4,0.08 5 0.08 5 0.08 0.3 5 0.08,904,15.7,918,2.8,4,0.801,0.53
rel_x5,0.1 5 0.1 5 0.1 0.3 5 0.1,726,12.6,734,2.2,2,0.636,0.53
def_7.5,0.02 7.5 0.02 7.5 0.02 0.3 5 0.02,2637,45.8,3137,9.6,3,0.816,0.32
def_10,0.02 10 0.02 10 0.02 0.3 5 0.02,2258,39.2,2462,7.5,4,0.816,0.58
flood_0.5,0.02 5 0.02 5 0.02 0.5 5 0.02,3231,56.1,3557,10.9,3,0.811,0.32
flood_0.6,0.02 5 0.02 5 0.02 0.6 5 0.02,3240,56.2,3600,11.0,2,0.789,0.32
stor_7.5,0.02 5 0.02 5 0.02 0.3 7.5 0.02,3441,59.7,4015,12.3,4,0.816,0.45
stor_10,0.02 5 0.02 5 0.02 0.3 10 0.02,3413,59.2,3787,11.6,3,0.777,0.56
joint_x1.5,0.03 7.5 0.03 7.5 0.03 0.45 7.5 0.03,1169,20.3,1369,4.2,3,0.772,0.46
joint_x2,0.04 10 0.04 10 0.04 0.6 10 0.04,505,8.8,515,1.6,2,0.723,0.70
joint_x3,0.06 15 0.06 15 0.06 1 15 0.06,212,3.7,219,0.7,2,0.631,0.55
rel_x2.5,0.05 5 0.05 5 0.05 0.3 5 0.05,1697,29.5,1736,5.3,3,0.723,0.62
mixed_r2,0.04 7.5 0.04 7.5 0.04 0.3 5 0.04,1258,21.8,1367,4.2,3,0.809,0.64
mixed_r2.5,0.05 7.5 0.05 7.5 0.05 0.5 7.5 0.05,566,9.8,614,1.9,2,0.670,0.46
mixed_r3,0.06 7.5 0.06 7.5 0.06 0.5 7.5 0.06,411,7.1,450,1.4,2,0.655,0.46
mixed_r2f,0.04 7.5 0.04 7.5 0.04 0.5 5 0.04,916,15.9,980,3.0,2,0.811,0.64
mixed_r2fs,0.04 7.5 0.04 7.5 0.04 0.5 7.5 0.04,697,12.1,753,2.3,2,0.811,0.46
mixed_r2.5f,0.05 7.5 0.05 7.5 0.05 0.5 5 0.05,732,12.7,779,2.4,2,0.728,0.64
keepf_a,0.05 10 0.05 10 0.05 0.3 5 0.05,767,13.3,784,2.4,3,0.699,0.62
keepf_b,0.06 7.5 0.06 7.5 0.06 0.3 5 0.06,774,13.4,816,2.5,3,0.706,0.64
keepf_c,0.05 7.5 0.05 7.5 0.05 0.3 5 0.05,1010,17.5,1089,3.3,3,0.723,0.62
keepf_d,0.06 10 0.06 10 0.06 0.3 5 0.06,632,11.0,632,1.9,3,0.693,0.62
