archive,objective,n_members,min,max,range,n_distinct,lattice_min_step,lattice_median_step,epsilon,occupied_1d_boxes,members_per_box
seed01,nyc_delivery_reliability_annual,2685,0.5,0.960526,0.460526,36,0.0131578,0.0131579,0.02,25,107.4
seed01,nyc_delivery_deficit_p99_pct,2685,11.9867,78.1719,66.1852,2489,1e-05,0.00469,5.0,14,191.8
seed01,montague_flow_reliability_annual,2685,0.513158,0.973684,0.460526,36,0.0131578,0.0131579,0.02,24,111.9
seed01,montague_flow_deficit_p99_pct,2685,6.96954,58.6455,51.676,2568,6e-06,0.00448,5.0,11,244.1
seed01,trenton_flow_reliability_annual,2685,0.802632,0.960526,0.157895,12,0.0131578,0.0131579,0.015,11,244.1
seed01,downstream_flood_exceedance_annual,2685,0.153328,0.480086,0.326758,2660,1e-07,3.84e-05,0.3,2,1342.5
seed01,nyc_storage_min_p01_pct,2685,0,32.0215,32.0215,2496,1e-05,0.00429,5.0,8,335.6
seed01,nj_delivery_reliability_annual,2685,0.486842,1,0.513158,40,0.0131578,0.0131579,0.025,21,127.9
union,nyc_delivery_reliability_annual,23273,0.5,0.960526,0.460526,36,0.0131579,0.0131579,0.02,25,930.9
union,nyc_delivery_deficit_p99_pct,23273,11.2739,80.2889,69.015,19703,1.36424e-12,0.000787986,5.0,15,1551.5
union,montague_flow_reliability_annual,23273,0.473684,0.973684,0.5,38,0.0131579,0.0131579,0.02,26,895.1
union,montague_flow_deficit_p99_pct,23273,6.1946,60.584,54.3894,22482,1.00187e-12,0.000708089,5.0,12,1939.4
union,trenton_flow_reliability_annual,23273,0.802632,0.960526,0.157895,13,0.0131579,0.0131579,0.015,12,1939.4
union,downstream_flood_exceedance_annual,23273,0.128024,0.480086,0.352062,23173,1.06337e-12,5.89925e-06,0.3,2,11636.5
union,nyc_storage_min_p01_pct,23273,0,33.3654,33.3654,22438,1.03739e-12,0.000678991,5.0,8,2909.1
union,nj_delivery_reliability_annual,23273,0.473684,1,0.526316,41,0.0131579,0.0131579,0.025,22,1057.9
