candidate,objective,epsilon,occupied_1d_boxes,span_frac,extreme_gap_eps
adopted,nyc_delivery_reliability_annual,0.02,25,1.000,0.00
adopted,nyc_delivery_deficit_p99_pct,5,14,0.957,0.17
adopted,montague_flow_reliability_annual,0.02,24,0.921,0.00
adopted,montague_flow_deficit_p99_pct,5,11,0.950,0.15
adopted,trenton_flow_reliability_annual,0.015,11,1.000,0.00
adopted,downstream_flood_exceedance_annual,0.3,2,0.928,0.08
adopted,nyc_storage_min_p01_pct,5,8,0.960,0.27
adopted,nj_delivery_reliability_annual,0.025,21,0.975,0.00
grouped_base,nyc_delivery_reliability_annual,0.02,25,1.000,0.00
grouped_base,nyc_delivery_deficit_p99_pct,5,14,0.957,0.17
grouped_base,montague_flow_reliability_annual,0.02,24,0.921,0.00
grouped_base,montague_flow_deficit_p99_pct,5,11,0.950,0.15
grouped_base,trenton_flow_reliability_annual,0.02,9,1.000,0.00
grouped_base,downstream_flood_exceedance_annual,0.3,2,0.928,0.08
grouped_base,nyc_storage_min_p01_pct,5,8,0.960,0.27
grouped_base,nj_delivery_reliability_annual,0.02,26,0.950,0.00
rel_x2,nyc_delivery_reliability_annual,0.04,13,1.000,0.00
rel_x2,nyc_delivery_deficit_p99_pct,5,14,0.957,0.17
rel_x2,montague_flow_reliability_annual,0.04,12,0.895,0.00
rel_x2,montague_flow_deficit_p99_pct,5,11,0.950,0.16
rel_x2,trenton_flow_reliability_annual,0.04,5,0.833,0.00
rel_x2,downstream_flood_exceedance_annual,0.3,2,0.914,0.08
rel_x2,nyc_storage_min_p01_pct,5,8,0.960,0.27
rel_x2,nj_delivery_reliability_annual,0.04,13,0.925,0.00
rel_x3,nyc_delivery_reliability_annual,0.06,9,1.000,0.00
rel_x3,nyc_delivery_deficit_p99_pct,5,13,0.857,0.17
rel_x3,montague_flow_reliability_annual,0.06,9,0.895,0.00
rel_x3,montague_flow_deficit_p99_pct,5,10,0.848,0.16
rel_x3,trenton_flow_reliability_annual,0.06,3,0.750,0.00
rel_x3,downstream_flood_exceedance_annual,0.3,2,0.923,0.09
rel_x3,nyc_storage_min_p01_pct,5,8,0.960,0.27
rel_x3,nj_delivery_reliability_annual,0.06,9,0.950,0.00
rel_x4,nyc_delivery_reliability_annual,0.08,7,1.000,0.00
rel_x4,nyc_delivery_deficit_p99_pct,5,12,0.824,0.17
rel_x4,montague_flow_reliability_annual,0.08,7,0.868,0.00
rel_x4,montague_flow_deficit_p99_pct,5,9,0.742,0.50
rel_x4,trenton_flow_reliability_annual,0.08,3,0.750,0.00
rel_x4,downstream_flood_exceedance_annual,0.3,2,0.879,0.13
rel_x4,nyc_storage_min_p01_pct,5,8,0.960,0.27
rel_x4,nj_delivery_reliability_annual,0.08,7,0.850,0.00
rel_x5,nyc_delivery_reliability_annual,0.1,6,1.000,0.00
rel_x5,nyc_delivery_deficit_p99_pct,5,12,0.768,0.56
rel_x5,montague_flow_reliability_annual,0.1,5,0.895,0.00
rel_x5,montague_flow_deficit_p99_pct,5,10,0.828,0.38
rel_x5,trenton_flow_reliability_annual,0.1,2,0.583,0.26
rel_x5,downstream_flood_exceedance_annual,0.3,2,0.866,0.14
rel_x5,nyc_storage_min_p01_pct,5,8,0.960,0.27
rel_x5,nj_delivery_reliability_annual,0.1,6,0.950,0.00
def_7.5,nyc_delivery_reliability_annual,0.02,25,1.000,0.00
def_7.5,nyc_delivery_deficit_p99_pct,7.5,10,0.957,0.11
def_7.5,montague_flow_reliability_annual,0.02,24,0.921,0.00
def_7.5,montague_flow_deficit_p99_pct,7.5,8,0.952,0.09
def_7.5,trenton_flow_reliability_annual,0.02,9,1.000,0.00
def_7.5,downstream_flood_exceedance_annual,0.3,2,0.923,0.09
def_7.5,nyc_storage_min_p01_pct,5,8,0.922,0.52
def_7.5,nj_delivery_reliability_annual,0.02,24,0.875,0.00
def_10,nyc_delivery_reliability_annual,0.02,25,1.000,0.00
def_10,nyc_delivery_deficit_p99_pct,10,7,0.879,0.62
def_10,montague_flow_reliability_annual,0.02,23,0.895,0.00
def_10,montague_flow_deficit_p99_pct,10,6,0.950,0.08
def_10,trenton_flow_reliability_annual,0.02,8,0.833,0.00
def_10,downstream_flood_exceedance_annual,0.3,2,0.928,0.08
def_10,nyc_storage_min_p01_pct,5,8,0.960,0.27
def_10,nj_delivery_reliability_annual,0.02,25,0.950,0.00
