candidate,epsilons,size_seed01,pct_of_full_seed01,size_union,pct_of_full_union,min_axis_boxes,min_span_frac,max_extreme_gap_eps
adopted,0.02 5 0.02 5 0.015 0.3 5 0.025,2683,99.9,2604,11.2,2,0.921,0.27
grouped_base,0.02 5 0.02 5 0.02 0.3 5 0.02,2122,79.0,2152,9.2,2,0.921,0.27
rel_x2,0.04 5 0.04 5 0.04 0.3 5 0.04,1059,39.4,1059,4.6,2,0.833,0.27
rel_x3,0.06 5 0.06 5 0.06 0.3 5 0.06,626,23.3,627,2.7,2,0.750,0.27
rel_x4,0.08 5 0.08 5 0.08 0.3 5 0.08,384,14.3,384,1.6,2,0.742,0.50
rel_x5,0.1 5 0.1 5 0.1 0.3 5 0.1,334,12.4,334,1.4,2,0.583,0.56
def_7.5,0.02 7.5 0.02 7.5 0.02 0.3 5 0.02,1111,41.4,1212,5.2,2,0.875,0.52
def_10,0.02 10 0.02 10 0.02 0.3 5 0.02,945,35.2,958,4.1,2,0.833,0.62
flood_0.5,0.02 5 0.02 5 0.02 0.5 5 0.02,1718,64.0,1736,7.5,1,0.921,0.27
flood_0.6,0.02 5 0.02 5 0.02 0.6 5 0.02,1718,64.0,1736,7.5,1,0.921,0.27
stor_7.5,0.02 5 0.02 5 0.02 0.3 7.5 0.02,1342,50.0,1399,6.0,2,0.921,0.31
stor_10,0.02 5 0.02 5 0.02 0.3 10 0.02,1274,47.4,1288,5.5,2,0.895,0.66
joint_x1.5,0.03 7.5 0.03 7.5 0.03 0.45 7.5 0.03,431,16.1,524,2.3,2,0.750,0.34
joint_x2,0.04 10 0.04 10 0.04 0.6 10 0.04,224,8.3,224,1.0,1,0.750,0.70
joint_x3,0.06 15 0.06 15 0.06 1 15 0.06,68,2.5,68,0.3,1,0.667,0.23
rel_x2.5,0.05 5 0.05 5 0.05 0.3 5 0.05,732,27.3,740,3.2,2,0.750,0.56
mixed_r2,0.04 7.5 0.04 7.5 0.04 0.3 5 0.04,570,21.2,610,2.6,2,0.750,0.52
mixed_r2.5,0.05 7.5 0.05 7.5 0.05 0.5 7.5 0.05,211,7.9,262,1.1,1,0.750,0.35
mixed_r3,0.06 7.5 0.06 7.5 0.06 0.5 7.5 0.06,191,7.1,232,1.0,1,0.667,0.35
mixed_r2f,0.04 7.5 0.04 7.5 0.04 0.5 5 0.04,451,16.8,487,2.1,1,0.750,0.52
mixed_r2fs,0.04 7.5 0.04 7.5 0.04 0.5 7.5 0.04,298,11.1,342,1.5,1,0.750,0.35
mixed_r2.5f,0.05 7.5 0.05 7.5 0.05 0.5 5 0.05,314,11.7,352,1.5,1,0.750,0.52
keepf_a,0.05 10 0.05 10 0.05 0.3 5 0.05,337,12.6,335,1.4,2,0.720,0.62
keepf_b,0.06 7.5 0.06 7.5 0.06 0.3 5 0.06,324,12.1,352,1.5,2,0.750,0.52
keepf_c,0.05 7.5 0.05 7.5 0.05 0.3 5 0.05,375,14.0,426,1.8,2,0.750,0.52
keepf_d,0.06 10 0.06 10 0.06 0.3 5 0.06,292,10.9,292,1.3,2,0.720,0.62
