candidate,epsilons,size_seed01,size_seed02,size_merged,pct_of_current_seed01,pct_of_current_seed02,pct_of_current_merged
current,0.02 2 0.02 2 0.015 0.2 5 0.025,2051,1990,2678,100.0,100.0,35.5
OAT nyc_delivery_deficit_p99_pct -> 3,0.02 3 0.02 2 0.015 0.2 5 0.025,1765,1778,2394,86.1,89.3,31.7
OAT nyc_delivery_deficit_p99_pct -> 5,0.02 5 0.02 2 0.015 0.2 5 0.025,1532,1423,1964,74.7,71.5,26.0
OAT nyc_delivery_deficit_p99_pct -> 10,0.02 10 0.02 2 0.015 0.2 5 0.025,1212,1040,1486,59.1,52.3,19.7
OAT montague_flow_deficit_p99_pct -> 3,0.02 2 0.02 3 0.015 0.2 5 0.025,1879,1754,2445,91.6,88.1,32.4
OAT montague_flow_deficit_p99_pct -> 4,0.02 2 0.02 4 0.015 0.2 5 0.025,1818,1712,2316,88.6,86.0,30.7
OAT montague_flow_deficit_p99_pct -> 5,0.02 2 0.02 5 0.015 0.2 5 0.025,1677,1488,2137,81.8,74.8,28.3
OAT trenton_flow_reliability_annual -> 0.01,0.02 2 0.02 2 0.01 0.2 5 0.025,2051,1990,2682,100.0,100.0,35.6
OAT trenton_flow_reliability_annual -> 0.02,0.02 2 0.02 2 0.02 0.2 5 0.025,1865,1788,2483,90.9,89.8,32.9
OAT downstream_flood_exceedance_annual -> 0.3,0.02 2 0.02 2 0.015 0.3 5 0.025,1794,1794,2730,87.5,90.2,36.2
OAT downstream_flood_exceedance_annual -> 0.5,0.02 2 0.02 2 0.015 0.5 5 0.025,1708,1730,2172,83.3,86.9,28.8
OAT nyc_storage_min_p01_pct -> 7.5,0.02 2 0.02 2 0.015 0.2 7.5 0.025,1562,1522,2158,76.2,76.5,28.6
OAT nyc_storage_min_p01_pct -> 10,0.02 2 0.02 2 0.015 0.2 10 0.025,1491,1515,1902,72.7,76.1,25.2
C1_adopted,0.02 5 0.02 5 0.015 0.3 5 0.025,1159,1036,1599,56.5,52.1,21.2
C1_moderate,0.02 5 0.02 4 0.015 0.3 7.5 0.025,979,926,1410,47.7,46.5,18.7
C2_measured,0.02 10 0.02 5 0.015 0.5 10 0.025,544,500,640,26.5,25.1,8.5
C3_moderate_fine_trenton,0.02 5 0.02 4 0.01 0.3 7.5 0.025,980,926,1410,47.8,46.5,18.7
