archive,objective,n_members,min,max,range,n_distinct,lattice_min_step,lattice_median_step,epsilon,occupied_1d_boxes,members_per_box
seed01,nyc_delivery_reliability_annual,2051,0.5,0.907895,0.407895,32,0.0131578,0.0131579,0.02,22,93.2
seed01,nyc_delivery_deficit_p99_pct,2051,20,62.0103,42.0103,1422,1e-05,0.0114,2.0,22,93.2
seed01,montague_flow_reliability_annual,2051,0.486842,0.960526,0.473684,34,0.0131578,0.0131579,0.02,23,89.2
seed01,montague_flow_deficit_p99_pct,2051,10.5109,45.4716,34.9608,1913,1e-05,0.01042,2.0,18,113.9
seed01,trenton_flow_reliability_annual,2051,0.828947,0.947368,0.118421,10,0.0131578,0.0131579,0.015,9,227.9
seed01,downstream_flood_exceedance_annual,2051,0.131179,0.425411,0.294231,1961,1e-07,7.245e-05,0.2,3,683.7
seed01,nyc_storage_min_p01_pct,2051,0,26.1637,26.1637,1904,1e-05,0.00702,5.0,7,293.0
seed01,nj_delivery_reliability_annual,2051,0.513158,0.973684,0.460526,36,0.0131578,0.0131579,0.025,19,107.9
seed02,nyc_delivery_reliability_annual,1990,0.5,0.881579,0.381579,30,0.0131578,0.0131579,0.02,21,94.8
seed02,nyc_delivery_deficit_p99_pct,1990,20,60.4389,40.4389,1457,2e-05,0.010725,2.0,21,94.8
seed02,montague_flow_reliability_annual,1990,0.513158,0.973684,0.460526,36,0.0131578,0.0131579,0.02,24,82.9
seed02,montague_flow_deficit_p99_pct,1990,6.62983,45.4687,38.8388,1916,1e-05,0.01028,2.0,20,99.5
seed02,trenton_flow_reliability_annual,1990,0.828947,0.947368,0.118421,10,0.0131578,0.0131579,0.015,9,221.1
seed02,downstream_flood_exceedance_annual,1990,0.131242,0.446488,0.315246,1958,1e-07,6.87e-05,0.2,3,663.3
seed02,nyc_storage_min_p01_pct,1990,0,28.1711,28.1711,1875,5e-06,0.007287,5.0,7,284.3
seed02,nj_delivery_reliability_annual,1990,0.5,0.986842,0.486842,38,0.0131578,0.0131579,0.025,21,94.8
merged,nyc_delivery_reliability_annual,7544,0.5,0.907895,0.407895,32,0.0131579,0.0131579,0.02,22,342.9
merged,nyc_delivery_deficit_p99_pct,7544,20,62.0103,42.0103,4849,1.66978e-12,0.00328076,2.0,22,342.9
merged,montague_flow_reliability_annual,7544,0.447368,0.973684,0.526316,39,0.0131579,0.0131579,0.02,26,290.2
merged,montague_flow_deficit_p99_pct,7544,6.62983,46.1566,39.5268,7247,1.00187e-12,0.00268851,2.0,21,359.2
merged,trenton_flow_reliability_annual,7544,0.828947,0.947368,0.118421,10,0.0131579,0.0131579,0.015,9,838.2
merged,downstream_flood_exceedance_annual,7544,0.116713,0.451954,0.33524,7483,1.37537e-12,1.98652e-05,0.2,3,2514.7
merged,nyc_storage_min_p01_pct,7544,0,28.8505,28.8505,7194,1.00364e-12,0.00211525,5.0,7,1077.7
merged,nj_delivery_reliability_annual,7544,0.473684,0.986842,0.513158,40,0.0131579,0.0131579,0.025,22,342.9
