domain,candidate,n_policies,n_distinct,tie_pair_frac,range,iqr,epsilon,n_epsilon_boxes
hist,C1_days_minor,25,9,0.14666666666666667,0.16993235988834013,0.0522868799656431,0.013157894736842105,9
hist,C2_days_action,25,18,0.03,0.535940519647842,0.20914751986257252,0.020914751986257252,13
hist,C3_sum_ft,25,25,0.0,0.23364873267120687,0.08463174245093302,0.008463174245093302,16
hist,C4_max_ft,25,25,0.0,0.23364873267120687,0.08463174245093302,0.008463174245093302,16
hist,C5_norm_ft,25,25,0.0,0.058412183167801716,0.021157935612733256,0.0021157935612733255,16
hist,C6_flow_mg,25,25,0.0,408.727543396058,144.6898374211887,14.468983742118871,14
ens,C1_days_minor,25,18,0.02666666666666667,0.17551020408163268,0.06938775510204082,0.0069387755102040816,14
ens,C2_days_action,25,22,0.01,0.6163265306122448,0.1673469387755102,0.01673469387755102,16
ens,C3_sum_ft,25,25,0.0,0.2926310619760638,0.10561440198172231,0.01056144019817223,17
ens,C4_max_ft,25,25,0.0,0.27969196816908304,0.10332377693254283,0.010332377693254282,16
ens,C5_norm_ft,25,25,0.0,0.07108928294231973,0.02529604324917241,0.002529604324917241,17
ens,C6_flow_mg,25,25,0.0,509.2527612330716,178.91123970807382,17.89112397080738,17
