domain,candidate,range,rel_range,spearman_rho_vs_t,n_reversals,max_step_share
hist,C1_days_minor,0.026143439982821565,0.12765957446808512,-0.8398412548412546,1,0.5000000000000006
hist,C2_days_action,0.039215159974232305,0.045150501672240766,-0.9398581453247788,0,0.3333333333333333
hist,C3_sum_ft,0.010165528643333255,0.029415444239078384,-0.7333333333333334,2,0.5429150242410292
hist,C4_max_ft,0.010165528643333255,0.029415444239078384,-0.7333333333333334,2,0.5429150242410292
hist,C5_norm_ft,0.0025413821608333137,0.029415444239078384,-0.7333333333333334,2,0.5429150242410292
hist,C6_flow_mg,17.219511156092608,0.02747250738094644,-0.7333333333333334,2,0.5637509762347026
ens,C1_days_minor,0.012244897959183654,0.07012987012987001,-0.9486832980505138,0,0.3333333333333333
ens,C2_days_action,0.053061224489796,0.05948144382308093,-0.991631652042901,0,0.38461538461538447
ens,C3_sum_ft,0.017306212865031118,0.07434006817514136,-0.9833333333333333,1,0.2980228797167466
ens,C4_max_ft,0.016379970459542065,0.07409431113298404,-1.0,0,0.2717775079996256
ens,C5_norm_ft,0.0042496228044197615,0.07638759556385206,-1.0,0,0.2876459769328266
ens,C6_flow_mg,29.425664293552757,0.07324835267544995,-0.9833333333333333,1,0.31107225457775667
