water_year,candidate,obs,sim
2001,C1_days_minor,0.0,0.0
2001,C2_days_action,3.0,2.0
2001,C3_sum_ft,0.0,0.0
2001,C4_max_ft,0.0,0.0
2001,C5_norm_ft,0.0,0.0
2001,C6_flow_mg,0.0,0.0
2002,C1_days_minor,0.0,0.0
2002,C2_days_action,0.0,0.0
2002,C3_sum_ft,0.0,0.0
2002,C4_max_ft,0.0,0.0
2002,C5_norm_ft,0.0,0.0
2002,C6_flow_mg,0.0,0.0
2003,C1_days_minor,0.0,1.0
2003,C2_days_action,4.0,2.0
2003,C3_sum_ft,0.0,0.33882083501559634
2003,C4_max_ft,0.0,0.33882083501559634
2003,C5_norm_ft,0.0,0.08470520875389909
2003,C6_flow_mg,0.0,542.4053631681463
2004,C1_days_minor,2.0,0.0
2004,C2_days_action,3.0,2.0
2004,C3_sum_ft,4.03128709206675,0.0
2004,C4_max_ft,3.4166740290034294,0.0
2004,C5_norm_ft,0.8500558493796112,0.0
2004,C6_flow_mg,8870.395437668969,0.0
2005,C1_days_minor,2.0,2.0
2005,C2_days_action,7.0,6.0
2005,C3_sum_ft,13.90662173684902,5.138150799319462
2005,C4_max_ft,6.507565117193131,5.138150799319462
2005,C5_norm_ft,2.8553490543450777,1.2845376998298654
2005,C6_flow_mg,26442.462319016417,9317.632800614509
2006,C1_days_minor,4.0,2.0
2006,C2_days_action,5.0,3.0
2006,C3_sum_ft,18.05341546713005,8.166185510998874
2006,C4_max_ft,11.42116075324186,8.166185510998874
2006,C5_norm_ft,4.14972560261806,2.0415463777497185
2006,C6_flow_mg,43225.9749648307,16024.827660194562
2007,C1_days_minor,1.0,0.0
2007,C2_days_action,2.0,3.0
2007,C3_sum_ft,1.1664747563361928,0.0
2007,C4_max_ft,1.1664747563361928,0.0
2007,C5_norm_ft,0.19441245938936547,0.0
2007,C6_flow_mg,1158.9253963394904,0.0
2008,C1_days_minor,0.0,0.0
2008,C2_days_action,3.0,5.0
2008,C3_sum_ft,0.0,0.0
2008,C4_max_ft,0.0,0.0
2008,C5_norm_ft,0.0,0.0
2008,C6_flow_mg,0.0,0.0
2009,C1_days_minor,0.0,0.0
2009,C2_days_action,0.0,0.0
2009,C3_sum_ft,0.0,0.0
2009,C4_max_ft,0.0,0.0
2009,C5_norm_ft,0.0,0.0
2009,C6_flow_mg,0.0,0.0
2010,C1_days_minor,0.0,0.0
2010,C2_days_action,0.0,1.0
2010,C3_sum_ft,0.0,0.0
2010,C4_max_ft,0.0,0.0
2010,C5_norm_ft,0.0,0.0
2010,C6_flow_mg,0.0,0.0
