design,objective,rho_vs_nj
fixed_probabilistic,nyc_delivery_reliability_annual,0.15127769367715294
fixed_probabilistic,nyc_delivery_deficit_p99_pct,0.11783743997566236
fixed_probabilistic,montague_flow_reliability_annual,0.19687748257520085
fixed_probabilistic,montague_flow_deficit_p99_pct,0.044249932414409214
fixed_probabilistic,trenton_flow_reliability_annual,-0.0320114033723859
fixed_probabilistic,downstream_flood_days_annual,0.38431799047313914
fixed_probabilistic,downstream_flood_days_annual_p99,0.3127474600280828
fixed_probabilistic,nyc_storage_min_p01_pct,0.1440534946294242
hazard_filling_stationary,nyc_delivery_reliability_annual,0.1360969749975133
hazard_filling_stationary,nyc_delivery_deficit_p99_pct,0.04864403253528519
hazard_filling_stationary,montague_flow_reliability_annual,0.19021636832411715
hazard_filling_stationary,montague_flow_deficit_p99_pct,0.03049128579757288
hazard_filling_stationary,trenton_flow_reliability_annual,-0.07866519375433395
hazard_filling_stationary,downstream_flood_days_annual,0.36842728505304606
hazard_filling_stationary,downstream_flood_days_annual_p99,0.17887950401309619
hazard_filling_stationary,nyc_storage_min_p01_pct,0.1656927452628643
historic,nyc_delivery_reliability_annual,0.05253813261088764
historic,nyc_delivery_deficit_p99_pct,0.002138091065813479
historic,montague_flow_reliability_annual,-0.07767447161034953
historic,montague_flow_deficit_p99_pct,0.0823987437464175
historic,trenton_flow_reliability_annual,-0.24981981863104108
historic,downstream_flood_days_annual,0.10831343322861568
historic,downstream_flood_days_annual_p99,0.07862878186518261
historic,nyc_storage_min_p01_pct,0.12772226443326948
