,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_exceedance_annual,downstream_flood_days_annual,downstream_flood_days_annual_p99,nyc_storage_min_p01_pct,nj_delivery_reliability_annual
nyc_delivery_reliability_annual,1.0,-0.04550070158138472,0.7153693134104053,0.019220369046476428,0.2669990732436298,0.3761784459908035,0.37108972672952517,0.2497723922999854,0.07056943562238878,0.2617961424411005
nyc_delivery_deficit_p99_pct,-0.04550070158138472,1.0,0.021980127504458716,-0.12434258806262231,0.10279391664131644,0.002407559995880111,-0.0036446382729135736,-0.029915166430026164,0.23643890035538276,-0.013718459436169101
montague_flow_reliability_annual,0.7153693134104053,0.021980127504458716,1.0,-0.06341490172491421,0.512453669326224,0.33886710153345867,0.32138907825565743,0.16338713886652506,-0.04820401465680751,0.22232928995525278
montague_flow_deficit_p99_pct,0.019220369046476428,-0.12434258806262231,-0.06341490172491421,1.0,-0.3975968971876139,-0.0017751821048053924,-0.0030295762261948376,0.002785287111855259,0.48876661846888175,-0.02821713828733874
trenton_flow_reliability_annual,0.2669990732436298,0.10279391664131644,0.512453669326224,-0.3975968971876139,1.0,0.15218432292305112,0.13108654719167534,0.04180541419065138,-0.3334278377117275,0.02114693458273971
downstream_flood_exceedance_annual,0.3761784459908035,0.002407559995880111,0.33886710153345867,-0.0017751821048053924,0.15218432292305112,1.0,0.9939718744801077,0.6381879801077909,0.20432949866753042,0.35962714784843197
downstream_flood_days_annual,0.37108972672952517,-0.0036446382729135736,0.32138907825565743,-0.0030295762261948376,0.13108654719167534,0.9939718744801077,1.0,0.6366756983405966,0.21327187528401156,0.3624787997821575
downstream_flood_days_annual_p99,0.2497723922999854,-0.029915166430026164,0.16338713886652506,0.002785287111855259,0.04180541419065138,0.6381879801077909,0.6366756983405966,1.0,0.10528387036949416,0.14616849097871942
nyc_storage_min_p01_pct,0.07056943562238878,0.23643890035538276,-0.04820401465680751,0.48876661846888175,-0.3334278377117275,0.20432949866753042,0.21327187528401156,0.10528387036949416,1.0,0.10011405435693403
nj_delivery_reliability_annual,0.2617961424411005,-0.013718459436169101,0.22232928995525278,-0.02821713828733874,0.02114693458273971,0.35962714784843197,0.3624787997821575,0.14616849097871942,0.10011405435693403,1.0
