,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_exceedance_annual,downstream_flood_days_annual,downstream_flood_days_annual_p99,nyc_storage_min_p01_pct,nj_delivery_reliability_annual
nyc_delivery_reliability_annual,1.0,-0.07536455691980808,0.7241177204673528,-0.03995609941528995,0.28822877330954483,0.3369016440046556,0.33033279196233106,0.2600394320329926,0.054530991358161605,0.23820481681661795
nyc_delivery_deficit_p99_pct,-0.07536455691980808,1.0,0.0200163045906371,-0.07646273932548266,0.26372247247072206,-0.11134991803137982,-0.11103785427359852,-0.025439593832536047,-0.45859581828116364,-0.10439791439174026
montague_flow_reliability_annual,0.7241177204673528,0.0200163045906371,1.0,-0.054269037509308095,0.4683711395404182,0.2896988461837954,0.27306665175979455,0.24802551791940838,-0.027709547649669614,0.2048799694570106
montague_flow_deficit_p99_pct,-0.03995609941528995,-0.07646273932548266,-0.054269037509308095,1.0,-0.2355376088528393,-0.14277479872626772,-0.14933491205098315,-0.08490672536809185,0.19982546334750714,-0.12739096812892248
trenton_flow_reliability_annual,0.28822877330954483,0.26372247247072206,0.4683711395404182,-0.2355376088528393,1.0,0.17253175430014267,0.16162771081176786,0.15019169643218053,-0.203509604517636,0.0369344112209883
downstream_flood_exceedance_annual,0.3369016440046556,-0.11134991803137982,0.2896988461837954,-0.14277479872626772,0.17253175430014267,1.0,0.9953776628700854,0.7468528331312048,0.17411773932927904,0.3439920700575177
downstream_flood_days_annual,0.33033279196233106,-0.11103785427359852,0.27306665175979455,-0.14933491205098315,0.16162771081176786,0.9953776628700854,1.0,0.7468829278536248,0.17581050851957306,0.34675622150714225
downstream_flood_days_annual_p99,0.2600394320329926,-0.025439593832536047,0.24802551791940838,-0.08490672536809185,0.15019169643218053,0.7468528331312048,0.7468829278536248,1.0,0.08632211075227361,0.2150421254162119
nyc_storage_min_p01_pct,0.054530991358161605,-0.45859581828116364,-0.027709547649669614,0.19982546334750714,-0.203509604517636,0.17411773932927904,0.17581050851957306,0.08632211075227361,1.0,0.04789208154095317
nj_delivery_reliability_annual,0.23820481681661795,-0.10439791439174026,0.2048799694570106,-0.12739096812892248,0.0369344112209883,0.3439920700575177,0.34675622150714225,0.2150421254162119,0.04789208154095317,1.0
