,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_exceedance_annual,downstream_flood_days_annual,downstream_flood_days_annual_p99,nyc_storage_min_p01_pct,nj_delivery_reliability_annual
nyc_delivery_reliability_annual,1.0,0.03310858940329512,0.6455513372004102,-0.11110017050206891,0.19188652487414667,0.067176625599807,0.08684847206652045,0.11239373041142085,-0.057454156513357765,0.05466744625827988
nyc_delivery_deficit_p99_pct,0.03310858940329512,1.0,0.1415691341780843,-0.20135384122406472,-0.12408486608799031,-0.047141791407743106,-0.041879381817559826,-0.04072175566279361,-0.6215317997428789,-0.10785580671803642
montague_flow_reliability_annual,0.6455513372004102,0.1415691341780843,1.0,-0.10777120347296361,0.3779546783562095,0.02311285219452607,0.024509297533387753,0.07802730540552323,-0.14512825672531038,-0.025294594694427408
montague_flow_deficit_p99_pct,-0.11110017050206891,-0.20135384122406472,-0.10777120347296361,1.0,-0.0911082980702855,0.018457959968414185,-0.010860398272581987,-0.014832383511150434,0.16953164781465474,-0.12558038958918408
trenton_flow_reliability_annual,0.19188652487414667,-0.12408486608799031,0.3779546783562095,-0.0911082980702855,1.0,-0.047283771258963554,-0.13457192377936902,-0.06666914491236922,0.11056443410055303,-0.1412702482880384
downstream_flood_exceedance_annual,0.067176625599807,-0.047141791407743106,0.02311285219452607,0.018457959968414185,-0.047283771258963554,1.0,0.8893194622866093,0.6974268491158903,0.06070841027449224,0.1072094395003218
downstream_flood_days_annual,0.08684847206652045,-0.041879381817559826,0.024509297533387753,-0.010860398272581987,-0.13457192377936902,0.8893194622866093,1.0,0.7550443618340352,0.049414894140912394,0.13992520756001356
downstream_flood_days_annual_p99,0.11239373041142085,-0.04072175566279361,0.07802730540552323,-0.014832383511150434,-0.06666914491236922,0.6974268491158903,0.7550443618340352,1.0,0.08341740621725412,0.10298467061383206
nyc_storage_min_p01_pct,-0.057454156513357765,-0.6215317997428789,-0.14512825672531038,0.16953164781465474,0.11056443410055303,0.06070841027449224,0.049414894140912394,0.08341740621725412,1.0,0.09453613092366014
nj_delivery_reliability_annual,0.05466744625827988,-0.10785580671803642,-0.025294594694427408,-0.12558038958918408,-0.1412702482880384,0.1072094395003218,0.13992520756001356,0.10298467061383206,0.09453613092366014,1.0
