m_set,m,seed,snap_mean,snap_p95,nn_min_abs,L2_star_abs,mean_snap,mean_random_pair,concentration_ratio,jaccard_nn_vs_assign
m4,4,0,0.21048523624465162,0.47892352038249314,0.0666196820902925,0.03923347458564974,0.21048523624465162,0.5204604531921341,0.40442119080073224,0.8691588785046729
m4,4,1,0.1955690745218325,0.3938131725684107,0.07480714612080928,0.026154743851176682,0.1955690745218325,0.5205664766691327,0.3756851109068524,0.9047619047619048
m4,4,2,0.2008192448205557,0.4414981093830221,0.06406802247084459,0.04156616434729636,0.2008192448205557,0.5225728021017625,0.38428950763007647,0.8867924528301887
m4,4,3,0.2063227755428393,0.4457099812125439,0.06844319451073187,0.042552796502092954,0.2063227755428393,0.5206110917276915,0.3963088355611862,0.8691588785046729
m4,4,4,0.19788726928604078,0.3663020661290268,0.06844319451073187,0.03594647624684235,0.19788726928604078,0.5200307412191502,0.38052994486848535,0.8518518518518519
m4,4,5,0.214223285377346,0.4368963424004109,0.05995837380384016,0.03065951847331853,0.214223285377346,0.5205553152438901,0.41152837960549554,0.8691588785046729
m4,4,6,0.2087271930497576,0.43620550559931204,0.04915707504825461,0.03702007436411133,0.2087271930497576,0.5185514268785275,0.402519754513476,0.8691588785046729
m4,4,7,0.2076480848056384,0.4367734106560433,0.06844319451073187,0.03121843101982593,0.2076480848056384,0.5222032810630414,0.39763841464751487,0.8691588785046729
m4,4,8,0.20047743916252933,0.44661631350583475,0.052114471335643744,0.034256200934916915,0.20047743916252933,0.5182021545157405,0.3868711031313163,0.8181818181818182
m4,4,9,0.21017980342903628,0.4940186345793886,0.0666196820902925,0.028654033552544967,0.21017980342903628,0.5215290479090346,0.40300689726048766,0.8867924528301887
m6,6,0,0.43681521462099565,0.6939919977779339,0.07201383261985475,0.04489192584228007,0.43681521462099565,0.6521393091512802,0.6698188692067715,0.8181818181818182
m6,6,1,0.4239516796613944,0.6606171137398009,0.07908238364432453,0.038515641507486056,0.4239516796613944,0.653157433089769,0.6490803873361525,0.8518518518518519
m6,6,2,0.42736567608062287,0.7500029414331597,0.07201383261985475,0.04728929865598977,0.42736567608062287,0.6551430090885136,0.6523242561577625,0.8018018018018018
m6,6,3,0.4415264432677931,0.762227439814004,0.07908238364432453,0.04446861810001948,0.4415264432677931,0.6526792522835381,0.676483037760153,0.7857142857142857
m6,6,4,0.43410790473798144,0.7102917262580488,0.07908238364432453,0.0470120242437103,0.43410790473798144,0.6514396933716635,0.6663823361624841,0.8348623853211009
m6,6,5,0.4379977225506249,0.7874266423129116,0.07201383261985475,0.045917390474262375,0.4379977225506249,0.6525523167528144,0.6712070608072603,0.9047619047619048
m6,6,6,0.42785299444484015,0.767924629431525,0.07908238364432453,0.04477716782966485,0.42785299444484015,0.6512523471557616,0.6569696006677263,0.8181818181818182
m6,6,7,0.4442241251392123,0.7246777322995573,0.07908238364432453,0.045114876572247914,0.4442241251392123,0.6547026604967213,0.678512784417556,0.8867924528301887
m6,6,8,0.40858705837222076,0.6923533879622091,0.07908238364432453,0.03652373610595409,0.40858705837222076,0.651407110045943,0.6272376399812455,0.8691588785046729
m6,6,9,0.4264818904944021,0.7683303982745303,0.11968034205031947,0.03936196749085276,0.4264818904944021,0.6546667426754965,0.6514488405985815,0.8691588785046729
full,8,0,0.6144600186734904,0.9132763946678081,0.1428615866022975,0.025774119768106053,0.6144600186734904,0.7601365643775515,0.8083547713253995,0.8348623853211009
full,8,1,0.5939179330142321,0.9116655067478859,0.14150022967657355,0.021986677417509565,0.5939179330142321,0.7612471297458626,0.7801907026073225,0.8348623853211009
full,8,2,0.6038264126321091,0.9575659847371476,0.18295534245242562,0.022422284020739675,0.6038264126321091,0.7632475509298163,0.7911278744314417,0.8691588785046729
full,8,3,0.601137991619964,0.9310402203589069,0.1629878686069284,0.020460683470905853,0.601137991619964,0.7603235304855558,0.790634470086789,0.7699115044247787
full,8,4,0.6123333319404005,0.920475230479787,0.14150022967657355,0.021740906004648442,0.6123333319404005,0.7607799581544011,0.8048757401888954,0.7857142857142857
full,8,5,0.6154600842116819,0.916943640670383,0.2128876050943987,0.02644306586384227,0.6154600842116819,0.7605906537374908,0.8091870195713724,0.8518518518518519
full,8,6,0.6073923256402645,0.9436810003369447,0.1428615866022975,0.025074904436346586,0.6073923256402645,0.7605703247137989,0.7986011364153932,0.8348623853211009
full,8,7,0.5850720551803601,0.943484685262068,0.18295534245242562,0.024459849647951257,0.5850720551803601,0.7629032732306588,0.7669020119716637,0.8348623853211009
full,8,8,0.6050741138620817,0.8633926255088876,0.12516988612286667,0.023276232023592917,0.6050741138620817,0.7599988441838597,0.7961513606140452,0.7699115044247787
full,8,9,0.6190724286116432,0.9646498113228948,0.2053433090285768,0.02190543112988301,0.6190724286116432,0.762409393502381,0.8119947549015998,0.8691588785046729
