m_set,m,n,selector,seed,tail_share_min,tail_share_mean,ks_mean,L2_star_abs
m4,4,100,lhs_nn,0,0.23,0.3375,0.16235994755109381,0.03923347458564974
m4,4,100,lhs_nn,1,0.28,0.36250000000000004,0.13456089772887223,0.026154743851176682
m4,4,100,lhs_nn,2,0.26,0.36,0.1511490969299679,0.04156616434729636
m4,4,100,lhs_nn,3,0.27,0.34750000000000003,0.15375254839731273,0.042552796502092954
m4,4,100,lhs_nn,4,0.26,0.36250000000000004,0.1537342868210673,0.03594647624684235
m4,4,100,lhs_nn,5,0.25,0.36,0.13931272895224148,0.03065951847331853
m4,4,100,lhs_nn,6,0.26,0.35750000000000004,0.14810894163045168,0.03702007436411133
m4,4,100,lhs_nn,7,0.24,0.35500000000000004,0.14768542324303313,0.03121843101982593
m4,4,100,lhs_nn,8,0.27,0.35250000000000004,0.15027627250084502,0.034256200934916915
m4,4,100,lhs_nn,9,0.24,0.35,0.14981454886740742,0.028654033552544967
m4,4,100,random,0,0.07,0.11750000000000002,0.4201938969587923,0.2707801851543798
m4,4,100,random,1,0.07,0.095,0.43263205007900146,0.2935253654949961
m4,4,100,random,2,0.08,0.0875,0.4275232874553439,0.2914086658083067
m4,4,100,random,3,0.08,0.10750000000000001,0.4270237762393754,0.28410753400193106
m4,4,100,random,4,0.06,0.0925,0.4473515306046483,0.3009384011726065
m4,4,100,random,5,0.04,0.060000000000000005,0.43971268667186325,0.31067807841752776
m4,4,100,random,6,0.06,0.095,0.4306219382104328,0.30174800665378565
m4,4,100,random,7,0.06,0.1075,0.4277239392615675,0.311434319545869
m4,4,100,random,8,0.08,0.12000000000000001,0.40335183530758634,0.259593858830152
m4,4,100,random,9,0.08,0.1,0.4126995128341232,0.28197836169248036
m4,4,100,random,10,0.09,0.11500000000000002,0.42334129603385573,0.28486199558109526
m4,4,100,random,11,0.07,0.105,0.4006186479383318,0.2734456941792157
m4,4,100,random,12,0.07,0.10500000000000001,0.416659602460685,0.2859479102056643
m4,4,100,random,13,0.06,0.085,0.43815925438050485,0.31090802002462575
m4,4,100,random,14,0.11,0.125,0.40684484558001976,0.2815466277152028
m4,4,100,random,15,0.08,0.10750000000000001,0.43946866410167895,0.2974750282252457
m4,4,100,random,16,0.05,0.0775,0.4706684109898074,0.3389911918614242
m4,4,100,random,17,0.08,0.13,0.4090949846815536,0.2905300338815373
m4,4,100,random,18,0.06,0.085,0.4403442863043171,0.3057304381315811
m4,4,100,random,19,0.08,0.1075,0.40415295877498847,0.27948108686616047
