pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,lhs_nn,0,100,0.0,100.0,0.14484815122801617,0.10594336529474034,0.05263896200143223,0.42370200901498956,0.40249999999999997,0.96,0.3365,0.15209133494266652,0.05263896200143223,0.3764744363167738,0.0,0.007
pool,lhs_nn,1,100,0.0,100.0,0.1383159353075951,0.1059262466161412,0.043337265568292795,0.4706014973394672,0.4225,0.98,0.354625,0.1484475650638686,0.043337265568292795,0.4153412414203657,0.0,0.007
pool,lhs_nn,2,100,0.0,100.0,0.13880631025728046,0.10936704186101912,0.04091769435115333,0.4624141242047972,0.4075,0.98,0.35562499999999997,0.1483008092084447,0.04091769435115333,0.4187559669617345,0.0,0.007
pool,lhs_nn,3,100,0.0,100.0,0.14575026182014772,0.10823552300220657,0.0505351475337587,0.44651721930764526,0.39749999999999996,0.96,0.344625,0.14822738551702072,0.0505351475337587,0.4026782095872093,0.0,0.007
pool,lhs_nn,4,100,0.0,100.0,0.13409637622717183,0.1088678515009937,0.04851608125784238,0.45374719050449613,0.415,1.0,0.35224999999999995,0.14733849030354204,0.04851608125784238,0.40750859891520375,0.0,0.007
pool,lhs_nn,5,100,0.0,100.0,0.13857329394147477,0.10857575167229383,0.04327661440280928,0.437063228108907,0.41000000000000003,0.99,0.346625,0.14892019319725786,0.04327661440280928,0.37992298876583463,0.0,0.007
pool,lhs_nn,6,100,0.0,100.0,0.14284946671593013,0.10789007084749004,0.04091769435115333,0.4423894694569194,0.39749999999999996,0.98,0.345375,0.1528926603762773,0.04091769435115333,0.38860350062295895,0.0,0.007
pool,lhs_nn,7,100,0.0,100.0,0.129191188897726,0.10940883195004854,0.0252684354644488,0.4937742411236687,0.405,1.0,0.348,0.14770391229853422,0.0252684354644488,0.4285344451694467,0.0,0.007
pool,lhs_nn,8,100,0.0,100.0,0.1374154686745929,0.1082345767016643,0.04327661440280928,0.4224579385443772,0.40249999999999997,0.98,0.34462499999999996,0.1495181547497073,0.04327661440280928,0.36712677661568854,0.0,0.007
pool,lhs_nn,9,100,0.0,100.0,0.1371258864866665,0.10911087648242157,0.0252684354644488,0.46238365780533064,0.4175,1.0,0.35487500000000005,0.15376364586107483,0.0252684354644488,0.3943733878120524,0.01,0.007
pool,lhs_assign,0,100,0.0,100.0,0.14526578879001142,0.10591149419628508,0.043337265568292795,0.4564016050036208,0.39999999999999997,0.96,0.33125,0.15380250430972858,0.043337265568292795,0.39762481489738144,0.0,0.007
pool,lhs_assign,1,100,0.0,100.0,0.14147837531610288,0.10589755899976803,0.043337265568292795,0.4861802132410674,0.4225,0.98,0.364875,0.1513770401893543,0.043337265568292795,0.4191000706278496,0.0,0.007
pool,lhs_assign,2,100,0.0,100.0,0.13486223313735807,0.10937787339205514,0.04091769435115333,0.4303363195297363,0.40249999999999997,0.98,0.34887500000000005,0.14849094604472202,0.04091769435115333,0.38930828364263514,0.0,0.007
pool,lhs_assign,3,100,0.0,100.0,0.14041706497171555,0.10828280003562056,0.0505351475337587,0.43385019416178283,0.395,0.95,0.34225,0.15080801566491828,0.0505351475337587,0.3923855615001805,0.0,0.007
pool,lhs_assign,4,100,0.0,100.0,0.13187761119297817,0.10879292296048705,0.04851608125784238,0.4595017390972151,0.4125,1.0,0.349125,0.14906261985939723,0.04851608125784238,0.40237301531586533,0.0,0.007
pool,lhs_assign,5,100,0.0,100.0,0.13538660374504435,0.10855852729752319,0.04091769435115333,0.45413845801861874,0.41,0.99,0.34550000000000003,0.1496684039772936,0.04091769435115333,0.39384278570327463,0.0,0.007
pool,lhs_assign,6,100,0.0,100.0,0.14726522176709486,0.10770412415771886,0.04091769435115333,0.454773289891981,0.39249999999999996,0.98,0.33687500000000004,0.153281399428713,0.04091769435115333,0.40448510754221373,0.0,0.007
pool,lhs_assign,7,100,0.0,100.0,0.12935931215098406,0.1093477596061614,0.03465054525555169,0.49995480327282726,0.405,1.0,0.33975,0.14638648386960082,0.03465054525555169,0.42910216894725484,0.0,0.007
pool,lhs_assign,8,100,0.0,100.0,0.1390910689766005,0.10834259799420283,0.03465054525555169,0.43568190512515026,0.40499999999999997,0.98,0.35462499999999997,0.1499817202655004,0.03465054525555169,0.37507093767412575,0.0,0.007
pool,lhs_assign,9,100,0.0,100.0,0.13220185145408941,0.10916561767624293,0.05263896200143223,0.41968616314244866,0.4075,1.0,0.342875,0.15277499602597733,0.05263896200143223,0.36674623471931855,0.01,0.007
