variant,axis,m,seed,jaccard_vs_full
loo,drought_deficit_volume,7,0,0.19047619047619047
loo,drought_deficit_volume,7,1,0.27388535031847133
loo,drought_deficit_volume,7,2,0.2903225806451613
loo,drought_deficit_volume,7,3,0.3157894736842105
loo,drought_deficit_volume,7,4,0.25
loo,drought_deficit_volume,7,5,0.21951219512195122
loo,drought_deficit_volume,7,6,0.2578616352201258
loo,drought_deficit_volume,7,7,0.26582278481012656
loo,drought_deficit_volume,7,8,0.2903225806451613
loo,drought_deficit_volume,7,9,0.2422360248447205
loo,drought_duration,7,0,0.21951219512195122
loo,drought_duration,7,1,0.2422360248447205
loo,drought_duration,7,2,0.28205128205128205
loo,drought_duration,7,3,0.28205128205128205
loo,drought_duration,7,4,0.27388535031847133
loo,drought_duration,7,5,0.27388535031847133
loo,drought_duration,7,6,0.2422360248447205
loo,drought_duration,7,7,0.27388535031847133
loo,drought_duration,7,8,0.2987012987012987
loo,drought_duration,7,9,0.22699386503067484
loo,drought_peak_depth,7,0,0.22699386503067484
loo,drought_peak_depth,7,1,0.3333333333333333
loo,drought_peak_depth,7,2,0.2903225806451613
loo,drought_peak_depth,7,3,0.2578616352201258
loo,drought_peak_depth,7,4,0.27388535031847133
loo,drought_peak_depth,7,5,0.20481927710843373
loo,drought_peak_depth,7,6,0.2345679012345679
loo,drought_peak_depth,7,7,0.2345679012345679
loo,drought_peak_depth,7,8,0.35135135135135137
loo,drought_peak_depth,7,9,0.27388535031847133
loo,drought_onset_rate,7,0,0.12994350282485875
loo,drought_onset_rate,7,1,0.19760479041916168
loo,drought_onset_rate,7,2,0.1695906432748538
loo,drought_onset_rate,7,3,0.19047619047619047
loo,drought_onset_rate,7,4,0.21212121212121213
loo,drought_onset_rate,7,5,0.19047619047619047
loo,drought_onset_rate,7,6,0.1834319526627219
loo,drought_onset_rate,7,7,0.19047619047619047
loo,drought_onset_rate,7,8,0.19047619047619047
loo,drought_onset_rate,7,9,0.12359550561797752
loo,drought_recovery_rate,7,0,0.1834319526627219
loo,drought_recovery_rate,7,1,0.19047619047619047
loo,drought_recovery_rate,7,2,0.2345679012345679
loo,drought_recovery_rate,7,3,0.1834319526627219
loo,drought_recovery_rate,7,4,0.17647058823529413
loo,drought_recovery_rate,7,5,0.15606936416184972
loo,drought_recovery_rate,7,6,0.1834319526627219
loo,drought_recovery_rate,7,7,0.20481927710843373
loo,drought_recovery_rate,7,8,0.2422360248447205
loo,drought_recovery_rate,7,9,0.21212121212121213
loo,flood_peak_magnitude,7,0,0.2422360248447205
loo,flood_peak_magnitude,7,1,0.2422360248447205
loo,flood_peak_magnitude,7,2,0.30718954248366015
loo,flood_peak_magnitude,7,3,0.2987012987012987
loo,flood_peak_magnitude,7,4,0.28205128205128205
loo,flood_peak_magnitude,7,5,0.2422360248447205
loo,flood_peak_magnitude,7,6,0.21212121212121213
loo,flood_peak_magnitude,7,7,0.27388535031847133
loo,flood_peak_magnitude,7,8,0.30718954248366015
loo,flood_peak_magnitude,7,9,0.26582278481012656
loo,flood_pulse_duration,7,0,0.20481927710843373
loo,flood_pulse_duration,7,1,0.21951219512195122
loo,flood_pulse_duration,7,2,0.25
loo,flood_pulse_duration,7,3,0.22699386503067484
loo,flood_pulse_duration,7,4,0.22699386503067484
loo,flood_pulse_duration,7,5,0.21951219512195122
loo,flood_pulse_duration,7,6,0.14285714285714285
loo,flood_pulse_duration,7,7,0.2578616352201258
loo,flood_pulse_duration,7,8,0.2422360248447205
loo,flood_pulse_duration,7,9,0.27388535031847133
loo,flood_rise_rate,7,0,0.27388535031847133
loo,flood_rise_rate,7,1,0.21951219512195122
loo,flood_rise_rate,7,2,0.21212121212121213
loo,flood_rise_rate,7,3,0.26582278481012656
loo,flood_rise_rate,7,4,0.25
loo,flood_rise_rate,7,5,0.2422360248447205
loo,flood_rise_rate,7,6,0.2345679012345679
loo,flood_rise_rate,7,7,0.2422360248447205
loo,flood_rise_rate,7,8,0.2903225806451613
loo,flood_rise_rate,7,9,0.2345679012345679
add_one,drought_duration,5,0,0.20481927710843373
add_one,drought_duration,5,1,0.1834319526627219
add_one,drought_duration,5,2,0.1834319526627219
add_one,drought_duration,5,3,0.19047619047619047
add_one,drought_duration,5,4,0.19047619047619047
add_one,drought_duration,5,5,0.1695906432748538
add_one,drought_duration,5,6,0.14285714285714285
add_one,drought_duration,5,7,0.14285714285714285
add_one,drought_duration,5,8,0.1834319526627219
add_one,drought_duration,5,9,0.21212121212121213
add_one,drought_peak_depth,5,0,0.1695906432748538
add_one,drought_peak_depth,5,1,0.1834319526627219
add_one,drought_peak_depth,5,2,0.19760479041916168
add_one,drought_peak_depth,5,3,0.19760479041916168
add_one,drought_peak_depth,5,4,0.19047619047619047
add_one,drought_peak_depth,5,5,0.12994350282485875
add_one,drought_peak_depth,5,6,0.17647058823529413
add_one,drought_peak_depth,5,7,0.12994350282485875
add_one,drought_peak_depth,5,8,0.21951219512195122
add_one,drought_peak_depth,5,9,0.21212121212121213
add_one,drought_recovery_rate,5,0,0.25
add_one,drought_recovery_rate,5,1,0.26582278481012656
add_one,drought_recovery_rate,5,2,0.2422360248447205
add_one,drought_recovery_rate,5,3,0.26582278481012656
add_one,drought_recovery_rate,5,4,0.19760479041916168
add_one,drought_recovery_rate,5,5,0.25
add_one,drought_recovery_rate,5,6,0.21212121212121213
add_one,drought_recovery_rate,5,7,0.19047619047619047
add_one,drought_recovery_rate,5,8,0.22699386503067484
add_one,drought_recovery_rate,5,9,0.2345679012345679
add_one,flood_rise_rate,5,0,0.20481927710843373
add_one,flood_rise_rate,5,1,0.1834319526627219
add_one,flood_rise_rate,5,2,0.19047619047619047
add_one,flood_rise_rate,5,3,0.21212121212121213
add_one,flood_rise_rate,5,4,0.19047619047619047
add_one,flood_rise_rate,5,5,0.17647058823529413
add_one,flood_rise_rate,5,6,0.19760479041916168
add_one,flood_rise_rate,5,7,0.20481927710843373
add_one,flood_rise_rate,5,8,0.1695906432748538
add_one,flood_rise_rate,5,9,0.21951219512195122
