pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,random,0,100,1.0,99.0,0.12493789563905354,0.00705950712928988,0.08927733083590866,0.4598615412898817,0.11125000000000002,0.55,0.0815,0.29402677784994835,0.08927733083590865,0.42098301606390304,0.01,0.007
pool,random,1,100,1.0,99.0,0.13034865077585453,0.007262183214721881,0.11928963820176144,0.4530612610142297,0.1,0.47,0.0751875,0.30516389440402836,0.11928963820176146,0.4202615986920887,0.0,0.007
pool,random,2,100,1.0,99.0,0.1261439813610135,0.007419188208072938,0.0818358595979092,0.3791062813568972,0.08499999999999999,0.44,0.092875,0.2803311323369475,0.0818358595979092,0.3503016779282722,0.0,0.007
pool,random,3,100,1.0,99.0,0.11428590977274003,0.006460629547385746,0.08959837073837379,0.3365170890798983,0.12625000000000003,0.63,0.079875,0.30443702906634407,0.0895983707383738,0.314652787322134,0.0,0.007
pool,random,4,100,1.0,99.0,0.1285732838349223,0.006514224983739904,0.07203162224595268,0.3507516345830715,0.09875,0.52,0.096875,0.29348089179314396,0.07203162224595268,0.3178432802335494,0.01,0.007
pool,random,5,100,1.0,99.0,0.13625602335103904,0.007082738165176998,0.11206444715289401,0.4245915743738101,0.07375000000000001,0.42,0.07906250000000001,0.27773307910433,0.11206444715289401,0.388092887588496,0.0,0.007
pool,random,6,100,1.0,99.0,0.12817752534804386,0.007378543637623414,0.12682922943786726,0.3816669903309774,0.10375,0.51,0.0811875,0.290732586083843,0.12682922943786726,0.3482216839452416,0.02,0.007
pool,random,7,100,1.0,99.0,0.13314543702282378,0.0073609971453611565,0.13511897948743753,0.4197715569612794,0.10625000000000001,0.49,0.0775,0.2935590408531276,0.13511897948743753,0.3886689868031824,0.0,0.007
pool,random,8,100,1.0,99.0,0.11077625013373954,0.006285936810309646,0.09245881844493159,0.4206524573044418,0.12,0.59,0.0730625,0.306038126946331,0.09245881844493159,0.38621375220572396,0.0,0.007
pool,random,9,100,1.0,99.0,0.1237094203522305,0.006295703318834572,0.12656849434013254,0.42052039371600586,0.1,0.52,0.076875,0.29749514806374716,0.12656849434013254,0.38860380825753726,0.01,0.007
pool,random,10,100,1.0,99.0,0.1353094554790455,0.009348714381622231,0.1093275603454341,0.4053689786257714,0.11375,0.54,0.07012499999999999,0.28565921968404323,0.10932756034543409,0.35909478592034505,0.0,0.007
pool,random,11,100,1.0,99.0,0.13397900903886975,0.0106456322765487,0.0930098397981051,0.446443085349673,0.11000000000000001,0.45,0.069625,0.29960698354251375,0.09300983979810512,0.42431877434740717,0.01,0.007
pool,random,12,100,1.0,99.0,0.12040929421528866,0.006230274941830155,0.10049653675818483,0.41806016362949205,0.11,0.58,0.0683125,0.3091864578711992,0.10049653675818483,0.37022670131515123,0.0,0.007
pool,random,13,100,1.0,99.0,0.14520861500698679,0.007854750028729304,0.11803627559344017,0.4001071331422488,0.07750000000000001,0.42,0.098375,0.2660671996855806,0.11803627559344017,0.3692249286168083,0.01,0.007
pool,random,14,100,1.0,99.0,0.13238157867990633,0.0072306449223574765,0.10035769317743112,0.4350035840457769,0.10125,0.48,0.0671875,0.29338173622639185,0.10035769317743112,0.40714377534128593,0.0,0.007
pool,random,15,100,1.0,99.0,0.1363511797915329,0.00681857848418511,0.11226738091296791,0.46554572902307423,0.095,0.45,0.0718125,0.2865727704962378,0.11226738091296791,0.4216717093677924,0.01,0.007
pool,random,16,100,1.0,99.0,0.1528433771961908,0.012689790751198145,0.1136440074583442,0.47775968476977115,0.09375,0.46,0.0933125,0.2852078848642806,0.1136440074583442,0.43548040573317576,0.02,0.007
pool,random,17,100,1.0,99.0,0.135097988640825,0.008350295313051263,0.0756234903339196,0.44591433138569725,0.11625,0.55,0.07656249999999999,0.28819153668522113,0.07562349033391962,0.40148319564749707,0.01,0.007
pool,random,18,100,1.0,99.0,0.1441210979829475,0.008390853620833668,0.11277456397991638,0.3748031939871686,0.08625000000000001,0.42,0.06687499999999999,0.2691042637785682,0.11277456397991638,0.35492149875519763,0.0,0.007
