pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
half0,random,0,100,1.0,99.0,0.25797725146411365,0.023555707745880745,0.025014323499229274,0.547785481579456,0.125,0.48,0.05875,0.15360812964822299,0.025014323499229274,0.47620928636540044,0.0,0.007
half0,random,1,100,1.0,99.0,0.30339679459766716,0.01868787680994027,0.015661993877595426,0.649732315170251,0.0825,0.31,0.07225,0.15534355436258288,0.015661993877595426,0.5885136998484797,0.0,0.007
half0,random,2,100,1.0,99.0,0.3368911735788889,0.034227450744202643,0.03886869919589906,0.7419178676132663,0.07,0.24,0.10450000000000001,0.1400111215450379,0.03886869919589906,0.6827239518270002,0.02,0.007
half0,random,3,100,1.0,99.0,0.3046958419154465,0.02243200861227048,0.01679121954678976,0.4959415780757833,0.0775,0.29,0.07300000000000001,0.14661021622929515,0.01679121954678976,0.45049350132705673,0.01,0.007
half0,random,4,100,1.0,99.0,0.30608235849009213,0.022110328666248808,0.022565117415047863,0.4763577280737855,0.0825,0.31,0.0635,0.14056168644092537,0.022565117415047863,0.43665971854011915,0.01,0.007
half0,random,5,100,1.0,99.0,0.2724878228095973,0.021049455189245937,0.022031568959200134,0.5845878962545132,0.1125,0.4,0.0805,0.1633292214669382,0.022031568959200134,0.5457414798025688,0.0,0.007
half0,random,6,100,1.0,99.0,0.2646850613997352,0.026798508082545885,0.049547220581575284,0.48615183118170624,0.11499999999999999,0.41,0.08325,0.16266056429089362,0.049547220581575284,0.44453209455447906,0.0,0.007
half0,random,7,100,1.0,99.0,0.2819339418209632,0.018684120272140867,0.04352789073418742,0.6743827187282119,0.10750000000000001,0.38,0.0645,0.16198962176616064,0.04352789073418742,0.6019671600810803,0.02,0.007
half0,random,8,100,1.0,99.0,0.33379534299052344,0.030744162969936324,0.05057712877692297,0.5792431092733917,0.065,0.25,0.08725000000000001,0.13361572737284017,0.05057712877692297,0.5163319244248277,0.02,0.007
half0,random,9,100,1.0,99.0,0.28039810698201006,0.02607221920542836,0.026458365835338053,0.5321965349282551,0.08750000000000001,0.34,0.06375,0.14925653606565517,0.026458365835338053,0.46814074393518224,0.01,0.007
half0,lhs_nn,0,100,1.0,99.0,0.05710264324821978,0.09462536778378446,0.07644301822431596,0.37629550891464164,0.2875,0.83,0.284,0.20980404639504316,0.07644301822431596,0.31515444369041945,0.0,0.007
half0,lhs_nn,1,100,1.0,99.0,0.04124451855101516,0.0983741275379161,0.07644301822431596,0.3557613869422465,0.31,0.91,0.30025,0.21264082561119457,0.07644301822431596,0.31403861797412846,0.0,0.007
half0,lhs_nn,2,100,1.0,99.0,0.05151242931667487,0.10053170733294449,0.07925602548632071,0.33896010402834587,0.2775,0.78,0.31124999999999997,0.21257739975915277,0.07925602548632071,0.2910839055496792,0.0,0.007
half0,lhs_nn,3,100,1.0,99.0,0.05251030747419092,0.09833102849766277,0.07644301822431596,0.37532501114808386,0.29500000000000004,0.84,0.31075,0.20570190803574648,0.07644301822431596,0.3298767933383582,0.0,0.007
half0,lhs_nn,4,100,1.0,99.0,0.04306600064950374,0.1001377727286835,0.07925145437333318,0.36718827354182504,0.2925,0.86,0.3025,0.20536548934035856,0.07925145437333318,0.3154289795358813,0.0,0.007
half0,lhs_nn,5,100,1.0,99.0,0.047834884402426184,0.09904958651725836,0.06340386222811119,0.346646467583606,0.2975,0.87,0.30225,0.20956717108526554,0.06340386222811119,0.31445371727902555,0.0,0.007
half0,lhs_nn,6,100,1.0,99.0,0.059371800260709595,0.09623791191391229,0.02574900060881033,0.37709954280627056,0.2925,0.84,0.292,0.20730434538631815,0.02574900060881033,0.3328342224519093,0.0,0.007
half0,lhs_nn,7,100,1.0,99.0,0.03437162631132778,0.10195114420450074,0.03821765591861782,0.40907651711680787,0.305,0.9,0.29925,0.20059900375360568,0.03821765591861782,0.34209090811548415,0.0,0.007
half0,lhs_nn,8,100,1.0,99.0,0.0426670488034684,0.09878816746192415,0.07888740183459717,0.3552311528544201,0.295,0.87,0.29475,0.2096419354336259,0.07888740183459717,0.3013899180148713,0.0,0.007
