run,hydro,gcm,ssp,period,kind,rho1,n_wy
PRMS_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS,ACCESS-CM2,ssp126,1980_2019,baseline,-0.10174445246944598,39
PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,ACCESS-CM2,ssp245,2020_2059,future,0.07964494962191003,39
PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,ACCESS-CM2,ssp245,2060_2099,future,-0.1739604228864994,39
PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,ACCESS-CM2,ssp370,2020_2059,future,0.04096641369664989,39
PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,ACCESS-CM2,ssp370,2060_2099,future,0.028508908378803505,39
PRMS_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS,BCC-CSM2-MR,ssp126,1980_2019,baseline,-0.35423729903602597,39
PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,BCC-CSM2-MR,ssp245,2020_2059,future,0.06265416008103003,39
PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,BCC-CSM2-MR,ssp245,2060_2099,future,-0.07609715062037972,39
PRMS_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,PRMS,CNRM-ESM2-1,ssp126,1980_2019,baseline,0.13606199256397208,39
PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS,CNRM-ESM2-1,ssp245,2020_2059,future,0.24829435624310386,39
PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS,CNRM-ESM2-1,ssp245,2060_2099,future,0.014519245958211142,39
PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS,CNRM-ESM2-1,ssp370,2020_2059,future,0.12552448761182988,39
PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS,CNRM-ESM2-1,ssp370,2060_2099,future,0.2848279676912246,39
PRMS_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS,EC-Earth3,ssp126,1980_2019,baseline,0.011413641217429068,39
PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,EC-Earth3,ssp245,2020_2059,future,0.08372668504787724,39
PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,EC-Earth3,ssp245,2060_2099,future,0.049812966646786375,39
PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,EC-Earth3,ssp370,2020_2059,future,0.18379009001734287,39
PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,EC-Earth3,ssp370,2060_2099,future,-0.006446018920935984,39
PRMS_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS,MPI-ESM1-2-HR,ssp126,1980_2019,baseline,-0.06812395661770689,39
PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,MPI-ESM1-2-HR,ssp245,2020_2059,future,-0.03888101335150172,39
PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,MPI-ESM1-2-HR,ssp245,2060_2099,future,0.10228031966147157,39
PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,MPI-ESM1-2-HR,ssp370,2020_2059,future,-0.04299652390342752,39
PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,MPI-ESM1-2-HR,ssp370,2060_2099,future,0.34765408966860045,39
PRMS_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS,MRI-ESM2-0,ssp126,1980_2019,baseline,-0.025978838029079448,39
PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,MRI-ESM2-0,ssp245,2020_2059,future,0.04035176860186732,39
PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,MRI-ESM2-0,ssp245,2060_2099,future,-0.11156992724580281,39
PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,MRI-ESM2-0,ssp370,2020_2059,future,0.21402833011541203,39
PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,MRI-ESM2-0,ssp370,2060_2099,future,0.48199997716666504,39
PRMS_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS,NorESM2-MM,ssp126,1980_2019,baseline,-0.041281126252595716,39
PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,NorESM2-MM,ssp245,2020_2059,future,0.08154056098553886,39
PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,NorESM2-MM,ssp245,2060_2099,future,0.006568740782029511,39
PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,NorESM2-MM,ssp370,2020_2059,future,-0.09049971864670801,39
PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,NorESM2-MM,ssp370,2060_2099,future,-0.039167935886810896,39
VIC5_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5,ACCESS-CM2,ssp126,1980_2019,baseline,-0.0073807028113525635,39
VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,ACCESS-CM2,ssp245,2020_2059,future,0.21687544936292527,39
VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,ACCESS-CM2,ssp245,2060_2099,future,0.02293250222053671,39
VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,ACCESS-CM2,ssp370,2020_2059,future,0.01691309324853567,39
VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,ACCESS-CM2,ssp370,2060_2099,future,0.004574987158402515,39
VIC5_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5,BCC-CSM2-MR,ssp126,1980_2019,baseline,-0.2687710807247831,39
VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,BCC-CSM2-MR,ssp245,2020_2059,future,0.03021163753514235,39
VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,BCC-CSM2-MR,ssp245,2060_2099,future,0.0529625537940973,39
VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,BCC-CSM2-MR,ssp370,2020_2059,future,0.03530133705211325,39
VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,BCC-CSM2-MR,ssp370,2060_2099,future,0.211219258883414,39
VIC5_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,VIC5,CNRM-ESM2-1,ssp126,1980_2019,baseline,0.32993956056017054,39
VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5,CNRM-ESM2-1,ssp245,2020_2059,future,0.4252417932734012,39
