run,hydro,gcm,ssp,period,kind,rho1,n_wy,rho1_baseline,delta_rho1
PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,ACCESS-CM2,ssp245,2020_2059,future,0.07964494962191003,39,-0.10174445246944598,0.181389402091356
PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,ACCESS-CM2,ssp245,2060_2099,future,-0.1739604228864994,39,-0.10174445246944598,-0.07221597041705342
PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,ACCESS-CM2,ssp370,2020_2059,future,0.04096641369664989,39,-0.10174445246944598,0.14271086616609588
PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,ACCESS-CM2,ssp370,2060_2099,future,0.028508908378803505,39,-0.10174445246944598,0.13025336084824948
PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,BCC-CSM2-MR,ssp245,2020_2059,future,0.06265416008103003,39,-0.35423729903602597,0.416891459117056
PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,BCC-CSM2-MR,ssp245,2060_2099,future,-0.07609715062037972,39,-0.35423729903602597,0.27814014841564627
PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS,CNRM-ESM2-1,ssp245,2020_2059,future,0.24829435624310386,39,0.13606199256397208,0.11223236367913178
PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS,CNRM-ESM2-1,ssp245,2060_2099,future,0.014519245958211142,39,0.13606199256397208,-0.12154274660576095
PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS,CNRM-ESM2-1,ssp370,2020_2059,future,0.12552448761182988,39,0.13606199256397208,-0.010537504952142202
PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS,CNRM-ESM2-1,ssp370,2060_2099,future,0.2848279676912246,39,0.13606199256397208,0.1487659751272525
PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,EC-Earth3,ssp245,2020_2059,future,0.08372668504787724,39,0.011413641217429068,0.07231304383044818
PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,EC-Earth3,ssp245,2060_2099,future,0.049812966646786375,39,0.011413641217429068,0.038399325429357305
PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,EC-Earth3,ssp370,2020_2059,future,0.18379009001734287,39,0.011413641217429068,0.1723764487999138
PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,EC-Earth3,ssp370,2060_2099,future,-0.006446018920935984,39,0.011413641217429068,-0.01785966013836505
PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,MPI-ESM1-2-HR,ssp245,2020_2059,future,-0.03888101335150172,39,-0.06812395661770689,0.029242943266205162
PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,MPI-ESM1-2-HR,ssp245,2060_2099,future,0.10228031966147157,39,-0.06812395661770689,0.17040427627917845
PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,MPI-ESM1-2-HR,ssp370,2020_2059,future,-0.04299652390342752,39,-0.06812395661770689,0.025127432714279363
PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,MPI-ESM1-2-HR,ssp370,2060_2099,future,0.34765408966860045,39,-0.06812395661770689,0.4157780462863073
PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,MRI-ESM2-0,ssp245,2020_2059,future,0.04035176860186732,39,-0.025978838029079448,0.06633060663094677
PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,MRI-ESM2-0,ssp245,2060_2099,future,-0.11156992724580281,39,-0.025978838029079448,-0.08559108921672336
PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,MRI-ESM2-0,ssp370,2020_2059,future,0.21402833011541203,39,-0.025978838029079448,0.24000716814449147
PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,MRI-ESM2-0,ssp370,2060_2099,future,0.48199997716666504,39,-0.025978838029079448,0.5079788151957445
PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,NorESM2-MM,ssp245,2020_2059,future,0.08154056098553886,39,-0.041281126252595716,0.12282168723813458
PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,NorESM2-MM,ssp245,2060_2099,future,0.006568740782029511,39,-0.041281126252595716,0.047849867034625224
PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS,NorESM2-MM,ssp370,2020_2059,future,-0.09049971864670801,39,-0.041281126252595716,-0.0492185923941123
PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS,NorESM2-MM,ssp370,2060_2099,future,-0.039167935886810896,39,-0.041281126252595716,0.00211319036578482
VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,ACCESS-CM2,ssp245,2020_2059,future,0.21687544936292527,39,-0.0073807028113525635,0.22425615217427783
VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,ACCESS-CM2,ssp245,2060_2099,future,0.02293250222053671,39,-0.0073807028113525635,0.030313205031889275
VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,ACCESS-CM2,ssp370,2020_2059,future,0.01691309324853567,39,-0.0073807028113525635,0.024293796059888233
