objective,kind,candidate,threshold,frac_sow,frac_sow_ci_lo,frac_sow_ci_hi,stringency_sow
nyc_delivery_reliability_annual,ge,current,0.65,0.005,0.0021375355273244596,0.011650955373375113,0.995
nyc_delivery_reliability_annual,ge,historic_anchor,0.6447368421052632,0.008,0.004059195818806103,0.015706334530980144,0.992
nyc_delivery_reliability_annual,ge,sow_p10,0.21216326530612245,0.9,0.8798480368046516,0.9170905564069044,0.1
nyc_delivery_reliability_annual,ge,sow_p50,0.36612244897959184,0.5,0.4690696003681042,0.5309303996318958,0.5
nyc_delivery_reliability_annual,ge,sow_p90,0.5346938775510204,0.101,0.08382401065239914,0.12122974261907385,0.899
nyc_delivery_reliability_annual,ge,stakeholder_floor,0.5,0.161,0.13952453255948705,0.18507000969371934,0.839
nyc_delivery_deficit_p99_pct,le,current,48.0,0.98,0.9693099947702822,0.987016317083585,0.02
nyc_delivery_deficit_p99_pct,le,historic_anchor,48.828776570377755,0.982,0.9717267448294926,0.9885842599904322,0.018
nyc_delivery_deficit_p99_pct,le,sow_p10,35.000000002117595,0.1,0.08290944359309571,0.1201519631953484,0.9
nyc_delivery_deficit_p99_pct,le,sow_p50,35.000000002492314,0.5,0.4690696003681042,0.5309303996318958,0.5
nyc_delivery_deficit_p99_pct,le,sow_p90,35.75387433534495,0.9,0.8798480368046516,0.9170905564069044,0.1
montague_flow_reliability_annual,ge,current,0.79,0.0,2.168404344971009e-19,0.0038267584855551234,1.0
montague_flow_reliability_annual,ge,historic_anchor,0.7894736842105263,0.0,2.168404344971009e-19,0.0038267584855551234,1.0
montague_flow_reliability_annual,ge,sow_p10,0.31167346938775514,0.9,0.8798480368046516,0.9170905564069044,0.1
montague_flow_reliability_annual,ge,sow_p50,0.4636734693877551,0.501,0.47006583523375295,0.5319265112492759,0.499
montague_flow_reliability_annual,ge,sow_p90,0.6189387755102042,0.1,0.08290944359309571,0.1201519631953484,0.9
montague_flow_deficit_p99_pct,le,current,27.0,0.965,0.9517133776255466,0.9747277369828871,0.035
montague_flow_deficit_p99_pct,le,historic_anchor,27.67634882927276,0.968,0.9551752619162314,0.9772428921412891,0.032
montague_flow_deficit_p99_pct,le,sow_p10,11.428571400000004,0.187,0.1640478150490631,0.21234773576289442,0.813
montague_flow_deficit_p99_pct,le,sow_p50,12.995302723371976,0.5,0.4690696003681042,0.5309303996318958,0.5
montague_flow_deficit_p99_pct,le,sow_p90,21.789610720234776,0.9,0.8798480368046516,0.9170905564069044,0.1
trenton_flow_reliability_annual,ge,current,0.87,0.054,0.04162131372306273,0.06979215484605245,0.946
trenton_flow_reliability_annual,ge,historic_anchor,0.868421052631579,0.056,0.043374813385442,0.07202334814973096,0.944
trenton_flow_reliability_annual,ge,sow_p10,0.5257142857142857,0.901,0.8809263810632503,0.9180045586313347,0.099
trenton_flow_reliability_annual,ge,sow_p50,0.7191836734693877,0.5,0.4690696003681042,0.5309303996318958,0.5
trenton_flow_reliability_annual,ge,sow_p90,0.8473469387755102,0.103,0.08565481000508716,0.1233836362324436,0.897
downstream_flood_exceedance_annual,le,current,1.17,0.443,0.41248859445810543,0.4739476560092479,0.557
downstream_flood_exceedance_annual,le,historic_anchor,0.3467372492486944,0.015,0.009110978804081668,0.024600976926906798,0.985
downstream_flood_exceedance_annual,le,sow_p10,0.5062281852669395,0.1,0.08290944359309571,0.1201519631953484,0.9
downstream_flood_exceedance_annual,le,sow_p50,1.294775374304955,0.5,0.4690696003681042,0.5309303996318958,0.5
downstream_flood_exceedance_annual,le,sow_p90,3.0311949947578594,0.9,0.8798480368046516,0.9170905564069044,0.1
downstream_flood_exceedance_annual,le,anchor_observed_2000_2023,1.17,0.443,0.41248859445810543,0.4739476560092479,0.557
nyc_storage_min_p01_pct,ge,current,26.0,0.014,0.00835757513042392,0.02336203411753566,0.986
nyc_storage_min_p01_pct,ge,historic_anchor,0.0,1.0,0.996173241514445,1.0,0.0
nyc_storage_min_p01_pct,ge,sow_p10,0.010073507673374726,0.9,0.8798480368046516,0.9170905564069044,0.1
nyc_storage_min_p01_pct,ge,sow_p50,11.91685508786956,0.5,0.4690696003681042,0.5309303996318958,0.5
nyc_storage_min_p01_pct,ge,sow_p90,22.79383454441794,0.1,0.08290944359309571,0.1201519631953484,0.9
nj_delivery_reliability_annual,ge,current,0.74,0.02,0.012983682916415136,0.030690005229717786,0.98
nj_delivery_reliability_annual,ge,historic_anchor,0.7368421052631579,0.02,0.012983682916415136,0.030690005229717786,0.98
nj_delivery_reliability_annual,ge,sow_p10,0.3216326530612245,0.901,0.8809263810632503,0.9180045586313347,0.099
nj_delivery_reliability_annual,ge,sow_p50,0.5,0.5,0.4690696003681042,0.5309303996318958,0.5
nj_delivery_reliability_annual,ge,sow_p90,0.6719183673469388,0.1,0.08290944359309571,0.1201519631953484,0.9
