vector,rank,failing_criteria,n_failing,count,frac
current,1,nyc_delivery_reliability_annual + montague_flow_reliability_annual + trenton_flow_reliability_annual + downstream_flood_exceedance_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,6,497,0.497
current,2,nyc_delivery_reliability_annual + montague_flow_reliability_annual + trenton_flow_reliability_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,5,406,0.406
current,3,nyc_delivery_reliability_annual + montague_flow_reliability_annual + downstream_flood_exceedance_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,5,32,0.032
current,4,nyc_delivery_reliability_annual + nyc_delivery_deficit_p99_pct + montague_flow_reliability_annual + montague_flow_deficit_p99_pct + trenton_flow_reliability_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,7,18,0.018
current,5,nyc_delivery_reliability_annual + montague_flow_reliability_annual + montague_flow_deficit_p99_pct + trenton_flow_reliability_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,6,17,0.017
current,6,nyc_delivery_reliability_annual + montague_flow_reliability_annual + downstream_flood_exceedance_annual + nyc_storage_min_p01_pct,4,8,0.008
current,7,nyc_delivery_reliability_annual + montague_flow_reliability_annual + downstream_flood_exceedance_annual,3,5,0.005
current,8,nyc_delivery_reliability_annual + montague_flow_reliability_annual + trenton_flow_reliability_annual + downstream_flood_exceedance_annual + nj_delivery_reliability_annual,5,4,0.004
current,9,(other combinations),-1,13,0.013
current,0,(none),0,0,0.0
recommended,1,nyc_delivery_reliability_annual + montague_flow_reliability_annual + trenton_flow_reliability_annual + downstream_flood_exceedance_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,6,497,0.497
recommended,2,nyc_delivery_reliability_annual + montague_flow_reliability_annual + trenton_flow_reliability_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,5,406,0.406
recommended,3,nyc_delivery_reliability_annual + montague_flow_reliability_annual + downstream_flood_exceedance_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,5,32,0.032
recommended,4,nyc_delivery_reliability_annual + nyc_delivery_deficit_p99_pct + montague_flow_reliability_annual + montague_flow_deficit_p99_pct + trenton_flow_reliability_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,7,18,0.018
recommended,5,nyc_delivery_reliability_annual + montague_flow_reliability_annual + montague_flow_deficit_p99_pct + trenton_flow_reliability_annual + nyc_storage_min_p01_pct + nj_delivery_reliability_annual,6,17,0.017
recommended,6,nyc_delivery_reliability_annual + montague_flow_reliability_annual + downstream_flood_exceedance_annual + nyc_storage_min_p01_pct,4,8,0.008
recommended,7,nyc_delivery_reliability_annual + montague_flow_reliability_annual + downstream_flood_exceedance_annual,3,5,0.005
recommended,8,nyc_delivery_reliability_annual + montague_flow_reliability_annual + trenton_flow_reliability_annual + downstream_flood_exceedance_annual + nj_delivery_reliability_annual,5,4,0.004
recommended,9,(other combinations),-1,13,0.013
recommended,0,(none),0,0,0.0
