objective,metric_space,metric_name,value,current_threshold,kind,passes_current,sow_mean_quantile_of_value
nyc_delivery_reliability_weekly,base_weekly_recomputed,nyc_delivery_reliability_weekly,0.8692384769539078,0.95,ge,False,0.831
nyc_delivery_deficit_cvar90_pct,base_weekly_recomputed,nyc_delivery_deficit_cvar90_pct,29.165534856004104,10.0,le,False,0.335
montague_flow_reliability_weekly,base_weekly_recomputed,montague_flow_reliability_weekly,0.9521543086172345,0.85,ge,True,0.993
montague_flow_deficit_cvar90_pct,base_weekly_recomputed,montague_flow_deficit_cvar90_pct,4.619025993190728,25.0,le,True,0.055
trenton_flow_reliability_weekly,base_weekly_recomputed,trenton_flow_reliability_weekly,0.9944889779559118,0.85,ge,True,0.858
downstream_flood_exceedance_minor,base_weekly_recomputed,downstream_flood_exceedance_minor,0.3447487781911453,1.0,le,True,0.014
nyc_storage_p5_pct,base_weekly_recomputed,nyc_storage_p5_pct,33.41538636421476,25.0,ge,True,0.094
nj_delivery_reliability_weekly,base_weekly_recomputed,nj_delivery_reliability_weekly,0.9188376753507014,0.95,ge,False,0.776
nyc_delivery_reliability_weekly,search_annual_csv,nyc_delivery_reliability_annual,0.6447368421052632,,,,
nyc_delivery_deficit_cvar90_pct,search_annual_csv,nyc_delivery_deficit_p99_pct,48.82877657037804,,,,
montague_flow_reliability_weekly,search_annual_csv,montague_flow_reliability_annual,0.7894736842105263,,,,
montague_flow_deficit_cvar90_pct,search_annual_csv,montague_flow_deficit_p99_pct,27.676348829272687,,,,
trenton_flow_reliability_weekly,search_annual_csv,trenton_flow_reliability_annual,0.868421052631579,,,,
downstream_flood_exceedance_minor,search_annual_csv,downstream_flood_exceedance_annual,0.3467372492448437,,,,
nyc_storage_p5_pct,search_annual_csv,nyc_storage_min_p01_pct,0.0,,,,
nj_delivery_reliability_weekly,search_annual_csv,nj_delivery_reliability_annual,0.7368421052631579,,,,
