,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_exceedance_annual,nyc_storage_min_p01_pct,nj_delivery_reliability_annual,m,r1,r2
nyc_delivery_reliability_annual,1.0,0.04158293499662021,0.9967308862091567,-0.8307725048801745,0.9789414778073114,0.6865339601522665,0.8637822808557777,0.995808602679153,0.8814724345692712,-0.44326802078443744,0.10139885481788001
nyc_delivery_deficit_p99_pct,0.04158293499662021,1.0,0.034113962151107076,0.3279651255718952,0.0008639150055334696,-0.4046935886935887,-0.2863582829874284,0.014396931378917302,-0.285037125037125,-0.5676038676038676,0.17677586077586077
montague_flow_reliability_annual,0.9967308862091566,0.034113962151107076,1.0,-0.8338099295516291,0.9825072124306915,0.6817838080282216,0.8701592381026502,0.9968980114089353,0.8842696956530152,-0.44458971466129915,0.06359545830816324
montague_flow_deficit_p99_pct,-0.8307725048801745,0.3279651255718953,-0.8338099295516291,0.9999999999999998,-0.8486685633560506,-0.8902281734838289,-0.951609423375762,-0.8480408931441878,-0.961206719493666,-0.03596249564864143,0.019364890827037098
trenton_flow_reliability_annual,0.9789414778073114,0.0008639150055334696,0.9825072124306915,-0.8486685633560506,1.0,0.6929514969689363,0.8838082221061239,0.9841967240835764,0.9029332796057978,-0.4091279344919539,-0.0006498757653876526
downstream_flood_exceedance_annual,0.6865339601522666,-0.4046935886935887,0.6817838080282215,-0.8902281734838289,0.6929514969689364,1.0,0.8298782052529394,0.6987699313773951,0.9095401655401657,0.29785803385803383,0.18552287352287353
nyc_storage_min_p01_pct,0.8637822808557778,-0.2863582829874284,0.8701592381026502,-0.9516094233757622,0.8838082221061238,0.8298782052529394,1.0,0.8813896216879905,0.9526439140851143,-0.06918098686559812,-0.08221783930692594
nj_delivery_reliability_annual,0.995808602679153,0.014396931378917304,0.9968980114089353,-0.8480408931441878,0.9841967240835764,0.6987699313773951,0.8813896216879905,1.0,0.8963984037504447,-0.4220897040533619,0.06495804103327343
m,0.8814724345692712,-0.285037125037125,0.8842696956530152,-0.961206719493666,0.9029332796057978,0.9095401655401657,0.9526439140851142,0.8963984037504446,1.0,-0.0125987885987886,-0.005300393300393301
r1,-0.44326802078443744,-0.5676038676038676,-0.4445897146612991,-0.03596249564864143,-0.4091279344919539,0.29785803385803383,-0.06918098686559812,-0.4220897040533619,-0.0125987885987886,1.0,-0.012725760725760728
r2,0.10139885481788001,0.17677586077586077,0.06359545830816324,0.019364890827037098,-0.0006498757653876525,0.18552287352287353,-0.08221783930692596,0.06495804103327345,-0.005300393300393301,-0.012725760725760728,1.0
