objective,kind,threshold,frac_sow,stringency_sow,is_default,candidate_label
nyc_delivery_reliability_annual,ge,0.13224489795918368,1.0,0.0,False,
nyc_delivery_reliability_annual,ge,0.13492244897959185,0.998,0.002,False,
nyc_delivery_reliability_annual,ge,0.1376,0.998,0.002,False,
nyc_delivery_reliability_annual,ge,0.14027755102040818,0.997,0.003,False,
nyc_delivery_reliability_annual,ge,0.14295510204081632,0.994,0.006,False,
nyc_delivery_reliability_annual,ge,0.1456326530612245,0.994,0.006,False,
nyc_delivery_reliability_annual,ge,0.14831020408163265,0.992,0.008,False,
nyc_delivery_reliability_annual,ge,0.15098775510204082,0.989,0.011,False,
nyc_delivery_reliability_annual,ge,0.153665306122449,0.986,0.014,False,
nyc_delivery_reliability_annual,ge,0.15634285714285714,0.986,0.014,False,
nyc_delivery_reliability_annual,ge,0.15902040816326532,0.984,0.016,False,
nyc_delivery_reliability_annual,ge,0.16169795918367347,0.983,0.017,False,
nyc_delivery_reliability_annual,ge,0.16437551020408164,0.983,0.017,False,
nyc_delivery_reliability_annual,ge,0.1670530612244898,0.981,0.019,False,
nyc_delivery_reliability_annual,ge,0.16973061224489797,0.976,0.024,False,
nyc_delivery_reliability_annual,ge,0.1724081632653061,0.976,0.024,False,
nyc_delivery_reliability_annual,ge,0.1750857142857143,0.973,0.027,False,
nyc_delivery_reliability_annual,ge,0.17776326530612246,0.97,0.03,False,
nyc_delivery_reliability_annual,ge,0.1804408163265306,0.965,0.035,False,
nyc_delivery_reliability_annual,ge,0.1831183673469388,0.957,0.043,False,
nyc_delivery_reliability_annual,ge,0.18579591836734693,0.955,0.045,False,
nyc_delivery_reliability_annual,ge,0.1884734693877551,0.951,0.049,False,
nyc_delivery_reliability_annual,ge,0.19115102040816329,0.941,0.059,False,
nyc_delivery_reliability_annual,ge,0.19382857142857143,0.934,0.066,False,
nyc_delivery_reliability_annual,ge,0.19650612244897958,0.931,0.069,False,
nyc_delivery_reliability_annual,ge,0.19918367346938776,0.927,0.073,False,
nyc_delivery_reliability_annual,ge,0.20186122448979593,0.919,0.081,False,
nyc_delivery_reliability_annual,ge,0.20453877551020408,0.912,0.088,False,
nyc_delivery_reliability_annual,ge,0.20721632653061225,0.908,0.092,False,
nyc_delivery_reliability_annual,ge,0.2098938775510204,0.903,0.097,False,
nyc_delivery_reliability_annual,ge,0.21216326530612245,0.9,0.1,False,sow_p10
nyc_delivery_reliability_annual,ge,0.21257142857142858,0.899,0.101,False,
nyc_delivery_reliability_annual,ge,0.21524897959183675,0.897,0.103,False,
nyc_delivery_reliability_annual,ge,0.2179265306122449,0.89,0.11,False,
nyc_delivery_reliability_annual,ge,0.22060408163265305,0.88,0.12,False,
nyc_delivery_reliability_annual,ge,0.22328163265306122,0.873,0.127,False,
nyc_delivery_reliability_annual,ge,0.2259591836734694,0.87,0.13,False,
nyc_delivery_reliability_annual,ge,0.22863673469387755,0.864,0.136,False,
nyc_delivery_reliability_annual,ge,0.23131428571428572,0.859,0.141,False,
nyc_delivery_reliability_annual,ge,0.23399183673469387,0.856,0.144,False,
nyc_delivery_reliability_annual,ge,0.23666938775510205,0.853,0.147,False,
nyc_delivery_reliability_annual,ge,0.23934693877551022,0.843,0.157,False,
nyc_delivery_reliability_annual,ge,0.24202448979591837,0.837,0.163,False,
nyc_delivery_reliability_annual,ge,0.24470204081632652,0.83,0.17,False,
nyc_delivery_reliability_annual,ge,0.2473795918367347,0.824,0.176,False,
nyc_delivery_reliability_annual,ge,0.25005714285714287,0.818,0.182,False,
nyc_delivery_reliability_annual,ge,0.25273469387755104,0.811,0.189,False,
nyc_delivery_reliability_annual,ge,0.2554122448979592,0.807,0.193,False,
nyc_delivery_reliability_annual,ge,0.25808979591836734,0.794,0.206,False,
nyc_delivery_reliability_annual,ge,0.2607673469387755,0.786,0.214,False,
nyc_delivery_reliability_annual,ge,0.2634448979591837,0.784,0.216,False,
nyc_delivery_reliability_annual,ge,0.2661224489795918,0.778,0.222,False,
nyc_delivery_reliability_annual,ge,0.26880000000000004,0.772,0.228,False,
nyc_delivery_reliability_annual,ge,0.27147755102040816,0.763,0.237,False,
nyc_delivery_reliability_annual,ge,0.27415510204081633,0.753,0.247,False,
nyc_delivery_reliability_annual,ge,0.2768326530612245,0.744,0.256,False,
nyc_delivery_reliability_annual,ge,0.27951020408163263,0.738,0.262,False,
nyc_delivery_reliability_annual,ge,0.28218775510204086,0.729,0.271,False,
nyc_delivery_reliability_annual,ge,0.284865306122449,0.721,0.279,False,
nyc_delivery_reliability_annual,ge,0.28754285714285716,0.71,0.29,False,
nyc_delivery_reliability_annual,ge,0.29022040816326533,0.704,0.296,False,
nyc_delivery_reliability_annual,ge,0.29289795918367345,0.698,0.302,False,
nyc_delivery_reliability_annual,ge,0.2955755102040816,0.687,0.313,False,
