design,objective,factor,k,weekly_rel_pop_median,weekly_rel_baseline,annual_rel_pop_median,annual_rel_pop_iqr,annual_rel_baseline,tau_vs_shipped
fixed_probabilistic,nyc_delivery_reliability_annual,0.95,3,0.7670665322580643,0.7900604838709675,0.27,0.16333333333333333,0.3288888888888889,0.8118065251395972
fixed_probabilistic,nyc_delivery_reliability_annual,0.98,3,0.752610887096774,0.7813709677419357,0.25333333333333335,0.1447222222222222,0.32,0.9473236271612762
fixed_probabilistic,nyc_delivery_reliability_annual,0.99,3,0.7491028225806451,0.7813709677419357,0.24722222222222223,0.14277777777777778,0.32,0.9999999999999999
fixed_probabilistic,nyc_delivery_reliability_annual,1.0,3,0.6752721774193551,0.6038709677419355,0.18333333333333332,0.11805555555555555,0.18222222222222223,0.6467258917260299
fixed_probabilistic,nj_delivery_reliability_annual,0.95,1,0.8710383064516127,0.8669556451612902,0.4777777777777778,0.26777777777777784,0.4766666666666667,0.7067144874195187
fixed_probabilistic,nj_delivery_reliability_annual,0.98,1,0.856008064516129,0.860463709677419,0.4311111111111111,0.23388888888888887,0.47333333333333333,0.9227540644233934
fixed_probabilistic,nj_delivery_reliability_annual,0.99,1,0.8506854838709677,0.8571169354838711,0.4222222222222222,0.23055555555555557,0.4677777777777778,1.0
fixed_probabilistic,nj_delivery_reliability_annual,1.0,1,0.8453024193548387,0.8571169354838711,0.41333333333333333,0.21888888888888886,0.4677777777777778,0.9076550175959204
hazard_filling_stationary,nyc_delivery_reliability_annual,0.95,3,0.7424092741935482,0.7672580645161291,0.2694444444444445,0.1411111111111111,0.3244444444444444,0.8126629788865728
hazard_filling_stationary,nyc_delivery_reliability_annual,0.98,3,0.7290524193548384,0.7589516129032258,0.25555555555555554,0.12555555555555553,0.31444444444444447,0.9490833781894596
hazard_filling_stationary,nyc_delivery_reliability_annual,0.99,3,0.7259072580645161,0.7589516129032258,0.24888888888888888,0.12555555555555556,0.31444444444444447,0.9999999999999999
hazard_filling_stationary,nyc_delivery_reliability_annual,1.0,3,0.6388104838709678,0.5268951612903225,0.17166666666666666,0.10666666666666666,0.14333333333333334,0.5895192438221037
hazard_filling_stationary,nj_delivery_reliability_annual,0.95,1,0.8480342741935484,0.8451209677419352,0.4505555555555556,0.24861111111111106,0.4588888888888889,0.7015092946217009
hazard_filling_stationary,nj_delivery_reliability_annual,0.98,1,0.8314818548387097,0.8386693548387102,0.4083333333333333,0.2138888888888889,0.45222222222222225,0.923547166369467
hazard_filling_stationary,nj_delivery_reliability_annual,0.99,1,0.8268145161290322,0.8351209677419351,0.4011111111111111,0.20194444444444454,0.4477777777777778,1.0
hazard_filling_stationary,nj_delivery_reliability_annual,1.0,1,0.8233366935483869,0.8351209677419351,0.395,0.19027777777777777,0.4477777777777778,0.9070417855327676
